latent_dim,split_idx,epoch,phase,loss_task_mean,loss_y_mean,loss_s_mean,loss_w_mean,KL_per_dim_mean,beta,C,val_auc_y
1,0,1,warmup,3.617110848426819,1.4479734951799565,0.6304616413333199,0.9082140678709204,0.20519250817596912,0.0001,0.05,
1,0,2,warmup,3.143666397441517,1.3101742321794683,0.6261778609319166,0.5811364542354237,0.9196552796797319,0.0001,0.05,
1,0,3,warmup,3.0457969145341353,1.282770576802167,0.6246289637955752,0.5137684277512811,1.238774375482039,0.0001,0.05,
1,0,4,warmup,2.9879016984592783,1.2603768056089228,0.6225670901211825,0.48239069364287634,1.435385823249817,0.0001,0.05,
1,0,5,warmup,2.9565821994434702,1.2398657636208967,0.6196534010497007,0.47740964049642737,1.6603700518608093,0.0001,0.05,
1,0,6,warmup,2.9264476516030054,1.2299138063734227,0.6173714182593606,0.46179101819341833,1.8080097220160745,0.0001,0.05,
1,0,7,warmup,2.8996858163313433,1.2066226466135546,0.6157632822340185,0.46153663098812103,1.947140715338967,0.0001,0.05,
1,0,8,warmup,2.9351902224800805,1.2510519136082043,0.612874605438926,0.45838904922658746,2.084881831299175,0.0001,0.05,
1,0,9,warmup,2.878256678581238,1.1856248676776886,0.6143071543086659,0.46401746435598895,2.1402522867376153,0.0001,0.05,
1,0,10,warmup,2.9126856977289375,1.234051368453286,0.6091663349758495,0.46030164713209326,2.323575420813127,0.0001,0.05,
1,0,11,warmup,2.832247159697793,1.154462527145039,0.6079714731736616,0.46184167536822235,2.3814124410802666,0.0001,0.05,
1,0,12,warmup,2.8198838342319834,1.1425280408425764,0.6075901985168457,0.46217541667548095,2.5029300342906606,0.0001,0.05,
1,0,13,warmup,2.8227952393618496,1.1625531993129037,0.6021404347636483,0.45596117594025354,2.620435216210105,0.0001,0.05,
1,0,14,warmup,2.7847090634432705,1.0994702333753759,0.6031567102128809,0.47892542996189813,2.7105154666033657,0.0001,0.05,
1,0,15,warmup,2.7826240171085703,1.1196361996910789,0.5985830615867268,0.4658216725696217,2.834390325979753,0.0001,0.05,
1,0,16,warmup,2.7313580187884243,1.0670151737603275,0.5977788350798867,0.46878515725786035,2.839882644740018,0.0001,0.05,
1,0,17,warmup,2.7236968604001133,1.0550349950790405,0.5983087014068257,0.4720444814725356,2.9947850704193115,0.0001,0.05,
1,0,18,warmup,2.6999728462912818,1.0497127012772993,0.5912758409976959,0.4677084440534765,3.0216931971636685,0.0001,0.05,
1,0,19,warmup,2.6746192303570835,1.0183772634376178,0.5935238870707426,0.46919419142332947,3.193450158292597,0.0001,0.05,
1,0,20,warmup,2.6573076248168945,1.0030680976130746,0.5914871936494653,0.47126511010256683,3.2673287066546353,0.0001,0.05,
1,0,21,warmup,2.6446880969134243,0.9943534190004523,0.5888489891182292,0.4726367118683728,3.3211292678659614,0.0001,0.05,
