outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,brier,y_mean,y_std,r2,mse,rmse,mae
0,-1,test,y,binary,sparse_logistic,2755,69.0,2686.0,0.7579532088014073,0.17487011108583933,0.1259846888288734,,,,,,
0,-1,train,y,binary,sparse_logistic,24787,613.0,24174.0,0.9086703306951734,0.2535208487959813,0.12426795170520999,,,,,,
0,-1,test,y,binary,xgb_clf,2755,69.0,2686.0,0.8190483127758532,0.20156293631570654,0.06426994674248121,,,,,,
0,-1,train,y,binary,xgb_clf,24787,613.0,24174.0,0.9829377645566111,0.5878298802636973,0.056631894730213184,,,,,,
0,-1,test,w_reg,regression,linreg,533,,,,,,0.05639774859287055,0.17134301259417162,-0.0043217458579236645,0.029429988102789677,0.1715517067906632,0.08566125365823339
0,-1,train,w_reg,regression,linreg,4717,,,,,,0.04688997244011024,0.15922660561969715,0.044233423644945535,0.024226519905401166,0.15564870672575845,0.07693244147400545
0,-1,test,w_reg,regression,xgb_reg,533,,,,,,0.05639774859287055,0.17134301259417162,-0.060064043038702275,0.03106342395103084,0.1762481885042534,0.08625000196704982
0,-1,train,w_reg,regression,xgb_reg,4717,,,,,,0.04688997244011024,0.15922660561969715,0.6469064488369987,0.008950122506210611,0.09460508710534868,0.047841266548297054
0,0,val,y,binary,sparse_logistic,4958,123.0,4835.0,0.7456823130795941,0.264484183220538,0.121359334711847,,,,,,
0,0,train,y,binary,sparse_logistic,19829,490.0,19339.0,0.9195455730252181,0.2412857162945917,0.12184039717443206,,,,,,
0,0,val,y,binary,xgb_clf,4958,123.0,4835.0,0.8372050007987153,0.3386910151232162,0.0611515807107568,,,,,,
0,0,train,y,binary,xgb_clf,19829,490.0,19339.0,0.9848836178558501,0.6101458105731692,0.054070163455329445,,,,,,
0,0,val,w_reg,regression,linreg,923,,,,,,0.04270855904658722,0.1480400829610203,-0.11414424202080209,0.024390981667551517,0.15617612387158133,0.08515285919233753
0,0,train,w_reg,regression,linreg,3794,,,,,,0.04790722192936215,0.16183333983428477,0.008085584560039272,0.02597142098295072,0.16115651083015764,0.0856769058018585
0,0,val,w_reg,regression,xgb_reg,923,,,,,,0.04270855904658722,0.1480400829610203,-0.087063947729626,0.023798136561239296,0.15426644664747838,0.07538269649712101
0,0,train,w_reg,regression,xgb_reg,3794,,,,,,0.04790722192936215,0.16183333983428477,0.7087676463432915,0.007625373664238058,0.0873233855518558,0.045070319414854364
0,1,val,y,binary,sparse_logistic,4958,123.0,4835.0,0.7492925063687037,0.1879824918204685,0.12944143213530845,,,,,,
0,1,train,y,binary,sparse_logistic,19829,490.0,19339.0,0.9212518111334714,0.2605710992331076,0.11994030215807958,,,,,,
0,1,val,y,binary,xgb_clf,4958,123.0,4835.0,0.8460228180358328,0.2706283912919343,0.06075510283245835,,,,,,
0,1,train,y,binary,xgb_clf,19829,490.0,19339.0,0.9864838525513105,0.6458443820007328,0.050333369178246615,,,,,,
0,1,val,w_reg,regression,linreg,969,,,,,,0.04472652218782249,0.1576412934651039,-0.026999479536065518,0.02549539724107173,0.15967278177908636,0.07836675511740371
0,1,train,w_reg,regression,linreg,3748,,,,,,0.04744930629669157,0.15965001701805773,0.06183004216580712,0.023905815920751576,0.15461505722519905,0.07774916169431415
0,1,val,w_reg,regression,xgb_reg,969,,,,,,0.04472652218782249,0.1576412934651039,-0.08254993650434495,0.026874444646206867,0.16393426928560992,0.07906718196847137
0,1,train,w_reg,regression,xgb_reg,3748,,,,,,0.04744930629669157,0.15965001701805773,0.7045261656068988,0.007529065533825677,0.08677018804765653,0.04489051911786654
0,2,val,y,binary,sparse_logistic,4957,122.0,4835.0,0.7154101751233323,0.18524342680125486,0.1311022153381251,,,,,,
0,2,train,y,binary,sparse_logistic,19830,491.0,19339.0,0.9220292268433015,0.25634950084816144,0.12013224869446729,,,,,,
0,2,val,y,binary,xgb_clf,4957,122.0,4835.0,0.8393010324308747,0.237381735149643,0.0634089095651334,,,,,,
0,2,train,y,binary,xgb_clf,19830,491.0,19339.0,0.9863167081409211,0.63402669256458,0.050903089235643406,,,,,,
0,2,val,w_reg,regression,linreg,948,,,,,,0.051308016877637135,0.1703179772295103,-0.004129595555218746,0.029097279812281513,0.17057924789458276,0.08417530158110247
0,2,train,w_reg,regression,linreg,3769,,,,,,0.04577872114619263,0.1563172058893997,0.04159624793396255,0.023412448179867013,0.15301126814671856,0.07694932657484983
0,2,val,w_reg,regression,xgb_reg,948,,,,,,0.051308016877637135,0.1703179772295103,-0.05811347159654501,0.03066160373369471,0.17510455086517515,0.08286570665617846
0,2,train,w_reg,regression,xgb_reg,3769,,,,,,0.04577872114619263,0.1563172058893997,0.695821617269658,0.007430647686591263,0.08620120467018581,0.04407556936617691
0,3,val,y,binary,sparse_logistic,4957,122.0,4835.0,0.7269839117093596,0.16287949432823623,0.13060563623302646,,,,,,
0,3,train,y,binary,sparse_logistic,19830,491.0,19339.0,0.9213752293335471,0.2670806608562665,0.11931104002106271,,,,,,
0,3,val,y,binary,xgb_clf,4957,122.0,4835.0,0.8297082407988201,0.24354423846874373,0.06261869848083458,,,,,,
0,3,train,y,binary,xgb_clf,19830,491.0,19339.0,0.986499848506374,0.6322403429868289,0.05075760162645731,,,,,,
0,3,val,w_reg,regression,linreg,978,,,,,,0.04476482617586912,0.14901861118343016,-0.022502211509164427,0.022683025867533124,0.15060885056175524,0.07759365659755614
0,3,train,w_reg,regression,linreg,3739,,,,,,0.047445841133993055,0.16180488466565704,0.059825552907462276,0.024607955439967095,0.15686923037985204,0.07794207294218741
0,3,val,w_reg,regression,xgb_reg,978,,,,,,0.04476482617586912,0.14901861118343016,-0.11442791107586392,0.02472229091526827,0.15723323731090785,0.07920635388377097
