pair,outer_fold,n,cka,cka_scaled
mlp_clf_y vs mlp_clf_w_class,0,581,0.258474080385783,0.26770255055511705
mlp_clf_y vs mlp_clf_w_class,1,607,0.23167170397906245,0.252829863415132
mlp_clf_y vs mlp_clf_w_class,2,591,0.2586734172149419,0.27449417518816727
mlp_clf_y vs mlp_clf_w_class,3,577,0.2595260873316801,0.2704419291833596
mlp_clf_y vs mlp_clf_w_class,4,552,0.23471947377940916,0.25539083530552287
mlp_clf_y vs mlp_clf_w_class,5,564,0.22210711483894863,0.2549351415026089
mlp_clf_y vs mlp_clf_w_class,6,582,0.24115767400494942,0.26188824967567265
mlp_clf_y vs mlp_clf_w_class,7,573,0.2750084477108631,0.2836818377490692
mlp_clf_y vs mlp_clf_w_class,8,576,0.21030047103828894,0.2497480553768952
mlp_clf_y vs mlp_clf_w_class,9,563,0.2571882918122581,0.270858446052811
mlp_clf_y vs mlp_latent_yw,0,581,0.7963914534449156,0.7668140708126524
mlp_clf_y vs mlp_latent_yw,1,607,0.808083814941798,0.7444750256042539
mlp_clf_y vs mlp_latent_yw,2,591,0.8125192655966534,0.759586111268745
mlp_clf_y vs mlp_latent_yw,3,577,0.8326139033375599,0.7748404256874774
mlp_clf_y vs mlp_latent_yw,4,552,0.8263751310356612,0.7554543722471658
mlp_clf_y vs mlp_latent_yw,5,564,0.8211499357941797,0.7856290511137507
mlp_clf_y vs mlp_latent_yw,6,582,0.8035835628128084,0.7883466883437688
mlp_clf_y vs mlp_latent_yw,7,573,0.8188588702595789,0.7581662456076015
mlp_clf_y vs mlp_latent_yw,8,576,0.8275116495074132,0.7489383164843523
mlp_clf_y vs mlp_latent_yw,9,563,0.8135766421105157,0.7932367186823357
mlp_clf_w_class vs mlp_latent_yw,0,581,0.3075906479249552,0.35624171904280405
mlp_clf_w_class vs mlp_latent_yw,1,607,0.24724626777526656,0.3121554403686495
mlp_clf_w_class vs mlp_latent_yw,2,591,0.2815724415358058,0.34379124424680624
mlp_clf_w_class vs mlp_latent_yw,3,577,0.29384262915876924,0.3463872979340618
mlp_clf_w_class vs mlp_latent_yw,4,552,0.29379061897345643,0.3723010518213658
mlp_clf_w_class vs mlp_latent_yw,5,564,0.26330967992432436,0.3217514375718361
mlp_clf_w_class vs mlp_latent_yw,6,582,0.29574933223921146,0.3406650033312731
mlp_clf_w_class vs mlp_latent_yw,7,573,0.31008519772544474,0.37418511692837775
mlp_clf_w_class vs mlp_latent_yw,8,576,0.2506007593943748,0.33236602010139316
mlp_clf_w_class vs mlp_latent_yw,9,563,0.2957210462442774,0.351401721804718
