scope,metric,value
grid,n_bacteria,75
grid,n_viruses,186
grid,n_pairs,13950
grid,n_crispr_positive,430
grid,crispr_prevalence,0.03082437275985663
mask,n_bacteria_matched,62
mask,n_viruses_matched,93
mask,n_observed,5766
mask,coverage_of_grid,0.41333333333333333
mask,n_crispr_positive,198
mask,crispr_prevalence,0.03433922996878252
mask,n_glasso_edge,2473
mask,glasso_prevalence,0.4288935137010059
mask,w_mean,0.08254249046132502
mask,w_sd,0.1823779827635983
mask,w_median,0.0
mask,w_frac_exactly_zero,0.5711064862989941
mask,w_frac_above_half,0.053069719042663895
mask,n_both,84
mask,n_both_expected_if_independent,84.92091571279917
mask,both_observed_over_expected,0.9891556078373708
degree_grid,n_edges,430
degree_grid,genus_degree_median,2.0
degree_grid,genus_degree_mean,5.733333333333333
degree_grid,genus_degree_max,54
degree_grid,genus_degree_zero,0
degree_grid,votu_degree_median,2.0
degree_grid,votu_degree_mean,2.3118279569892475
degree_grid,votu_degree_max,10
degree_grid,votu_degree_zero,0
degree_grid,top10_genera_share_of_edges,0.5883720930232558
degree_mask,n_edges,198
degree_mask,genus_degree_median,2.0
degree_mask,genus_degree_mean,3.193548387096774
degree_mask,genus_degree_max,25
degree_mask,genus_degree_zero,14
degree_mask,votu_degree_median,2.0
degree_mask,votu_degree_mean,2.129032258064516
degree_mask,votu_degree_max,9
degree_mask,votu_degree_zero,10
degree_mask,top10_genera_share_of_edges,0.601010101010101
features_bacteria,n_entities,75
features_bacteria,n_clusters,70625
features_bacteria,density,0.08097472566371682
features_bacteria,clusters_per_entity_median,3765.0
features_bacteria,clusters_per_entity_min,952
features_bacteria,clusters_per_entity_max,54281
features_viruses,n_entities,186
features_viruses,n_clusters,2756
features_viruses,density,0.014026093606130125
features_viruses,clusters_per_entity_median,30.0
features_viruses,clusters_per_entity_min,1
features_viruses,clusters_per_entity_max,202
