metric,rule,n_inner,n_points,ratio_min,lambda_max,chosen_ratio,chosen_C,chosen_score,best_ratio,best_score,best_score_se,n_nonzero,outer_fold,task,model
auc,1se,3,8,0.05,0.0289381,1.0,0.006664709919380969,0.75832,1.0,0.75832,0.02064,32,0,y,sparse_logistic
auc,1se,3,8,0.05,0.04510577,0.117677,0.03633509292075318,0.58533,0.117677,0.58533,0.0007,88,0,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02570863,1.0,0.007539726475096457,0.74955,1.0,0.74955,0.01627,39,1,y,sparse_logistic
auc,1se,3,8,0.05,0.04822414,0.424891,0.009460037241028382,0.57376,0.117677,0.57852,0.00559,21,1,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02761712,1.0,0.006996989557856226,0.73889,1.0,0.73889,0.00877,36,2,y,sparse_logistic
auc,1se,3,8,0.05,0.04904422,0.276959,0.014226107108466798,0.58307,0.117677,0.58888,0.0087,47,2,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02561401,1.0,0.007523824751734734,0.74416,1.0,0.74416,0.01768,43,3,y,sparse_logistic
auc,1se,3,8,0.05,0.04896624,0.180532,0.021800439230672188,0.59318,0.180532,0.59318,0.00259,59,3,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02728833,1.0,0.007028328313377308,0.75212,1.0,0.75212,0.02321,29,4,y,sparse_logistic
auc,1se,3,8,0.05,0.04967944,0.276959,0.013939158038043346,0.57904,0.076706,0.58357,0.0059,39,4,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02780668,1.0,0.006913222155924825,0.7553,0.276959,0.75713,0.01591,36,5,y,sparse_logistic
auc,1se,3,8,0.05,0.0448869,0.180532,0.023722242163266204,0.58607,0.117677,0.58693,0.00278,65,5,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02595607,1.0,0.00743183585201137,0.75585,1.0,0.75585,0.01781,37,6,y,sparse_logistic
auc,1se,3,8,0.05,0.04617385,0.276959,0.01508423040581363,0.5835,0.180532,0.58749,0.00794,41,6,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02798403,1.0,0.0068813147090543425,0.74871,0.651836,0.7515,0.01773,37,7,y,sparse_logistic
auc,1se,3,8,0.05,0.0466809,0.424891,0.009708794990170673,0.58127,0.117677,0.58674,0.00736,20,7,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02661436,1.0,0.007239633514549606,0.7433,0.651836,0.74761,0.03303,33,8,y,sparse_logistic
auc,1se,3,8,0.05,0.04826112,0.180532,0.02211469289986755,0.57642,0.180532,0.57642,0.00238,61,8,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02823183,1.0,0.006807806653593234,0.74407,0.424891,0.74545,0.02369,33,9,y,sparse_logistic
auc,1se,3,8,0.05,0.04855791,0.180532,0.02192461327149721,0.58522,0.117677,0.58631,0.00556,60,9,w_class,sparse_logistic
