metric,ratio,score_mean,score_se,is_min,is_1se,outer_fold,task,model
auc,1.0,0.75832,0.02064,True,True,0,y,sparse_logistic
auc,0.651836,0.75726,0.01799,False,False,0,y,sparse_logistic
auc,0.424891,0.74929,0.01597,False,False,0,y,sparse_logistic
auc,0.276959,0.74425,0.01449,False,False,0,y,sparse_logistic
auc,0.180532,0.73941,0.01217,False,False,0,y,sparse_logistic
auc,0.117677,0.73301,0.01014,False,False,0,y,sparse_logistic
auc,0.076706,0.72459,0.00906,False,False,0,y,sparse_logistic
auc,0.05,0.71757,0.00967,False,False,0,y,sparse_logistic
auc,1.0,0.52161,0.00274,False,False,0,w_class,sparse_logistic
auc,0.651836,0.54782,0.00374,False,False,0,w_class,sparse_logistic
auc,0.424891,0.5706,0.00606,False,False,0,w_class,sparse_logistic
auc,0.276959,0.58224,0.00455,False,False,0,w_class,sparse_logistic
auc,0.180532,0.58433,0.00106,False,False,0,w_class,sparse_logistic
auc,0.117677,0.58533,0.0007,True,True,0,w_class,sparse_logistic
auc,0.076706,0.58483,0.00191,False,False,0,w_class,sparse_logistic
auc,0.05,0.58371,0.00247,False,False,0,w_class,sparse_logistic
auc,1.0,0.74955,0.01627,True,True,1,y,sparse_logistic
auc,0.651836,0.74295,0.01685,False,False,1,y,sparse_logistic
auc,0.424891,0.73723,0.01655,False,False,1,y,sparse_logistic
auc,0.276959,0.73103,0.01363,False,False,1,y,sparse_logistic
auc,0.180532,0.72478,0.00937,False,False,1,y,sparse_logistic
auc,0.117677,0.71966,0.00674,False,False,1,y,sparse_logistic
auc,0.076706,0.7125,0.00614,False,False,1,y,sparse_logistic
auc,0.05,0.70684,0.00663,False,False,1,y,sparse_logistic
auc,1.0,0.53089,0.00633,False,False,1,w_class,sparse_logistic
auc,0.651836,0.5606,0.00438,False,False,1,w_class,sparse_logistic
auc,0.424891,0.57376,0.00584,False,True,1,w_class,sparse_logistic
auc,0.276959,0.5758,0.00488,False,False,1,w_class,sparse_logistic
auc,0.180532,0.57782,0.00494,False,False,1,w_class,sparse_logistic
auc,0.117677,0.57852,0.00559,True,False,1,w_class,sparse_logistic
auc,0.076706,0.57815,0.0061,False,False,1,w_class,sparse_logistic
auc,0.05,0.57696,0.00673,False,False,1,w_class,sparse_logistic
auc,1.0,0.73889,0.00877,True,True,2,y,sparse_logistic
auc,0.651836,0.73871,0.00924,False,False,2,y,sparse_logistic
auc,0.424891,0.73645,0.01002,False,False,2,y,sparse_logistic
auc,0.276959,0.73014,0.00716,False,False,2,y,sparse_logistic
auc,0.180532,0.71674,0.00365,False,False,2,y,sparse_logistic
auc,0.117677,0.70379,0.00341,False,False,2,y,sparse_logistic
auc,0.076706,0.69392,0.00399,False,False,2,y,sparse_logistic
auc,0.05,0.68539,0.00366,False,False,2,y,sparse_logistic
auc,1.0,0.53505,0.01034,False,False,2,w_class,sparse_logistic
auc,0.651836,0.55804,0.01363,False,False,2,w_class,sparse_logistic
auc,0.424891,0.57641,0.01409,False,False,2,w_class,sparse_logistic
auc,0.276959,0.58307,0.01404,False,True,2,w_class,sparse_logistic
auc,0.180532,0.58795,0.01067,False,False,2,w_class,sparse_logistic
auc,0.117677,0.58888,0.0087,True,False,2,w_class,sparse_logistic
auc,0.076706,0.58738,0.00753,False,False,2,w_class,sparse_logistic
auc,0.05,0.58644,0.00739,False,False,2,w_class,sparse_logistic
auc,1.0,0.74416,0.01768,True,True,3,y,sparse_logistic
auc,0.651836,0.7429,0.02007,False,False,3,y,sparse_logistic
auc,0.424891,0.74024,0.0203,False,False,3,y,sparse_logistic
auc,0.276959,0.73328,0.01825,False,False,3,y,sparse_logistic
auc,0.180532,0.7238,0.01761,False,False,3,y,sparse_logistic
auc,0.117677,0.71266,0.019,False,False,3,y,sparse_logistic
auc,0.076706,0.70296,0.01996,False,False,3,y,sparse_logistic
auc,0.05,0.69652,0.02061,False,False,3,y,sparse_logistic
auc,1.0,0.53373,0.00374,False,False,3,w_class,sparse_logistic
auc,0.651836,0.55881,0.01124,False,False,3,w_class,sparse_logistic
auc,0.424891,0.5785,0.00885,False,False,3,w_class,sparse_logistic
auc,0.276959,0.58885,0.00383,False,False,3,w_class,sparse_logistic
auc,0.180532,0.59318,0.00259,True,True,3,w_class,sparse_logistic
auc,0.117677,0.59241,0.00309,False,False,3,w_class,sparse_logistic
auc,0.076706,0.58959,0.00303,False,False,3,w_class,sparse_logistic
auc,0.05,0.58721,0.00331,False,False,3,w_class,sparse_logistic
auc,1.0,0.75212,0.02321,True,True,4,y,sparse_logistic
auc,0.651836,0.74419,0.02452,False,False,4,y,sparse_logistic
auc,0.424891,0.73666,0.02621,False,False,4,y,sparse_logistic
auc,0.276959,0.73071,0.02726,False,False,4,y,sparse_logistic
auc,0.180532,0.72721,0.02924,False,False,4,y,sparse_logistic
auc,0.117677,0.72077,0.03027,False,False,4,y,sparse_logistic
auc,0.076706,0.71514,0.03099,False,False,4,y,sparse_logistic
auc,0.05,0.70901,0.03097,False,False,4,y,sparse_logistic
auc,1.0,0.52621,0.00984,False,False,4,w_class,sparse_logistic
auc,0.651836,0.55566,0.00672,False,False,4,w_class,sparse_logistic
auc,0.424891,0.57043,0.00947,False,False,4,w_class,sparse_logistic
auc,0.276959,0.57904,0.00825,False,True,4,w_class,sparse_logistic
auc,0.180532,0.58154,0.00833,False,False,4,w_class,sparse_logistic
auc,0.117677,0.58308,0.00714,False,False,4,w_class,sparse_logistic
auc,0.076706,0.58357,0.0059,True,False,4,w_class,sparse_logistic
auc,0.05,0.58323,0.005,False,False,4,w_class,sparse_logistic
auc,1.0,0.7553,0.00994,False,True,5,y,sparse_logistic
auc,0.651836,0.75331,0.01422,False,False,5,y,sparse_logistic
auc,0.424891,0.75645,0.01707,False,False,5,y,sparse_logistic
auc,0.276959,0.75713,0.01591,True,False,5,y,sparse_logistic
auc,0.180532,0.75144,0.01515,False,False,5,y,sparse_logistic
auc,0.117677,0.74282,0.01501,False,False,5,y,sparse_logistic
auc,0.076706,0.73683,0.01527,False,False,5,y,sparse_logistic
auc,0.05,0.72986,0.01658,False,False,5,y,sparse_logistic
auc,1.0,0.52782,0.00348,False,False,5,w_class,sparse_logistic
auc,0.651836,0.55798,0.00687,False,False,5,w_class,sparse_logistic
auc,0.424891,0.57571,0.00302,False,False,5,w_class,sparse_logistic
auc,0.276959,0.58194,0.00413,False,False,5,w_class,sparse_logistic
auc,0.180532,0.58607,0.00382,False,True,5,w_class,sparse_logistic
auc,0.117677,0.58693,0.00278,True,False,5,w_class,sparse_logistic
auc,0.076706,0.58612,0.00154,False,False,5,w_class,sparse_logistic
auc,0.05,0.58576,0.00112,False,False,5,w_class,sparse_logistic
auc,1.0,0.75585,0.01781,True,True,6,y,sparse_logistic
auc,0.651836,0.75397,0.01191,False,False,6,y,sparse_logistic
auc,0.424891,0.75217,0.01276,False,False,6,y,sparse_logistic
auc,0.276959,0.74487,0.01467,False,False,6,y,sparse_logistic
auc,0.180532,0.73862,0.01451,False,False,6,y,sparse_logistic
auc,0.117677,0.72982,0.01539,False,False,6,y,sparse_logistic
auc,0.076706,0.72208,0.01566,False,False,6,y,sparse_logistic
auc,0.05,0.71455,0.01687,False,False,6,y,sparse_logistic
auc,1.0,0.52482,0.00785,False,False,6,w_class,sparse_logistic
auc,0.651836,0.56257,0.00963,False,False,6,w_class,sparse_logistic
auc,0.424891,0.57858,0.00909,False,False,6,w_class,sparse_logistic
auc,0.276959,0.5835,0.00722,False,True,6,w_class,sparse_logistic
auc,0.180532,0.58749,0.00794,True,False,6,w_class,sparse_logistic
auc,0.117677,0.58717,0.00807,False,False,6,w_class,sparse_logistic
auc,0.076706,0.58592,0.0091,False,False,6,w_class,sparse_logistic
auc,0.05,0.58566,0.01014,False,False,6,w_class,sparse_logistic
auc,1.0,0.74871,0.02391,False,True,7,y,sparse_logistic
auc,0.651836,0.7515,0.01773,True,False,7,y,sparse_logistic
auc,0.424891,0.75033,0.01408,False,False,7,y,sparse_logistic
auc,0.276959,0.74476,0.01321,False,False,7,y,sparse_logistic
auc,0.180532,0.73396,0.01335,False,False,7,y,sparse_logistic
auc,0.117677,0.72245,0.01374,False,False,7,y,sparse_logistic
auc,0.076706,0.71292,0.01436,False,False,7,y,sparse_logistic
auc,0.05,0.70391,0.01464,False,False,7,y,sparse_logistic
auc,1.0,0.51784,0.00289,False,False,7,w_class,sparse_logistic
auc,0.651836,0.55215,0.00541,False,False,7,w_class,sparse_logistic
auc,0.424891,0.58127,0.00858,False,True,7,w_class,sparse_logistic
auc,0.276959,0.58513,0.00666,False,False,7,w_class,sparse_logistic
auc,0.180532,0.58671,0.00684,False,False,7,w_class,sparse_logistic
auc,0.117677,0.58674,0.00736,True,False,7,w_class,sparse_logistic
auc,0.076706,0.58483,0.00751,False,False,7,w_class,sparse_logistic
auc,0.05,0.58296,0.00732,False,False,7,w_class,sparse_logistic
auc,1.0,0.7433,0.03656,False,True,8,y,sparse_logistic
auc,0.651836,0.74761,0.03303,True,False,8,y,sparse_logistic
auc,0.424891,0.74272,0.03009,False,False,8,y,sparse_logistic
auc,0.276959,0.73687,0.02778,False,False,8,y,sparse_logistic
auc,0.180532,0.7309,0.02693,False,False,8,y,sparse_logistic
auc,0.117677,0.72402,0.02556,False,False,8,y,sparse_logistic
auc,0.076706,0.71748,0.02487,False,False,8,y,sparse_logistic
auc,0.05,0.71236,0.02424,False,False,8,y,sparse_logistic
auc,1.0,0.5322,0.00097,False,False,8,w_class,sparse_logistic
auc,0.651836,0.5486,0.01019,False,False,8,w_class,sparse_logistic
auc,0.424891,0.56776,0.00674,False,False,8,w_class,sparse_logistic
auc,0.276959,0.57385,0.00362,False,False,8,w_class,sparse_logistic
auc,0.180532,0.57642,0.00238,True,True,8,w_class,sparse_logistic
auc,0.117677,0.57633,0.00283,False,False,8,w_class,sparse_logistic
auc,0.076706,0.57589,0.00292,False,False,8,w_class,sparse_logistic
auc,0.05,0.57549,0.0029,False,False,8,w_class,sparse_logistic
auc,1.0,0.74407,0.02558,False,True,9,y,sparse_logistic
auc,0.651836,0.74539,0.02528,False,False,9,y,sparse_logistic
auc,0.424891,0.74545,0.02369,True,False,9,y,sparse_logistic
auc,0.276959,0.73859,0.02218,False,False,9,y,sparse_logistic
auc,0.180532,0.72896,0.02139,False,False,9,y,sparse_logistic
auc,0.117677,0.71926,0.02031,False,False,9,y,sparse_logistic
auc,0.076706,0.70961,0.01852,False,False,9,y,sparse_logistic
auc,0.05,0.70087,0.01737,False,False,9,y,sparse_logistic
auc,1.0,0.53673,0.00364,False,False,9,w_class,sparse_logistic
auc,0.651836,0.55971,0.01161,False,False,9,w_class,sparse_logistic
auc,0.424891,0.57677,0.011,False,False,9,w_class,sparse_logistic
auc,0.276959,0.58061,0.01114,False,False,9,w_class,sparse_logistic
auc,0.180532,0.58522,0.00793,False,True,9,w_class,sparse_logistic
auc,0.117677,0.58631,0.00556,True,False,9,w_class,sparse_logistic
auc,0.076706,0.5845,0.00476,False,False,9,w_class,sparse_logistic
auc,0.05,0.58347,0.00414,False,False,9,w_class,sparse_logistic
