outer_fold,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
0,y,binary,sparse_logistic,581,20.0,561.0,0.6514260249554368,0.13167685388581876,
0,y,binary,xgb_clf,581,20.0,561.0,0.7065062388591801,0.17532832862229394,
0,y,binary,mlp_clf_y,581,20.0,561.0,0.6591800356506239,0.22780417534043404,
0,w_reg,regression,linreg,581,,,,,-0.1469193488769449
0,w_reg,regression,xgb_reg,581,,,,,-0.13923575262764643
0,w_reg,regression,mlp_reg,581,,,,,-0.12227489956044724
0,w_class,binary,sparse_logistic,581,254.0,327.0,0.6150280526860747,0.5145626274864555,
0,w_class,binary,xgb_clf,581,254.0,327.0,0.6167316814755954,0.526827052241917,
0,w_class,binary,mlp_clf_w_class,581,254.0,327.0,0.614660839413422,0.5299037621880671,
0,y,binary,mlp_latent_yw,581,20.0,561.0,0.66524064171123,0.2588174740064618,
0,w_class,binary,mlp_latent_yw,581,254.0,327.0,0.6250752486214453,0.5542158501898007,
1,y,binary,sparse_logistic,607,18.0,589.0,0.7961233729485003,0.1454939516630986,
1,y,binary,xgb_clf,607,18.0,589.0,0.7757026976042256,0.16143547246478276,
1,y,binary,mlp_clf_y,607,18.0,589.0,0.7735332956046028,0.14900547528019228,
1,w_reg,regression,linreg,607,,,,,-0.17193738727187813
1,w_reg,regression,xgb_reg,607,,,,,-0.1711089706162101
1,w_reg,regression,mlp_reg,607,,,,,-0.14928856285987568
1,w_class,binary,sparse_logistic,607,262.0,345.0,0.5881015599070694,0.492402878015204,
1,w_class,binary,xgb_clf,607,262.0,345.0,0.5763524726186525,0.5021867753305571,
1,w_class,binary,mlp_clf_w_class,607,262.0,345.0,0.5851255669874986,0.5054186142830852,
1,y,binary,mlp_latent_yw,607,18.0,589.0,0.7862667421241276,0.1657241215728099,
1,w_class,binary,mlp_latent_yw,607,262.0,345.0,0.6078271932735921,0.5367131770800346,
2,y,binary,sparse_logistic,591,19.0,572.0,0.7965587044534413,0.21207713618574797,
2,y,binary,xgb_clf,591,19.0,572.0,0.8129370629370629,0.30821529578963647,
2,y,binary,mlp_clf_y,591,19.0,572.0,0.8346521899153478,0.21396354941526968,
2,w_reg,regression,linreg,591,,,,,-0.16970717823177295
2,w_reg,regression,xgb_reg,591,,,,,-0.16899045379464117
2,w_reg,regression,mlp_reg,591,,,,,-0.15394145585906793
2,w_class,binary,sparse_logistic,591,270.0,321.0,0.5874581746855889,0.522807948546271,
2,w_class,binary,xgb_clf,591,270.0,321.0,0.5553824852890273,0.5086677639640645,
2,w_class,binary,mlp_clf_w_class,591,270.0,321.0,0.5615437867774316,0.5079333149998042,
2,y,binary,mlp_latent_yw,591,19.0,572.0,0.8317077659182923,0.25830844873308817,
2,w_class,binary,mlp_latent_yw,591,270.0,321.0,0.5539979231568017,0.49735972111631976,
3,y,binary,sparse_logistic,577,27.0,550.0,0.7950505050505051,0.2519695407738654,
3,y,binary,xgb_clf,577,27.0,550.0,0.7822895622895623,0.3131514732446462,
3,y,binary,mlp_clf_y,577,27.0,550.0,0.7533333333333333,0.4169425761155864,
3,w_reg,regression,linreg,577,,,,,-0.12121644163231737
3,w_reg,regression,xgb_reg,577,,,,,-0.12515312153723612
3,w_reg,regression,mlp_reg,577,,,,,-0.1021169066348957
3,w_class,binary,sparse_logistic,577,232.0,345.0,0.5868628185907048,0.4979981053211794,
3,w_class,binary,xgb_clf,577,232.0,345.0,0.6067466266866567,0.47629259242795785,
3,w_class,binary,mlp_clf_w_class,577,232.0,345.0,0.5745377311344327,0.46676686774800025,
