model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.09090909090909091,0,1064,115,5185,581,0.5392330658704982
l2_logistic,0.09090909090909091,1,1048,131,5159,607,0.5728879337994739
l2_logistic,0.09090909090909091,2,1058,121,5175,591,0.5231404958677686
l2_logistic,0.09090909090909091,3,1076,103,5189,577,0.5666502806111998
l2_logistic,0.09090909090909091,4,1069,110,5214,552,0.5999794323323735
l2_logistic,0.09090909090909091,5,1063,116,5202,564,0.5269973830049262
l2_logistic,0.09090909090909091,6,1046,133,5184,582,0.6067786392484552
l2_logistic,0.09090909090909091,7,1075,104,5193,573,0.5437612760373954
l2_logistic,0.09090909090909091,8,1066,113,5190,576,0.5567384697719757
l2_logistic,0.09090909090909091,9,1046,133,5203,563,0.5792271376114705
l2_logistic,0.18181818181818182,0,681,74,5185,581,0.5216562716562716
l2_logistic,0.18181818181818182,1,669,86,5159,607,0.5533410703923581
l2_logistic,0.18181818181818182,2,674,81,5175,591,0.5198741224885015
l2_logistic,0.18181818181818182,3,694,61,5189,577,0.559156182488245
l2_logistic,0.18181818181818182,4,681,74,5214,552,0.581731312902861
l2_logistic,0.18181818181818182,5,681,74,5202,564,0.5199944842801986
l2_logistic,0.18181818181818182,6,672,83,5184,582,0.6018301663568101
l2_logistic,0.18181818181818182,7,693,62,5193,573,0.5278864970645792
l2_logistic,0.18181818181818182,8,683,72,5190,576,0.5402612433862434
l2_logistic,0.18181818181818182,9,667,88,5203,563,0.5994019138755982
l2_logistic,0.2727272727272727,0,541,57,5185,581,0.5047709923664122
l2_logistic,0.2727272727272727,1,525,73,5159,607,0.5737519880970704
l2_logistic,0.2727272727272727,2,532,66,5175,591,0.5090331890331891
l2_logistic,0.2727272727272727,3,547,51,5189,577,0.5899873257287707
l2_logistic,0.2727272727272727,4,536,62,5214,552,0.5949308755760369
l2_logistic,0.2727272727272727,5,542,56,5202,564,0.5336403262092239
l2_logistic,0.2727272727272727,6,532,66,5184,582,0.6013330984261217
l2_logistic,0.2727272727272727,7,553,45,5193,573,0.572243265993266
l2_logistic,0.2727272727272727,8,541,57,5190,576,0.5332792482168813
l2_logistic,0.2727272727272727,9,533,65,5203,563,0.6116465863453815
l2_logistic,0.36363636363636365,0,412,50,5185,581,0.5000564971751412
l2_logistic,0.36363636363636365,1,403,59,5159,607,0.5638995422491649
l2_logistic,0.36363636363636365,2,413,49,5175,591,0.5223661420287672
l2_logistic,0.36363636363636365,3,425,37,5189,577,0.6297797797797797
l2_logistic,0.36363636363636365,4,413,49,5214,552,0.5861159573173206
l2_logistic,0.36363636363636365,5,421,41,5202,564,0.5187240591335167
l2_logistic,0.36363636363636365,6,411,51,5184,582,0.6311805324766442
l2_logistic,0.36363636363636365,7,429,33,5193,573,0.5831930415263749
l2_logistic,0.36363636363636365,8,417,45,5190,576,0.5177652228499686
l2_logistic,0.36363636363636365,9,414,48,5203,563,0.6352750809061489
l2_logistic,0.4545454545454546,0,324,42,5185,581,0.47594752186588923
l2_logistic,0.4545454545454546,1,318,48,5159,607,0.6017814549791294
l2_logistic,0.4545454545454546,2,327,39,5175,591,0.5575529542920846
l2_logistic,0.4545454545454546,3,336,30,5189,577,0.6463741620962827
l2_logistic,0.4545454545454546,4,333,33,5214,552,0.5716704618438723
l2_logistic,0.4545454545454546,5,335,31,5202,564,0.5000302608485142
l2_logistic,0.4545454545454546,6,322,44,5184,582,0.6270699560662385
l2_logistic,0.4545454545454546,7,337,29,5193,573,0.5444028904665315
