model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909091,0.5615394114155536,0.02886039419332871,10
l2_logistic,0.18181818181818182,0.5525133264891666,0.0322503033314385,10
l2_logistic,0.2727272727272727,0.5624616895992354,0.03920077428941805,10
l2_logistic,0.36363636363636365,0.5688355855442827,0.05223209451810398,10
l2_logistic,0.4545454545454546,0.5613311581433329,0.05669308972550258,10
l2_logistic,0.5454545454545454,0.537975791862288,0.06101397481303311,10
l2_logistic,0.6363636363636364,0.5095946392088726,0.06919537573360728,10
l2_logistic,0.7272727272727273,0.5377443796138557,0.06604825111117178,10
l2_logistic,0.8181818181818182,0.5923828575771404,0.07170427123975387,10
l2_logistic,0.9090909090909092,0.5968128008930704,0.15961047712422521,10
xgboost,0.09090909090909091,0.5628547894900257,0.03548687704373696,10
xgboost,0.18181818181818182,0.5497045370493738,0.032763888337644154,10
xgboost,0.2727272727272727,0.5588102716601975,0.04160877757870962,10
xgboost,0.36363636363636365,0.5665737480051474,0.03862365126908512,10
xgboost,0.4545454545454546,0.5512363458317889,0.036454250755409916,10
xgboost,0.5454545454545454,0.5392545783377317,0.04200095257158012,10
xgboost,0.6363636363636364,0.5287603555328542,0.05199698829458643,10
xgboost,0.7272727272727273,0.5447282817478852,0.06659255854488712,10
xgboost,0.8181818181818182,0.6195417200952524,0.08211164982545253,10
xgboost,0.9090909090909092,0.6149542087759311,0.149016168090115,10
