model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909093,0.5615394114155537,0.028860394193328708,10
l2_logistic,0.18181818181818185,0.5525133264891666,0.032250303331438517,10
l2_logistic,0.2727272727272727,0.5624616895992354,0.039200774289418025,10
l2_logistic,0.3636363636363637,0.5688355855442827,0.05223209451810399,10
l2_logistic,0.4545454545454546,0.561331158143333,0.05669308972550258,10
l2_logistic,0.5454545454545454,0.53797579186228806,0.0610139748130331,10
l2_logistic,0.6363636363636364,0.5095946392088726,0.06919537573360728,10
l2_logistic,0.7272727272727273,0.5377443796138557,0.0660482511111718,10
l2_logistic,0.8181818181818182,0.5923828575771405,0.07170427123975388,10
l2_logistic,0.9090909090909092,0.5968128008930704,0.1596104771242252,10
xgboost,0.09090909090909093,0.5628547894900257,0.03548687704373694,10
xgboost,0.18181818181818185,0.5497045370493738,0.03276388833764413,10
xgboost,0.2727272727272727,0.5588102716601975,0.04160877757870962,10
xgboost,0.3636363636363637,0.5665737480051474,0.03862365126908515,10
xgboost,0.4545454545454546,0.5512363458317889,0.03645425075540993,10
xgboost,0.5454545454545454,0.5392545783377316,0.04200095257158016,10
xgboost,0.6363636363636364,0.5287603555328542,0.051996988294586426,10
xgboost,0.7272727272727273,0.5447282817478852,0.0665925585448871,10
xgboost,0.8181818181818182,0.6195417200952524,0.08211164982545253,10
xgboost,0.9090909090909092,0.6149542087759311,0.14901616809011503,10
