cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
CRC,20260916_152830,0,real,-1,y,0.66524064171123,0.2588174740064618,581,20,38.5
CRC,20260916_152830,0,real,-1,w_class,0.6250752486214453,0.5542158501898007,581,254,38.5
CRC,20260916_152830,0,shuffled,0,y,0.46042780748663104,0.03586650495049864,581,20,30.2
CRC,20260916_152830,0,shuffled,0,w_class,0.6146849189722845,0.5333464073869076,581,254,30.2
CRC,20260916_152830,0,shuffled,1,y,0.3002673796791444,0.03137519927836323,581,20,28.0
CRC,20260916_152830,0,shuffled,1,w_class,0.6186460064051627,0.5324364324881428,581,254,28.0
CRC,20260916_152830,0,shuffled,2,y,0.4311942959001782,0.02979395475204842,581,20,27.4
CRC,20260916_152830,0,shuffled,2,w_class,0.5938561005562378,0.5164463112206104,581,254,27.4
CRC,20260916_152830,0,shuffled,3,y,0.4923351158645276,0.03780858161054023,581,20,26.6
CRC,20260916_152830,0,shuffled,3,w_class,0.624858532591683,0.5524341953252153,581,254,26.6
CRC,20260916_152830,0,shuffled,4,y,0.4651515151515152,0.036973881952374194,581,20,26.0
CRC,20260916_152830,0,shuffled,4,w_class,0.5974319150473163,0.5028549202785084,581,254,26.0
CRC,20260916_152830,1,real,-1,y,0.7862667421241276,0.1657241215728099,607,18,25.7
CRC,20260916_152830,1,real,-1,w_class,0.6078271932735921,0.5367131770800346,607,262,25.7
CRC,20260916_152830,1,shuffled,0,y,0.4684965100924354,0.031072202735360745,607,18,25.9
CRC,20260916_152830,1,shuffled,0,w_class,0.584671976988605,0.5201589923997303,607,262,25.9
CRC,20260916_152830,1,shuffled,1,y,0.3708734201094133,0.02279291325874062,607,18,26.4
CRC,20260916_152830,1,shuffled,1,w_class,0.5805122248036287,0.5269556115641043,607,262,26.4
CRC,20260916_152830,1,shuffled,2,y,0.3402188266364837,0.023057498384000997,607,18,25.5
CRC,20260916_152830,1,shuffled,2,w_class,0.5788416860272154,0.4970259769220622,607,262,25.5
CRC,20260916_152830,1,shuffled,3,y,0.6025278249386908,0.04241662947953494,607,18,25.5
CRC,20260916_152830,1,shuffled,3,w_class,0.5642825533797987,0.4923680603544123,607,262,25.6
CRC,20260916_152830,1,shuffled,4,y,0.4454819845312205,0.02778257412304929,607,18,25.4
CRC,20260916_152830,1,shuffled,4,w_class,0.5753789135966368,0.5117596218172256,607,262,25.5
CRC,20260916_152830,2,real,-1,y,0.8317077659182923,0.25830844873308817,591,19,25.6
CRC,20260916_152830,2,real,-1,w_class,0.5539979231568017,0.49735972111631976,591,270,25.6
CRC,20260916_152830,2,shuffled,0,y,0.4558336400441664,0.05277011903541187,591,19,25.8
CRC,20260916_152830,2,shuffled,0,w_class,0.578100842275297,0.5328494724517494,591,270,25.8
CRC,20260916_152830,2,shuffled,1,y,0.46834744203165257,0.03059648967327317,591,19,25.7
CRC,20260916_152830,2,shuffled,1,w_class,0.5665051344179071,0.497763548424857,591,270,25.7
CRC,20260916_152830,2,shuffled,2,y,0.4389952153110048,0.03884142308262187,591,19,25.9
