rank,variant,task,feature,selection_prob,n_selected,n_subsamples,pair_support,stable
1,plain,y,C01__NODE_10_length_33835_cov_21.090793_52,0.46,23,50,465,False
2,plain,y,C14__NODE_170_length_10501_cov_9.320218_7,0.32,16,50,186,False
3,plain,y,H14__NODE_21_length_15283_cov_7.116759_12,0.32,16,50,950,False
4,plain,y,GCA_900066595_Protein1409,0.28,14,50,636,False
5,plain,y,GCA_003574295_Protein118,0.26,13,50,5398,False
6,plain,y,GCA_000154105_Protein2784,0.26,13,50,926,False
7,plain,y,GCA_000174195_Protein794,0.24,12,50,2178,False
8,plain,y,GCA_018326305_Protein1890,0.24,12,50,366,False
9,plain,y,C15__NODE_12_length_17098_cov_709.668134_7,0.24,12,50,488,False
10,plain,y,A25__NODE_7_length_24704_cov_15.038501_23,0.22,11,50,366,False
11,plain,y,GCA_019042245_Protein3663,0.22,11,50,1034,False
12,plain,y,A07__NODE_38_length_16884_cov_6.471210_12,0.22,11,50,1074,False
13,plain,y,C03__NODE_8_length_37361_cov_25.472230_10,0.2,10,50,515,False
14,plain,y,GCA_900095835_Protein1187,0.2,10,50,890,False
15,plain,y,GCA_003339845_Protein572,0.2,10,50,5766,False
16,plain,y,GCA_008016795_Protein1175,0.2,10,50,546,False
17,plain,y,GCA_900142955_Protein1457,0.18,9,50,488,False
18,plain,y,GCA_902810075_Protein2492,0.18,9,50,1201,False
19,plain,y,H29__NODE_93_length_7021_cov_6.125897_4,0.18,9,50,154,False
20,plain,y,C27__NODE_32_length_11314_cov_19.339018_7,0.18,9,50,2399,False
21,plain,y,GCA_019042245_Protein2934,0.16,8,50,546,False
22,plain,y,GCA_002159265_Protein1479,0.16,8,50,306,False
23,plain,y,H10__NODE_18_length_17444_cov_992.972914_8,0.16,8,50,3673,False
24,plain,y,GCA_000173675_Protein2171,0.16,8,50,579,False
25,plain,y,H05__NODE_10_length_20290_cov_5.584038_21,0.14,7,50,869,False
26,plain,y,GCA_012034405_Protein1066,0.14,7,50,1302,False
27,plain,y,GCA_900095835_Protein1414,0.14,7,50,276,False
28,plain,y,GCA_000157955_Protein1615,0.14,7,50,306,False
29,plain,y,H25__NODE_77_length_6143_cov_4.881735_6,0.14,7,50,488,False
30,plain,y,H13__NODE_24_length_19605_cov_13.552225_29,0.14,7,50,579,False
31,plain,y,GCA_000174895_Protein1336,0.14,7,50,5674,False
32,plain,y,H30__NODE_2_length_44606_cov_690.508743_10,0.14,7,50,1049,False
33,plain,y,N04__NODE_17_length_42870_cov_27.292504_36,0.14,7,50,2308,False
34,plain,y,GCA_000154465_Protein145,0.14,7,50,670,False
35,plain,y,GCA_002159175_Protein732,0.14,7,50,838,False
36,plain,y,GCA_003254255_Protein1953,0.14,7,50,761,False
37,plain,y,GCA_003977605_Protein1265,0.14,7,50,579,False
38,plain,y,GCA_009911595_Protein1011,0.12,6,50,579,False
39,plain,y,GCA_002159175_Protein991,0.12,6,50,515,False
40,plain,y,GCA_002895535_Protein4074,0.12,6,50,522,False
41,plain,y,GCA_011754305_Protein1175,0.12,6,50,1074,False
42,plain,y,H13__NODE_44_length_14275_cov_6.931364_15,0.12,6,50,306,False
43,plain,y,GCA_009911595_Protein3444,0.12,6,50,604,False
44,plain,y,GCA_003148945_Protein2836,0.12,6,50,215,False
45,plain,y,GCA_001688845_Protein1327,0.12,6,50,1034,False
46,plain,y,GCA_016901815_Protein128,0.12,6,50,1761,False
47,plain,y,GCA_000364165_Protein1844,0.12,6,50,397,False
48,plain,y,GCA_000467935_Protein1089,0.12,6,50,1806,False
49,plain,y,GCA_000156055_Protein1955,0.12,6,50,1466,False
50,plain,y,H27__NODE_124_length_5797_cov_8.936199_6,0.12,6,50,670,False
51,plain,y,GCA_016791685_Protein3406,0.12,6,50,154,False
52,plain,y,GCA_900141895_Protein1426,0.1,5,50,1227,False
53,plain,y,GCA_000022065_Protein2882,0.1,5,50,2490,False
54,plain,y,A06__NODE_8_length_18409_cov_23.192601_35,0.1,5,50,546,False
55,plain,y,GCA_900771915_Protein62,0.1,5,50,1266,False
56,plain,y,GCA_900538735_Protein1103,0.1,5,50,890,False
57,plain,y,GCA_900176335_Protein2323,0.1,5,50,890,False
58,plain,y,H02__NODE_10_length_39575_cov_129.850506_19,0.1,5,50,2672,False
59,plain,y,GCA_014287795_Protein1509,0.1,5,50,488,False
60,plain,y,GCA_014287995_Protein2499,0.1,5,50,1580,False
61,plain,y,C13__NODE_23_length_19190_cov_7.937810_18,0.1,5,50,982,False
62,plain,y,GCA_000467935_Protein407,0.1,5,50,2178,False
63,plain,y,GCA_006965445_Protein1896,0.1,5,50,4185,False
64,plain,y,GCA_002161285_Protein3758,0.1,5,50,306,False
65,plain,y,GCA_003129965_Protein852,0.1,5,50,488,False
66,plain,y,H13__NODE_9_length_39936_cov_11.831699_41,0.1,5,50,488,False
67,plain,y,GCA_011082265_Protein51,0.1,5,50,943,False
68,plain,y,GCA_000154285_Protein288,0.1,5,50,62,False
69,plain,y,GCA_900048895_Protein370,0.1,5,50,1216,False
70,plain,y,GCA_016899585_Protein2478,0.1,5,50,488,False
71,plain,y,GCA_906464915_Protein2138,0.1,5,50,154,False
72,plain,y,GCA_000154505_Protein3176,0.1,5,50,215,False
73,plain,y,GCA_017873235_Protein2085,0.1,5,50,1944,False
74,plain,y,GCA_014467055_Protein2237,0.1,5,50,1166,False
75,plain,y,GCA_000407585_Protein2324,0.1,5,50,579,False
76,plain,y,GCA_001486665_Protein242,0.08,4,50,3098,False
77,plain,y,GCA_003149065_Protein461,0.08,4,50,1626,False
78,plain,y,H13__NODE_54_length_11661_cov_21.872049_2,0.08,4,50,515,False
79,plain,y,H05__NODE_10_length_20290_cov_5.584038_28,0.08,4,50,397,False
80,plain,y,GCA_014174405_Protein1030,0.08,4,50,1580,False
81,plain,y,C14__NODE_61_length_20730_cov_5.039033_8,0.08,4,50,604,False
82,plain,y,GCA_000468015_Protein2181,0.08,4,50,1307,False
83,plain,y,GCA_013282095_Protein523,0.08,4,50,636,False
84,plain,y,GCA_004216775_Protein2515,0.08,4,50,706,False
85,plain,y,GCA_000686145_Protein1322,0.08,4,50,186,False
86,plain,y,GCA_003478995_Protein2384,0.08,4,50,456,False
87,plain,y,H19__NODE_16_length_31916_cov_20.748878_3,0.08,4,50,574,False
88,plain,y,H15__NODE_116_length_9962_cov_9.527910_6,0.08,4,50,996,False
89,plain,y,GCA_001405075_Protein899,0.08,4,50,522,False
90,plain,y,A09__NODE_18_length_33099_cov_24.371232_2,0.08,4,50,279,False
91,plain,y,GCA_014333425_Protein2250,0.08,4,50,488,False
92,plain,y,H14__NODE_3_length_61128_cov_17.781016_71,0.08,4,50,488,False
93,plain,y,GCA_014467055_Protein2549,0.08,4,50,306,False
94,plain,y,GCA_000157955_Protein1329,0.08,4,50,215,False
95,plain,y,GCA_019042245_Protein1417,0.08,4,50,3696,False
96,plain,y,GCA_910586985_Protein1716,0.08,4,50,2510,False
97,plain,y,C14__NODE_174_length_10381_cov_7.379043_2,0.08,4,50,1850,False
98,plain,y,GCA_015667795_Protein1879,0.08,4,50,1762,False
99,plain,y,GCA_903797705_Protein4551,0.08,4,50,1850,False
100,plain,y,GCA_000196535_Protein688,0.08,4,50,1671,False
101,plain,y,GCA_000173795_Protein1237,0.08,4,50,306,False
102,plain,y,GCA_900176035_Protein1470,0.08,4,50,4743,False
103,plain,y,C29__NODE_3_length_56965_cov_31.474381_62,0.08,4,50,604,False
104,plain,y,GCA_900112485_Protein402,0.08,4,50,636,False
105,plain,y,C17__NODE_50_length_6129_cov_4.371419_12,0.08,4,50,1138,False
106,plain,y,A09__NODE_165_length_5005_cov_8.422424_7,0.08,4,50,606,False
107,plain,y,H28__NODE_9_length_32951_cov_10.586941_25,0.08,4,50,744,False
108,plain,y,GCA_002250835_Protein1897,0.08,4,50,215,False
109,plain,y,H27__NODE_10_length_41236_cov_122.978340_43,0.08,4,50,456,False
110,plain,y,H22__NODE_25_length_11457_cov_12.433871_1,0.06,3,50,1036,False
111,plain,y,H25__NODE_32_length_14866_cov_16.966579_12,0.06,3,50,726,False
112,plain,y,H27__NODE_15_length_35026_cov_70.940465_37,0.06,3,50,306,False
113,plain,y,A16__NODE_15_length_18394_cov_10.996783_6,0.06,3,50,1102,False
114,plain,y,A28__NODE_9_length_29102_cov_12.365064_11,0.06,3,50,306,False
115,plain,y,GCA_001688705_Protein1583,0.06,3,50,430,False
116,plain,y,GCA_003434585_Protein146,0.06,3,50,614,False
117,plain,y,GCA_000875895_Protein1135,0.06,3,50,338,False
118,plain,y,GCA_004216775_Protein944,0.06,3,50,614,False
119,plain,y,GCA_006965445_Protein2035,0.06,3,50,306,False
120,plain,y,GCA_004216775_Protein2601,0.06,3,50,614,False
121,plain,y,GCA_000746025_Protein2659,0.06,3,50,4938,False
122,plain,y,H16__NODE_2_length_58101_cov_142.738345_21,0.06,3,50,488,False
123,plain,y,H15__NODE_10_length_37791_cov_15.286861_46,0.06,3,50,579,False
124,plain,y,H19__NODE_16_length_31916_cov_20.748878_26,0.06,3,50,852,False
125,plain,y,C21__NODE_107_length_9552_cov_9.549542_7,0.06,3,50,662,False
126,plain,y,C19__NODE_9_length_40963_cov_54.196783_59,0.06,3,50,154,False
127,plain,y,GCA_900624825_Protein4789,0.06,3,50,488,False
128,plain,y,C11__NODE_28_length_12669_cov_227.502061_3,0.06,3,50,1446,False
129,plain,y,C08__NODE_5_length_36245_cov_50.918403_44,0.06,3,50,3558,False
