pair,outer_fold,n,cka,cka_scaled
mlp_clf_y vs mlp_clf_w_class,0,1901,0.10576945294770768,0.10301782005289922
mlp_clf_y vs mlp_clf_w_class,1,1912,0.08127402457634056,0.0853632989264413
mlp_clf_y vs mlp_clf_w_class,2,1956,0.06145397349613962,0.0630756097598353
mlp_clf_y vs mlp_clf_w_class,3,1860,0.10592864790771737,0.10613913749497984
mlp_clf_y vs mlp_clf_w_class,4,1935,0.10580028918258068,0.1116071593730134
mlp_clf_y vs mlp_clf_w_class,5,1947,0.046894421676743035,0.05117279327939862
mlp_clf_y vs mlp_clf_w_class,6,1897,0.10324246187533725,0.11013582800233558
mlp_clf_y vs mlp_clf_w_class,7,1944,0.10375546262691825,0.11303685179486744
mlp_clf_y vs mlp_clf_w_class,8,1956,0.06131207744201661,0.06540695318012375
mlp_clf_y vs mlp_clf_w_class,9,1956,0.11817801977353332,0.12357863295191751
mlp_clf_y vs mlp_latent_yw,0,1901,0.903772710231045,0.8462693093614301
mlp_clf_y vs mlp_latent_yw,1,1912,0.8733368043354932,0.8401873239483904
mlp_clf_y vs mlp_latent_yw,2,1956,0.9633663700972681,0.9246846877828102
mlp_clf_y vs mlp_latent_yw,3,1860,0.8701853033151687,0.8251096661916562
mlp_clf_y vs mlp_latent_yw,4,1935,0.8526940439451789,0.8143284745405535
mlp_clf_y vs mlp_latent_yw,5,1947,0.9560046883591846,0.8981511641727454
mlp_clf_y vs mlp_latent_yw,6,1897,0.8602556555123502,0.8043352383442528
mlp_clf_y vs mlp_latent_yw,7,1944,0.8290259841301801,0.7903403142433313
mlp_clf_y vs mlp_latent_yw,8,1956,0.9455319229691184,0.8898584313040304
mlp_clf_y vs mlp_latent_yw,9,1956,0.8875224793839285,0.836895241576637
mlp_clf_w_class vs mlp_latent_yw,0,1901,0.1366042418146912,0.19436141898802484
mlp_clf_w_class vs mlp_latent_yw,1,1912,0.12154484212439237,0.15833750711875066
mlp_clf_w_class vs mlp_latent_yw,2,1956,0.07841480211442392,0.12717497124134103
mlp_clf_w_class vs mlp_latent_yw,3,1860,0.1519820290443426,0.1901129473242642
mlp_clf_w_class vs mlp_latent_yw,4,1935,0.12598861841387798,0.16900180646719393
mlp_clf_w_class vs mlp_latent_yw,5,1947,0.0674410464009382,0.1355850504734213
mlp_clf_w_class vs mlp_latent_yw,6,1897,0.13345820179168552,0.18272897817844388
mlp_clf_w_class vs mlp_latent_yw,7,1944,0.15371172968519123,0.19256017653430538
mlp_clf_w_class vs mlp_latent_yw,8,1956,0.09302367990251798,0.14180136083436312
mlp_clf_w_class vs mlp_latent_yw,9,1956,0.1500422981438494,0.17499489214051148
