metric,rule,n_inner,n_points,ratio_min,lambda_max,chosen_ratio,chosen_C,chosen_score,best_ratio,best_score,best_score_se,n_nonzero,outer_fold,task,model
auc,1se,3,8,0.05,0.02848682,1.0,0.0020217677308184763,0.75668,1.0,0.75668,0.01638,34,0,y,sparse_logistic
auc,1se,3,8,0.05,0.03085968,0.05,0.03732620446858229,0.59634,0.05,0.59634,0.00145,311,0,w_class,sparse_logistic
auc,1se,3,8,0.05,0.03171449,1.0,0.001817157954663125,0.75498,1.0,0.75498,0.01199,35,1,y,sparse_logistic
auc,1se,3,8,0.05,0.0293381,0.076706,0.02560866974994843,0.59207,0.05,0.59367,0.00186,234,1,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02941128,1.0,0.0019644419440033594,0.75609,0.651836,0.75617,0.01246,37,2,y,sparse_logistic
auc,1se,3,8,0.05,0.030355,0.076706,0.024813697543567437,0.59495,0.05,0.59715,0.00488,239,2,w_class,sparse_logistic
auc,1se,3,8,0.05,0.03064884,1.0,0.0018747218526091326,0.75045,1.0,0.75045,0.00941,32,3,y,sparse_logistic
auc,1se,3,8,0.05,0.02941194,0.076706,0.02546805755547822,0.59269,0.05,0.59446,0.00282,244,3,w_class,sparse_logistic
auc,1se,3,8,0.05,0.03096451,1.0,0.0018636412659746467,0.76903,1.0,0.76903,0.00516,29,4,y,sparse_logistic
auc,1se,3,8,0.05,0.0305625,0.076706,0.024615356175353986,0.58587,0.05,0.58737,0.00226,228,4,w_class,sparse_logistic
auc,1se,3,8,0.05,0.02932167,1.0,0.001969421247599873,0.76197,1.0,0.76197,0.01988,31,5,y,sparse_logistic
auc,1se,3,8,0.05,0.02897405,0.076706,0.02598284520413935,0.59147,0.05,0.5935,0.00416,255,5,w_class,sparse_logistic
auc,1se,3,8,0.05,0.03163033,1.0,0.0018204192951301354,0.7616,1.0,0.7616,0.00657,31,6,y,sparse_logistic
auc,1se,3,8,0.05,0.03015046,0.05,0.038195414515639806,0.59197,0.05,0.59197,0.00151,300,6,w_class,sparse_logistic
auc,1se,3,8,0.05,0.03096199,1.0,0.0018647611398671872,0.76824,1.0,0.76824,0.00644,36,7,y,sparse_logistic
auc,1se,3,8,0.05,0.02957026,0.076706,0.025454553052364805,0.59798,0.05,0.59955,0.003,248,7,w_class,sparse_logistic
auc,1se,3,8,0.05,0.03093399,1.0,0.001867743205610358,0.76648,1.0,0.76648,0.01383,38,8,y,sparse_logistic
auc,1se,3,8,0.05,0.03044214,0.076706,0.024742665110036997,0.59418,0.05,0.59582,0.00181,221,8,w_class,sparse_logistic
auc,1se,3,8,0.05,0.03175659,1.0,0.001819362811764598,0.77005,1.0,0.77005,0.02011,35,9,y,sparse_logistic
auc,1se,3,8,0.05,0.02952161,0.076706,0.025514178975909657,0.5902,0.05,0.59185,0.00321,239,9,w_class,sparse_logistic
