metric,ratio,score_mean,score_se,is_min,is_1se,outer_fold,task,model
auc,1.0,0.75668,0.01638,True,True,0,y,sparse_logistic
auc,0.651836,0.75656,0.01366,False,False,0,y,sparse_logistic
auc,0.424891,0.75285,0.01331,False,False,0,y,sparse_logistic
auc,0.276959,0.74127,0.00986,False,False,0,y,sparse_logistic
auc,0.180532,0.72293,0.00689,False,False,0,y,sparse_logistic
auc,0.117677,0.70406,0.00423,False,False,0,y,sparse_logistic
auc,0.076706,0.68813,0.0026,False,False,0,y,sparse_logistic
auc,0.05,0.67353,0.00153,False,False,0,y,sparse_logistic
auc,1.0,0.51884,0.00393,False,False,0,w_class,sparse_logistic
auc,0.651836,0.54675,0.00819,False,False,0,w_class,sparse_logistic
auc,0.424891,0.56229,0.00663,False,False,0,w_class,sparse_logistic
auc,0.276959,0.57067,0.00613,False,False,0,w_class,sparse_logistic
auc,0.180532,0.58042,0.0049,False,False,0,w_class,sparse_logistic
auc,0.117677,0.58938,0.00359,False,False,0,w_class,sparse_logistic
auc,0.076706,0.59385,0.00264,False,False,0,w_class,sparse_logistic
auc,0.05,0.59634,0.00145,True,True,0,w_class,sparse_logistic
auc,1.0,0.75498,0.01199,True,True,1,y,sparse_logistic
auc,0.651836,0.75186,0.00557,False,False,1,y,sparse_logistic
auc,0.424891,0.74942,0.00327,False,False,1,y,sparse_logistic
auc,0.276959,0.74376,0.00298,False,False,1,y,sparse_logistic
auc,0.180532,0.73277,0.00471,False,False,1,y,sparse_logistic
auc,0.117677,0.71745,0.00463,False,False,1,y,sparse_logistic
auc,0.076706,0.70234,0.00425,False,False,1,y,sparse_logistic
auc,0.05,0.68726,0.00482,False,False,1,y,sparse_logistic
auc,1.0,0.51401,0.0017,False,False,1,w_class,sparse_logistic
auc,0.651836,0.54548,0.00725,False,False,1,w_class,sparse_logistic
auc,0.424891,0.56194,0.00465,False,False,1,w_class,sparse_logistic
auc,0.276959,0.56963,0.00309,False,False,1,w_class,sparse_logistic
auc,0.180532,0.57843,0.00198,False,False,1,w_class,sparse_logistic
auc,0.117677,0.58737,0.00106,False,False,1,w_class,sparse_logistic
auc,0.076706,0.59207,0.0007,False,True,1,w_class,sparse_logistic
auc,0.05,0.59367,0.00186,True,False,1,w_class,sparse_logistic
auc,1.0,0.75609,0.01467,False,True,2,y,sparse_logistic
auc,0.651836,0.75617,0.01246,True,False,2,y,sparse_logistic
auc,0.424891,0.753,0.00995,False,False,2,y,sparse_logistic
auc,0.276959,0.7448,0.00841,False,False,2,y,sparse_logistic
auc,0.180532,0.73246,0.00691,False,False,2,y,sparse_logistic
auc,0.117677,0.71975,0.00652,False,False,2,y,sparse_logistic
auc,0.076706,0.70772,0.00521,False,False,2,y,sparse_logistic
auc,0.05,0.69525,0.00478,False,False,2,y,sparse_logistic
auc,1.0,0.51204,0.0044,False,False,2,w_class,sparse_logistic
auc,0.651836,0.54686,0.00295,False,False,2,w_class,sparse_logistic
auc,0.424891,0.56047,0.00441,False,False,2,w_class,sparse_logistic
auc,0.276959,0.57071,0.0074,False,False,2,w_class,sparse_logistic
auc,0.180532,0.5805,0.00707,False,False,2,w_class,sparse_logistic
auc,0.117677,0.58957,0.00579,False,False,2,w_class,sparse_logistic
auc,0.076706,0.59495,0.00508,False,True,2,w_class,sparse_logistic
auc,0.05,0.59715,0.00488,True,False,2,w_class,sparse_logistic
auc,1.0,0.75045,0.00941,True,True,3,y,sparse_logistic
auc,0.651836,0.74551,0.00673,False,False,3,y,sparse_logistic
auc,0.424891,0.74139,0.00642,False,False,3,y,sparse_logistic
auc,0.276959,0.7316,0.00713,False,False,3,y,sparse_logistic
auc,0.180532,0.72034,0.00606,False,False,3,y,sparse_logistic
auc,0.117677,0.70781,0.00516,False,False,3,y,sparse_logistic
auc,0.076706,0.6965,0.00478,False,False,3,y,sparse_logistic
auc,0.05,0.6854,0.00594,False,False,3,y,sparse_logistic
auc,1.0,0.51661,0.00144,False,False,3,w_class,sparse_logistic
auc,0.651836,0.54681,0.00337,False,False,3,w_class,sparse_logistic
auc,0.424891,0.56114,0.00354,False,False,3,w_class,sparse_logistic
auc,0.276959,0.56903,0.00383,False,False,3,w_class,sparse_logistic
auc,0.180532,0.57893,0.00355,False,False,3,w_class,sparse_logistic
auc,0.117677,0.58823,0.00334,False,False,3,w_class,sparse_logistic
auc,0.076706,0.59269,0.00331,False,True,3,w_class,sparse_logistic
auc,0.05,0.59446,0.00282,True,False,3,w_class,sparse_logistic
auc,1.0,0.76903,0.00516,True,True,4,y,sparse_logistic
auc,0.651836,0.76503,0.00401,False,False,4,y,sparse_logistic
auc,0.424891,0.75516,0.00272,False,False,4,y,sparse_logistic
auc,0.276959,0.74449,0.00073,False,False,4,y,sparse_logistic
auc,0.180532,0.7309,0.00194,False,False,4,y,sparse_logistic
auc,0.117677,0.71546,0.00244,False,False,4,y,sparse_logistic
auc,0.076706,0.70007,0.00386,False,False,4,y,sparse_logistic
auc,0.05,0.6855,0.00495,False,False,4,y,sparse_logistic
auc,1.0,0.51605,0.00166,False,False,4,w_class,sparse_logistic
auc,0.651836,0.53426,0.00513,False,False,4,w_class,sparse_logistic
auc,0.424891,0.55664,0.00512,False,False,4,w_class,sparse_logistic
auc,0.276959,0.5631,0.00383,False,False,4,w_class,sparse_logistic
auc,0.180532,0.57163,0.00272,False,False,4,w_class,sparse_logistic
auc,0.117677,0.58158,0.0021,False,False,4,w_class,sparse_logistic
auc,0.076706,0.58587,0.00222,False,True,4,w_class,sparse_logistic
auc,0.05,0.58737,0.00226,True,False,4,w_class,sparse_logistic
