outer_fold,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
0,y,binary,sparse_logistic,1901,56.0,1845.0,0.754563492063492,0.1637840843361885,
0,y,binary,xgb_clf,1901,56.0,1845.0,0.7908875338753388,0.22966824348885537,
0,y,binary,mlp_clf_y,1901,56.0,1845.0,0.7639469608981805,0.20142864738529087,
0,w_reg,regression,linreg,1901,,,,,-0.19329117836537857
0,w_reg,regression,xgb_reg,1901,,,,,-0.20597448264320484
0,w_reg,regression,mlp_reg,1901,,,,,-0.15735127287332196
0,w_class,binary,sparse_logistic,1901,960.0,941.0,0.5813197396386822,0.5829602031814419,
0,w_class,binary,xgb_clf,1901,960.0,941.0,0.5754134564293305,0.5639927170115351,
0,w_class,binary,mlp_clf_w_class,1901,960.0,941.0,0.5761501505490613,0.5692959862604325,
0,y,binary,mlp_latent_yw,1901,56.0,1845.0,0.7650696864111498,0.23945157654086868,
0,w_class,binary,mlp_latent_yw,1901,960.0,941.0,0.5953506907545165,0.5946715023917053,
1,y,binary,sparse_logistic,1912,44.0,1868.0,0.7684202842125754,0.09459177112928438,
1,y,binary,xgb_clf,1912,44.0,1868.0,0.8092758419310883,0.17845306208208747,
1,y,binary,mlp_clf_y,1912,44.0,1868.0,0.8323924469534748,0.250552588170009,
1,w_reg,regression,linreg,1912,,,,,-0.17332453093532818
1,w_reg,regression,xgb_reg,1912,,,,,-0.17741990847363098
1,w_reg,regression,mlp_reg,1912,,,,,-0.1441162689958595
1,w_class,binary,sparse_logistic,1912,947.0,965.0,0.6108228329439572,0.5962457123221504,
1,w_class,binary,xgb_clf,1912,947.0,965.0,0.589766976161426,0.5813120611778974,
1,w_class,binary,mlp_clf_w_class,1912,947.0,965.0,0.6029687423059458,0.5837868002265834,
1,y,binary,mlp_latent_yw,1912,44.0,1868.0,0.824009635974304,0.191738774900109,
1,w_class,binary,mlp_latent_yw,1912,947.0,965.0,0.6228285668951858,0.6031524092282188,
2,y,binary,sparse_logistic,1956,51.0,1905.0,0.7880860480675209,0.15004437511213936,
