model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.09090909090909091,0,4214,488,17363,1901,0.5522098662304363
l2_logistic,0.09090909090909091,1,4235,467,17352,1912,0.572205715640583
l2_logistic,0.09090909090909091,2,4219,483,17308,1956,0.5871722755633143
l2_logistic,0.09090909090909091,3,4263,439,17404,1860,0.6070815412804034
l2_logistic,0.09090909090909091,4,4218,484,17329,1935,0.5715251949353822
l2_logistic,0.09090909090909091,5,4199,503,17317,1947,0.5648064521458506
l2_logistic,0.09090909090909091,6,4269,433,17367,1897,0.5693250798218049
l2_logistic,0.09090909090909091,7,4232,470,17320,1944,0.5818975721008113
l2_logistic,0.09090909090909091,8,4227,475,17308,1956,0.5756693556984968
l2_logistic,0.09090909090909091,9,4242,460,17308,1956,0.6046951290397582
l2_logistic,0.18181818181818182,0,2784,336,17363,1901,0.55487981134946
l2_logistic,0.18181818181818182,1,2814,306,17352,1912,0.5470071382641891
l2_logistic,0.18181818181818182,2,2812,308,17308,1956,0.571820624763586
l2_logistic,0.18181818181818182,3,2831,289,17404,1860,0.5878344298366368
l2_logistic,0.18181818181818182,4,2795,325,17329,1935,0.5494524605828954
l2_logistic,0.18181818181818182,5,2787,333,17317,1947,0.5525376677793035
l2_logistic,0.18181818181818182,6,2827,293,17367,1897,0.5699424646574689
l2_logistic,0.18181818181818182,7,2815,305,17320,1944,0.5816421448504185
l2_logistic,0.18181818181818182,8,2787,333,17308,1956,0.5884146623518158
l2_logistic,0.18181818181818182,9,2828,292,17308,1956,0.6040898314014752
l2_logistic,0.2727272727272727,0,2186,264,17363,1901,0.5434159863756687
l2_logistic,0.2727272727272727,1,2208,242,17352,1912,0.532736180531499
l2_logistic,0.2727272727272727,2,2202,248,17308,1956,0.5645503607312835
l2_logistic,0.2727272727272727,3,2226,224,17404,1860,0.588731771742927
l2_logistic,0.2727272727272727,4,2198,252,17329,1935,0.5397037602919956
l2_logistic,0.2727272727272727,5,2187,263,17317,1947,0.5565352275498316
l2_logistic,0.2727272727272727,6,2209,241,17367,1897,0.569652414456672
l2_logistic,0.2727272727272727,7,2215,235,17320,1944,0.5728222302453843
l2_logistic,0.2727272727272727,8,2190,260,17308,1956,0.5788484216255443
l2_logistic,0.2727272727272727,9,2229,221,17308,1956,0.5964244265651284
l2_logistic,0.36363636363636365,0,1667,195,17363,1901,0.5553912285448042
l2_logistic,0.36363636363636365,1,1680,182,17352,1912,0.5418598742298165
l2_logistic,0.36363636363636365,2,1668,194,17308,1956,0.5372526533812326
l2_logistic,0.36363636363636365,3,1696,166,17404,1860,0.5991273239356482
l2_logistic,0.36363636363636365,4,1679,183,17329,1935,0.5088329964817726
l2_logistic,0.36363636363636365,5,1661,201,17317,1947,0.532657445874864
l2_logistic,0.36363636363636365,6,1677,185,17367,1897,0.5469247284667846
l2_logistic,0.36363636363636365,7,1676,186,17320,1944,0.5726418094853634
l2_logistic,0.36363636363636365,8,1658,204,17308,1956,0.5676733592980572
l2_logistic,0.36363636363636365,9,1696,166,17308,1956,0.575277646900451
l2_logistic,0.4545454545454546,0,1370,166,17363,1901,0.5455505017186904
l2_logistic,0.4545454545454546,1,1386,150,17352,1912,0.539474082482028
