model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909091,0.5786588182456841,0.017155274309888103,10
l2_logistic,0.18181818181818182,0.5707621235837249,0.019541291605266783,10
l2_logistic,0.2727272727272727,0.5643420780115934,0.021185823277963325,10
l2_logistic,0.36363636363636365,0.5537639066598794,0.025816764832954316,10
l2_logistic,0.4545454545454546,0.563055595877777,0.022022042793189575,10
l2_logistic,0.5454545454545454,0.5527289218762312,0.021372976720799835,10
l2_logistic,0.6363636363636364,0.556441291026524,0.02126213840856167,10
l2_logistic,0.7272727272727273,0.554629868068568,0.040480094815079,10
l2_logistic,0.8181818181818182,0.536090035916362,0.027513323418025905,10
l2_logistic,0.9090909090909092,0.5160500652493283,0.03832390888462562,10
xgboost,0.09090909090909091,0.5605829182805565,0.013017258999022674,10
xgboost,0.18181818181818182,0.5489621400277864,0.014230664201316419,10
xgboost,0.2727272727272727,0.5440990847534133,0.026437720291075984,10
xgboost,0.36363636363636365,0.5469675000817634,0.025497937160972085,10
xgboost,0.4545454545454546,0.5404934314766869,0.01735315711077261,10
xgboost,0.5454545454545454,0.5351380529778921,0.01828661577150095,10
xgboost,0.6363636363636364,0.5383296406192245,0.016301566024850337,10
xgboost,0.7272727272727273,0.5197380989079392,0.0406134805850741,10
xgboost,0.8181818181818182,0.49893802314672503,0.025638760187044845,10
xgboost,0.9090909090909092,0.522591347841649,0.040178326079633064,10
