model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909093,0.5786588182456841,0.01715527430988813,10
l2_logistic,0.18181818181818185,0.5707621235837249,0.01954129160526681,10
l2_logistic,0.2727272727272727,0.5643420780115934,0.021185823277963263,10
l2_logistic,0.3636363636363637,0.5537639066598794,0.025816764832954312,10
l2_logistic,0.4545454545454546,0.5630555958777771,0.02202204279318955,10
l2_logistic,0.5454545454545454,0.5527289218762312,0.021372976720799845,10
l2_logistic,0.6363636363636364,0.556441291026524,0.0212621384085617,10
l2_logistic,0.7272727272727273,0.554629868068568,0.040480094815079,10
l2_logistic,0.8181818181818182,0.536090035916362,0.027513323418025946,10
l2_logistic,0.9090909090909092,0.5160500652493284,0.0383239088846256,10
xgboost,0.09090909090909093,0.5605829182805566,0.01301725899902268,10
xgboost,0.18181818181818185,0.5489621400277865,0.014230664201316428,10
xgboost,0.2727272727272727,0.5440990847534133,0.026437720291076005,10
xgboost,0.3636363636363637,0.5469675000817635,0.02549793716097207,10
xgboost,0.4545454545454546,0.5404934314766869,0.017353157110772607,10
xgboost,0.5454545454545454,0.5351380529778922,0.01828661577150096,10
xgboost,0.6363636363636364,0.5383296406192244,0.01630156602485034,10
xgboost,0.7272727272727273,0.5197380989079391,0.040613480585074094,10
xgboost,0.8181818181818182,0.4989380231467251,0.025638760187044828,10
xgboost,0.9090909090909092,0.522591347841649,0.04017832607963305,10
