cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
GvHD,20260916_152830,0,real,-1,y,0.7650696864111498,0.23945157654086868,1901,56,158.1
GvHD,20260916_152830,0,real,-1,w_class,0.5953506907545165,0.5946715023917053,1901,960,158.1
GvHD,20260916_152830,0,shuffled,0,y,0.5087688734030198,0.02893121226701268,1901,56,113.7
GvHD,20260916_152830,0,shuffled,0,w_class,0.5780497254693587,0.5796769533713262,1901,960,113.7
GvHD,20260916_152830,0,shuffled,1,y,0.514237320944638,0.02953790083209298,1901,56,118.5
GvHD,20260916_152830,0,shuffled,1,w_class,0.5931998317392844,0.5931589248949316,1901,960,118.5
GvHD,20260916_152830,0,shuffled,2,y,0.5002516453735966,0.03017102491036052,1901,56,128.2
GvHD,20260916_152830,0,shuffled,2,w_class,0.5825971927027984,0.5749816000212526,1901,960,128.2
GvHD,20260916_152830,0,shuffled,3,y,0.5786488579171507,0.040861739077160286,1901,56,119.8
GvHD,20260916_152830,0,shuffled,3,w_class,0.5959595288699965,0.5986224924276884,1901,960,119.8
GvHD,20260916_152830,0,shuffled,4,y,0.4699574138598529,0.026265524678661743,1901,56,115.7
GvHD,20260916_152830,0,shuffled,4,w_class,0.5906106092809068,0.590834805038907,1901,960,115.7
GvHD,20260916_152830,1,real,-1,y,0.824009635974304,0.191738774900109,1912,44,114.2
GvHD,20260916_152830,1,real,-1,w_class,0.6228285668951858,0.6031524092282188,1912,947,114.2
GvHD,20260916_152830,1,shuffled,0,y,0.4760195639478295,0.021436728197477155,1912,44,121.2
GvHD,20260916_152830,1,shuffled,0,w_class,0.6097488113540989,0.6038683675993971,1912,947,121.2
GvHD,20260916_152830,1,shuffled,1,y,0.49599717734086046,0.02413789351833487,1912,44,117.1
GvHD,20260916_152830,1,shuffled,1,w_class,0.6169151561243305,0.5978704988405745,1912,947,117.1
GvHD,20260916_152830,1,shuffled,2,y,0.4391181623515671,0.030787587301650106,1912,44,110.3
GvHD,20260916_152830,1,shuffled,2,w_class,0.6223000366578944,0.6034240297279883,1912,947,110.3
GvHD,20260916_152830,1,shuffled,3,y,0.5502238660696905,0.029677481886272655,1912,44,109.1
GvHD,20260916_152830,1,shuffled,3,w_class,0.6013842458595728,0.5972931403388212,1912,947,109.1
GvHD,20260916_152830,1,shuffled,4,y,0.5838037765232627,0.02888091467101472,1912,44,90.2
GvHD,20260916_152830,1,shuffled,4,w_class,0.624372575517998,0.6051424184918812,1912,947,90.2
GvHD,20260916_152830,2,real,-1,y,0.8007359374195873,0.27630197919223465,1956,51,69.0
GvHD,20260916_152830,2,real,-1,w_class,0.5870742131577324,0.558914646698089,1956,963,69.0
GvHD,20260916_152830,2,shuffled,0,y,0.5847974885492255,0.04442133368988583,1956,51,68.0
