rank,variant,task,feature,selection_prob,n_selected,n_subsamples,pair_support,stable
1,plain,y,G01M_8519_V__NODE_95_length_35869_cov_9.632178-cat_1_55,0.3,15,50,8500,False
2,plain,y,G01M_8418_V__NODE_161_length_21194_cov_5.963735-cat_1_1,0.28,14,50,4744,False
3,plain,y,GCA_900155545_Protein4482,0.26,13,50,796,False
4,plain,y,GCA_000612845_Protein3509,0.26,13,50,3040,False
5,plain,y,G23J_8067V__NODE_124_length_16030_cov_6.245182-cat_2_3,0.24,12,50,6104,False
6,plain,y,G21F_7876_V1__NODE_265_length_16179_cov_3.995460-cat_1_11,0.24,12,50,509,False
7,plain,y,GCA_002006345_Protein5081,0.24,12,50,3486,False
8,plain,y,GCA_014385025_Protein2080,0.22,11,50,4859,False
9,plain,y,GCA_900205965_Protein968,0.22,11,50,1668,False
10,plain,y,GCA_900109655_Protein2779,0.22,11,50,3331,False
11,plain,y,G23J_7936V__NODE_63_length_29640_cov_12.509157-cat_1_13,0.22,11,50,6224,False
12,plain,y,GCA_000189595_Protein4411,0.2,10,50,1822,False
13,plain,y,BBN1_V__NODE_20_length_48275_cov_7.850008_1-cat_1_21,0.2,10,50,796,False
14,plain,y,GCA_000735365_Protein3773,0.2,10,50,56,False
15,plain,y,GCA_900635865_Protein7944,0.2,10,50,1120,False
16,plain,y,G23J_8196V__NODE_28_length_56403_cov_990.113065-cat_1_24,0.18,9,50,564,False
17,plain,y,GCA_002891535_Protein2307,0.18,9,50,15491,False
18,plain,y,AZV1_V__NODE_63_length_39866_cov_3.229487-cat_1_35,0.18,9,50,10419,False
19,plain,y,GCA_014334055_Protein2195,0.18,9,50,509,False
20,plain,y,G01M_8520_V__NODE_97_length_32707_cov_20.863653-cat_1_26,0.18,9,50,1297,False
21,plain,y,GCA_015550495_Protein781,0.18,9,50,796,False
22,plain,y,GCA_014385005_Protein2112,0.16,8,50,6118,False
23,plain,y,GCA_000242315_Protein2618,0.16,8,50,509,False
24,plain,y,G01M_8519_V__NODE_94_length_36013_cov_7.546500-cat_1_52,0.16,8,50,1822,False
25,plain,y,GCA_000702985_Protein2506,0.16,8,50,19264,False
26,plain,y,AZB2_V__NODE_12_length_50899_cov_17.930020-cat_1_57,0.16,8,50,448,False
27,plain,y,AZP1_V__NODE_343_length_12150_cov_4.318148-cat_2_20,0.16,8,50,1873,False
28,plain,y,G21F_7878_V2__NODE_785_length_6868_cov_1.613532-cat_1_11,0.16,8,50,8817,False
29,plain,y,G01M_8193_V__NODE_6_length_38047_cov_32.752556-cat_1_34,0.16,8,50,674,False
30,plain,y,GCA_000687955_Protein966,0.14,7,50,509,False
31,plain,y,BAC3_V__NODE_41_length_41591_cov_11.308228-cat_1_25,0.14,7,50,784,False
32,plain,y,AZS1_V__NODE_85_length_15410_cov_7.292535-cat_1_13,0.14,7,50,2434,False
33,plain,y,GCA_002419365_Protein133,0.14,7,50,16528,False
34,plain,y,GCA_000016505_Protein3060,0.14,7,50,4130,False
35,plain,y,AWG0_V__NODE_47_length_59369_cov_29.646212-cat_1_36,0.14,7,50,504,False
36,plain,y,GCA_014196055_Protein975,0.14,7,50,454,False
37,plain,y,G01M_8068_V__NODE_7_length_35404_cov_9.556748-cat_1_30,0.14,7,50,8238,False
38,plain,y,GCA_014384805_Protein1990,0.14,7,50,8214,False
39,plain,y,BAJ6_V__NODE_8_length_34948_cov_3.210594-cat_1_24,0.14,7,50,6321,False
40,plain,y,GCA_000270305_Protein1371,0.14,7,50,4558,False
41,plain,y,GCA_900103835_Protein580,0.14,7,50,11176,False
42,plain,y,GCA_003433985_Protein3851,0.14,7,50,5984,False
43,plain,y,G01M_8349_V__NODE_126_length_19515_cov_34.084621-cat_2_14,0.12,6,50,3900,False
44,plain,y,GCA_014385085_Protein37,0.12,6,50,19264,False
45,plain,y,G23J_7940V__NODE_64_length_33626_cov_3.151609-cat_1_5,0.12,6,50,2164,False
46,plain,y,BBD2_V__NODE_107_length_47961_cov_950.101082-cat_1_2,0.12,6,50,1668,False
47,plain,y,G01M_8418_V__NODE_277_length_12565_cov_24.018129-cat_2_14,0.12,6,50,2638,False
48,plain,y,GCA_900460315_Protein1899,0.12,6,50,168,False
49,plain,y,GCA_017776345_Protein2279,0.12,6,50,2604,False
50,plain,y,GCA_000702985_Protein3888,0.12,6,50,1584,False
51,plain,y,G01M_8519_V__NODE_236_length_10976_cov_6.609911-cat_1_15,0.12,6,50,5782,False
52,plain,y,GCA_900115945_Protein4959,0.12,6,50,399,False
53,plain,y,AZV1_V__NODE_209_length_16877_cov_2.188759-cat_2_21,0.12,6,50,904,False
54,plain,y,GCA_018223435_Protein1044,0.12,6,50,3716,False
55,plain,y,AZP2_V__NODE_30_length_54374_cov_2.258462-cat_1_56,0.12,6,50,9694,False
56,plain,y,GCA_000483125_Protein518,0.12,6,50,564,False
57,plain,y,BAY4_V__NODE_113_length_23433_cov_3.194223-cat_1_34,0.12,6,50,454,False
58,plain,y,G01M_8653_V__NODE_88_length_38165_cov_3.244943_1-cat_1_33,0.12,6,50,2164,False
59,plain,y,BAS3_V__NODE_179_length_20356_cov_867.840845-cat_1_12,0.12,6,50,850,False
60,plain,y,BAY6_V__NODE_67_length_41093_cov_4.625750_1-cat_1_6,0.12,6,50,1120,False
61,plain,y,GCA_900142955_Protein3342,0.12,6,50,1740,False
62,plain,y,GCA_001243045_Protein1026,0.12,6,50,2383,False
