pair,outer_fold,n,cka,cka_scaled
mlp_clf_y vs mlp_clf_w_class,0,533,0.09114577652304848,0.1084668973792121
mlp_clf_y vs mlp_clf_w_class,1,534,0.130287781605841,0.15333332193601074
mlp_clf_y vs mlp_clf_w_class,2,550,0.12128849622875679,0.1412809366296309
mlp_clf_y vs mlp_clf_w_class,3,514,0.15970740204024175,0.17787949422686064
mlp_clf_y vs mlp_clf_w_class,4,526,0.11193757979152721,0.13294251516978683
mlp_clf_y vs mlp_clf_w_class,5,528,0.10137321661842752,0.1281368115356865
mlp_clf_y vs mlp_clf_w_class,6,531,0.10626476525051462,0.12842058842773937
mlp_clf_y vs mlp_clf_w_class,7,538,0.09944616075362905,0.12610489772858374
mlp_clf_y vs mlp_clf_w_class,8,498,0.08406689505806493,0.1085287994950465
mlp_clf_y vs mlp_clf_w_class,9,498,0.12171063236604912,0.13843911255335598
mlp_clf_y vs mlp_latent_yw,0,533,0.6968321281576462,0.5723079582298858
mlp_clf_y vs mlp_latent_yw,1,534,0.5928712591037572,0.5033974716431756
mlp_clf_y vs mlp_latent_yw,2,550,0.7194018007358818,0.5483630049625794
mlp_clf_y vs mlp_latent_yw,3,514,0.5510074123978383,0.5318872997746712
mlp_clf_y vs mlp_latent_yw,4,526,0.7882533929998251,0.587987474820665
mlp_clf_y vs mlp_latent_yw,5,528,0.8618091949072338,0.642329477872954
mlp_clf_y vs mlp_latent_yw,6,531,0.7595297154185453,0.6148176446290716
mlp_clf_y vs mlp_latent_yw,7,538,0.6149147535927056,0.4768066660792626
mlp_clf_y vs mlp_latent_yw,8,498,0.819168297343464,0.6075546747510917
mlp_clf_y vs mlp_latent_yw,9,498,0.6686262091368853,0.5611277875874691
mlp_clf_w_class vs mlp_latent_yw,0,533,0.24072272837483724,0.3792989603025877
mlp_clf_w_class vs mlp_latent_yw,1,534,0.2957892167151821,0.41080060013054426
mlp_clf_w_class vs mlp_latent_yw,2,550,0.26616728730172806,0.3770601524991967
mlp_clf_w_class vs mlp_latent_yw,3,514,0.32022988953019943,0.3944203288623046
mlp_clf_w_class vs mlp_latent_yw,4,526,0.2403006216685032,0.37126568993415016
mlp_clf_w_class vs mlp_latent_yw,5,528,0.222250881969581,0.36053048957583134
mlp_clf_w_class vs mlp_latent_yw,6,531,0.24708278002112102,0.3742147550464557
mlp_clf_w_class vs mlp_latent_yw,7,538,0.2696524787250507,0.4012213744153509
mlp_clf_w_class vs mlp_latent_yw,8,498,0.23755844023685688,0.3827794772989899
mlp_clf_w_class vs mlp_latent_yw,9,498,0.3006245870840821,0.4036768193665889
