scope,metric,value
grid,n_bacteria,94
grid,n_viruses,293
grid,n_pairs,27542
grid,n_crispr_positive,682
grid,crispr_prevalence,0.02476218139568659
mask,n_bacteria_matched,75
mask,n_viruses_matched,70
mask,n_observed,5250
mask,coverage_of_grid,0.19061796528937622
mask,n_crispr_positive,182
mask,crispr_prevalence,0.034666666666666665
mask,n_glasso_edge,2019
mask,glasso_prevalence,0.38457142857142856
mask,w_mean,0.09679619047619048
mask,w_sd,0.2195774782118341
mask,w_median,0.0
mask,w_frac_exactly_zero,0.6154285714285714
mask,w_frac_above_half,0.07504761904761904
mask,n_both,92
mask,n_both_expected_if_independent,69.992
mask,both_observed_over_expected,1.3144359355354898
degree_grid,n_edges,682
degree_grid,genus_degree_median,2.5
degree_grid,genus_degree_mean,7.25531914893617
degree_grid,genus_degree_max,124
degree_grid,genus_degree_zero,0
degree_grid,votu_degree_median,2.0
degree_grid,votu_degree_mean,2.3276450511945392
degree_grid,votu_degree_max,12
degree_grid,votu_degree_zero,0
degree_grid,top10_genera_share_of_edges,0.6085043988269795
degree_mask,n_edges,182
degree_mask,genus_degree_median,1.0
degree_mask,genus_degree_mean,2.4266666666666667
degree_mask,genus_degree_max,25
degree_mask,genus_degree_zero,22
degree_mask,votu_degree_median,2.5
degree_mask,votu_degree_mean,2.6
degree_mask,votu_degree_max,9
degree_mask,votu_degree_zero,7
degree_mask,top10_genera_share_of_edges,0.5659340659340659
features_bacteria,n_entities,94
features_bacteria,n_clusters,78517
features_bacteria,density,0.07482428930555492
features_bacteria,clusters_per_entity_median,4033.5
features_bacteria,clusters_per_entity_min,1071
features_bacteria,clusters_per_entity_max,58883
features_viruses,n_entities,293
features_viruses,n_clusters,4226
features_viruses,density,0.012899990147130795
features_viruses,clusters_per_entity_median,49.0
features_viruses,clusters_per_entity_min,0
features_viruses,clusters_per_entity_max,189
