metric,rule,n_inner,n_points,ratio_min,lambda_max,chosen_ratio,chosen_C,chosen_score,best_ratio,best_score,best_score_se,n_nonzero,outer_fold,task,model
auc,1se,3,8,0.05,0.05156399,1.0,0.004111379677203311,0.77114,0.651836,0.7738,0.01187,23,0,y,sparse_logistic
auc,1se,3,8,0.05,0.03617158,0.424891,0.013793977466935076,0.58553,0.180532,0.58989,0.0096,40,0,w_class,sparse_logistic
auc,1se,3,8,0.05,0.04751025,1.0,0.004463122922752652,0.769,1.0,0.769,0.04018,22,1,y,sparse_logistic
auc,1se,3,8,0.05,0.03534873,0.424891,0.014118068614040009,0.56829,0.180532,0.56963,0.00367,35,1,w_class,sparse_logistic
auc,1se,3,8,0.05,0.04726949,1.0,0.004501126293219248,0.79212,0.651836,0.79557,0.01154,22,2,y,sparse_logistic
auc,1se,3,8,0.05,0.03486008,0.424891,0.014364701037935598,0.57164,0.424891,0.57164,0.00329,40,2,w_class,sparse_logistic
auc,1se,3,8,0.05,0.05072896,1.0,0.004162290128948161,0.7738,0.651836,0.77581,0.02914,25,3,y,sparse_logistic
auc,1se,3,8,0.05,0.0359974,0.424891,0.013805115377233425,0.56171,0.180532,0.5694,0.01043,41,3,w_class,sparse_logistic
auc,1se,3,8,0.05,0.04942376,0.651836,0.006570762080471756,0.77595,0.651836,0.77595,0.00227,38,4,y,sparse_logistic
auc,1se,3,8,0.05,0.03640375,0.276959,0.020995599042809576,0.57192,0.117677,0.57597,0.00721,65,4,w_class,sparse_logistic
auc,1se,3,8,0.05,0.04872288,1.0,0.004346514095550815,0.75959,1.0,0.75959,0.01903,28,5,y,sparse_logistic
auc,1se,3,8,0.05,0.03964966,0.424891,0.012570640990275618,0.57983,0.424891,0.57983,0.00726,35,5,w_class,sparse_logistic
auc,1se,3,8,0.05,0.05038204,1.0,0.00420604857887823,0.7534,0.651836,0.75601,0.00837,22,6,y,sparse_logistic
auc,1se,3,8,0.05,0.03610507,0.276959,0.02119171362033965,0.57506,0.117677,0.57662,0.00609,59,6,w_class,sparse_logistic
auc,1se,3,8,0.05,0.04634939,1.0,0.004578789785565718,0.75302,1.0,0.75302,0.00796,27,7,y,sparse_logistic
auc,1se,3,8,0.05,0.03444837,0.276959,0.022243870492585683,0.58752,0.180532,0.5889,0.00378,74,7,w_class,sparse_logistic
auc,1se,3,8,0.05,0.04683374,1.0,0.004493292490471505,0.78581,1.0,0.78581,0.02252,26,8,y,sparse_logistic
auc,1se,3,8,0.05,0.03976367,0.424891,0.012455466966175895,0.58089,0.117677,0.58225,0.00589,29,8,w_class,sparse_logistic
auc,1se,3,8,0.05,0.04442356,1.0,0.004737074318683572,0.74991,0.651836,0.75431,0.01318,28,9,y,sparse_logistic
auc,1se,3,8,0.05,0.03765503,0.651836,0.008573575801120519,0.57187,0.424891,0.58121,0.01235,14,9,w_class,sparse_logistic
