metric,ratio,score_mean,score_se,is_min,is_1se,outer_fold,task,model
auc,1.0,0.77114,0.01527,False,True,0,y,sparse_logistic
auc,0.651836,0.7738,0.01187,True,False,0,y,sparse_logistic
auc,0.424891,0.76631,0.01405,False,False,0,y,sparse_logistic
auc,0.276959,0.7559,0.01344,False,False,0,y,sparse_logistic
auc,0.180532,0.7461,0.01241,False,False,0,y,sparse_logistic
auc,0.117677,0.74,0.01146,False,False,0,y,sparse_logistic
auc,0.076706,0.73527,0.01088,False,False,0,y,sparse_logistic
auc,0.05,0.73109,0.01126,False,False,0,y,sparse_logistic
auc,1.0,0.51659,0.00761,False,False,0,w_class,sparse_logistic
auc,0.651836,0.57629,0.00612,False,False,0,w_class,sparse_logistic
auc,0.424891,0.58553,0.00588,False,True,0,w_class,sparse_logistic
auc,0.276959,0.58922,0.00745,False,False,0,w_class,sparse_logistic
auc,0.180532,0.58989,0.0096,True,False,0,w_class,sparse_logistic
auc,0.117677,0.58865,0.01076,False,False,0,w_class,sparse_logistic
auc,0.076706,0.58708,0.01153,False,False,0,w_class,sparse_logistic
auc,0.05,0.58589,0.01201,False,False,0,w_class,sparse_logistic
auc,1.0,0.769,0.04018,True,True,1,y,sparse_logistic
auc,0.651836,0.76849,0.03667,False,False,1,y,sparse_logistic
auc,0.424891,0.75675,0.03751,False,False,1,y,sparse_logistic
auc,0.276959,0.7425,0.03517,False,False,1,y,sparse_logistic
auc,0.180532,0.73292,0.03126,False,False,1,y,sparse_logistic
auc,0.117677,0.72543,0.02902,False,False,1,y,sparse_logistic
auc,0.076706,0.72022,0.02682,False,False,1,y,sparse_logistic
auc,0.05,0.71573,0.02679,False,False,1,y,sparse_logistic
auc,1.0,0.51959,0.00447,False,False,1,w_class,sparse_logistic
auc,0.651836,0.55939,0.00339,False,False,1,w_class,sparse_logistic
auc,0.424891,0.56829,0.00091,False,True,1,w_class,sparse_logistic
auc,0.276959,0.56906,0.00268,False,False,1,w_class,sparse_logistic
auc,0.180532,0.56963,0.00367,True,False,1,w_class,sparse_logistic
auc,0.117677,0.56896,0.00471,False,False,1,w_class,sparse_logistic
auc,0.076706,0.56827,0.00503,False,False,1,w_class,sparse_logistic
auc,0.05,0.56766,0.00525,False,False,1,w_class,sparse_logistic
auc,1.0,0.79212,0.00667,False,True,2,y,sparse_logistic
auc,0.651836,0.79557,0.01154,True,False,2,y,sparse_logistic
auc,0.424891,0.79024,0.0156,False,False,2,y,sparse_logistic
auc,0.276959,0.77975,0.01895,False,False,2,y,sparse_logistic
auc,0.180532,0.76919,0.02179,False,False,2,y,sparse_logistic
auc,0.117677,0.76068,0.02451,False,False,2,y,sparse_logistic
auc,0.076706,0.75321,0.02695,False,False,2,y,sparse_logistic
auc,0.05,0.74816,0.02728,False,False,2,y,sparse_logistic
auc,1.0,0.53225,0.0099,False,False,2,w_class,sparse_logistic
auc,0.651836,0.56271,0.00683,False,False,2,w_class,sparse_logistic
auc,0.424891,0.57164,0.00329,True,True,2,w_class,sparse_logistic
auc,0.276959,0.5715,0.00469,False,False,2,w_class,sparse_logistic
auc,0.180532,0.56991,0.00577,False,False,2,w_class,sparse_logistic
auc,0.117677,0.56868,0.00644,False,False,2,w_class,sparse_logistic
auc,0.076706,0.56714,0.00697,False,False,2,w_class,sparse_logistic
auc,0.05,0.56622,0.00721,False,False,2,w_class,sparse_logistic
auc,1.0,0.7738,0.02577,False,True,3,y,sparse_logistic
auc,0.651836,0.77581,0.02914,True,False,3,y,sparse_logistic
auc,0.424891,0.76976,0.02837,False,False,3,y,sparse_logistic
auc,0.276959,0.76106,0.0266,False,False,3,y,sparse_logistic
auc,0.180532,0.75259,0.02474,False,False,3,y,sparse_logistic
auc,0.117677,0.7439,0.02395,False,False,3,y,sparse_logistic
auc,0.076706,0.73727,0.02352,False,False,3,y,sparse_logistic
auc,0.05,0.73277,0.02265,False,False,3,y,sparse_logistic
auc,1.0,0.5051,0.00351,False,False,3,w_class,sparse_logistic
auc,0.651836,0.54538,0.00467,False,False,3,w_class,sparse_logistic
auc,0.424891,0.56171,0.007,False,True,3,w_class,sparse_logistic
auc,0.276959,0.56796,0.01062,False,False,3,w_class,sparse_logistic
auc,0.180532,0.5694,0.01043,True,False,3,w_class,sparse_logistic
auc,0.117677,0.56861,0.00949,False,False,3,w_class,sparse_logistic
auc,0.076706,0.56705,0.00881,False,False,3,w_class,sparse_logistic
auc,0.05,0.56596,0.0082,False,False,3,w_class,sparse_logistic
auc,1.0,0.77305,0.00212,False,False,4,y,sparse_logistic
auc,0.651836,0.77595,0.00227,True,True,4,y,sparse_logistic
auc,0.424891,0.77086,0.00345,False,False,4,y,sparse_logistic
auc,0.276959,0.76394,0.00226,False,False,4,y,sparse_logistic
auc,0.180532,0.75706,0.00272,False,False,4,y,sparse_logistic
auc,0.117677,0.7463,0.00312,False,False,4,y,sparse_logistic
auc,0.076706,0.73759,0.00385,False,False,4,y,sparse_logistic
auc,0.05,0.73107,0.00529,False,False,4,y,sparse_logistic
auc,1.0,0.52536,0.00907,False,False,4,w_class,sparse_logistic
auc,0.651836,0.55382,0.01218,False,False,4,w_class,sparse_logistic
auc,0.424891,0.56395,0.01044,False,False,4,w_class,sparse_logistic
auc,0.276959,0.57192,0.00802,False,True,4,w_class,sparse_logistic
auc,0.180532,0.57554,0.00736,False,False,4,w_class,sparse_logistic
auc,0.117677,0.57597,0.00721,True,False,4,w_class,sparse_logistic
auc,0.076706,0.57498,0.00721,False,False,4,w_class,sparse_logistic
auc,0.05,0.5743,0.00721,False,False,4,w_class,sparse_logistic
auc,1.0,0.75959,0.01903,True,True,5,y,sparse_logistic
auc,0.651836,0.75547,0.01611,False,False,5,y,sparse_logistic
auc,0.424891,0.74702,0.01773,False,False,5,y,sparse_logistic
auc,0.276959,0.74,0.01848,False,False,5,y,sparse_logistic
auc,0.180532,0.72958,0.01958,False,False,5,y,sparse_logistic
auc,0.117677,0.72021,0.02051,False,False,5,y,sparse_logistic
auc,0.076706,0.71148,0.02081,False,False,5,y,sparse_logistic
auc,0.05,0.70393,0.0203,False,False,5,y,sparse_logistic
auc,1.0,0.51594,0.00237,False,False,5,w_class,sparse_logistic
auc,0.651836,0.56397,0.00958,False,False,5,w_class,sparse_logistic
auc,0.424891,0.57983,0.00726,True,True,5,w_class,sparse_logistic
auc,0.276959,0.5776,0.00952,False,False,5,w_class,sparse_logistic
auc,0.180532,0.57703,0.00976,False,False,5,w_class,sparse_logistic
auc,0.117677,0.57537,0.00879,False,False,5,w_class,sparse_logistic
auc,0.076706,0.57283,0.00819,False,False,5,w_class,sparse_logistic
auc,0.05,0.57075,0.00802,False,False,5,w_class,sparse_logistic
auc,1.0,0.7534,0.01372,False,True,6,y,sparse_logistic
auc,0.651836,0.75601,0.00837,True,False,6,y,sparse_logistic
auc,0.424891,0.75204,0.00802,False,False,6,y,sparse_logistic
auc,0.276959,0.74403,0.00779,False,False,6,y,sparse_logistic
auc,0.180532,0.73807,0.00862,False,False,6,y,sparse_logistic
auc,0.117677,0.73253,0.00724,False,False,6,y,sparse_logistic
auc,0.076706,0.72727,0.00807,False,False,6,y,sparse_logistic
auc,0.05,0.72227,0.0086,False,False,6,y,sparse_logistic
auc,1.0,0.5206,0.00541,False,False,6,w_class,sparse_logistic
auc,0.651836,0.56604,0.00471,False,False,6,w_class,sparse_logistic
auc,0.424891,0.56939,0.00697,False,False,6,w_class,sparse_logistic
auc,0.276959,0.57506,0.00725,False,True,6,w_class,sparse_logistic
auc,0.180532,0.57647,0.00631,False,False,6,w_class,sparse_logistic
auc,0.117677,0.57662,0.00609,True,False,6,w_class,sparse_logistic
auc,0.076706,0.5763,0.00632,False,False,6,w_class,sparse_logistic
auc,0.05,0.57597,0.00657,False,False,6,w_class,sparse_logistic
auc,1.0,0.75302,0.00796,True,True,7,y,sparse_logistic
auc,0.651836,0.74965,0.01115,False,False,7,y,sparse_logistic
auc,0.424891,0.73661,0.01364,False,False,7,y,sparse_logistic
auc,0.276959,0.72514,0.01792,False,False,7,y,sparse_logistic
auc,0.180532,0.71768,0.01792,False,False,7,y,sparse_logistic
auc,0.117677,0.71218,0.01863,False,False,7,y,sparse_logistic
auc,0.076706,0.70758,0.01891,False,False,7,y,sparse_logistic
auc,0.05,0.70424,0.0186,False,False,7,y,sparse_logistic
auc,1.0,0.51237,0.00439,False,False,7,w_class,sparse_logistic
auc,0.651836,0.56771,0.00461,False,False,7,w_class,sparse_logistic
auc,0.424891,0.58217,0.00302,False,False,7,w_class,sparse_logistic
auc,0.276959,0.58752,0.00314,False,True,7,w_class,sparse_logistic
auc,0.180532,0.5889,0.00378,True,False,7,w_class,sparse_logistic
auc,0.117677,0.58784,0.00411,False,False,7,w_class,sparse_logistic
auc,0.076706,0.58588,0.00373,False,False,7,w_class,sparse_logistic
auc,0.05,0.58443,0.00347,False,False,7,w_class,sparse_logistic
auc,1.0,0.78581,0.02252,True,True,8,y,sparse_logistic
auc,0.651836,0.78285,0.02168,False,False,8,y,sparse_logistic
auc,0.424891,0.7729,0.01821,False,False,8,y,sparse_logistic
auc,0.276959,0.75929,0.0189,False,False,8,y,sparse_logistic
auc,0.180532,0.74765,0.01859,False,False,8,y,sparse_logistic
auc,0.117677,0.73963,0.01855,False,False,8,y,sparse_logistic
auc,0.076706,0.73553,0.01797,False,False,8,y,sparse_logistic
auc,0.05,0.73191,0.0193,False,False,8,y,sparse_logistic
auc,1.0,0.5149,0.00489,False,False,8,w_class,sparse_logistic
auc,0.651836,0.5682,0.00238,False,False,8,w_class,sparse_logistic
auc,0.424891,0.58089,0.00545,False,True,8,w_class,sparse_logistic
auc,0.276959,0.58052,0.0071,False,False,8,w_class,sparse_logistic
auc,0.180532,0.58219,0.00639,False,False,8,w_class,sparse_logistic
auc,0.117677,0.58225,0.00589,True,False,8,w_class,sparse_logistic
auc,0.076706,0.58157,0.00553,False,False,8,w_class,sparse_logistic
auc,0.05,0.58054,0.00533,False,False,8,w_class,sparse_logistic
auc,1.0,0.74991,0.026,False,True,9,y,sparse_logistic
auc,0.651836,0.75431,0.01318,True,False,9,y,sparse_logistic
auc,0.424891,0.75415,0.009,False,False,9,y,sparse_logistic
auc,0.276959,0.75308,0.00894,False,False,9,y,sparse_logistic
auc,0.180532,0.74833,0.01116,False,False,9,y,sparse_logistic
auc,0.117677,0.74341,0.01324,False,False,9,y,sparse_logistic
auc,0.076706,0.73935,0.01463,False,False,9,y,sparse_logistic
auc,0.05,0.73579,0.0158,False,False,9,y,sparse_logistic
auc,1.0,0.52547,0.00884,False,False,9,w_class,sparse_logistic
auc,0.651836,0.57187,0.01388,False,True,9,w_class,sparse_logistic
auc,0.424891,0.58121,0.01235,True,False,9,w_class,sparse_logistic
auc,0.276959,0.58063,0.01176,False,False,9,w_class,sparse_logistic
auc,0.180532,0.58004,0.01037,False,False,9,w_class,sparse_logistic
auc,0.117677,0.57907,0.00862,False,False,9,w_class,sparse_logistic
auc,0.076706,0.57844,0.00767,False,False,9,w_class,sparse_logistic
auc,0.05,0.57768,0.00739,False,False,9,w_class,sparse_logistic
