outer_fold,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
0,y,binary,sparse_logistic,533,17.0,516.0,0.7133492932056543,0.08037921381870333,
0,y,binary,xgb_clf,533,17.0,516.0,0.7535339717282262,0.09975597716238335,
0,y,binary,mlp_clf_y,533,17.0,516.0,0.7096443228454172,0.10823774746762325,
0,w_reg,regression,linreg,533,,,,,-0.16572898050391238
0,w_reg,regression,xgb_reg,533,,,,,-0.16336510109880797
0,w_reg,regression,mlp_reg,533,,,,,-0.14788219730278906
0,w_class,binary,sparse_logistic,533,194.0,339.0,0.5494328376364687,0.3895936053278529,
0,w_class,binary,xgb_clf,533,194.0,339.0,0.531908584983122,0.388958075026823,
0,w_class,binary,mlp_clf_w_class,533,194.0,339.0,0.5826490891950249,0.4111273960500873,
0,y,binary,mlp_latent_yw,533,17.0,516.0,0.7138622891016873,0.12975207085842366,
0,w_class,binary,mlp_latent_yw,533,194.0,339.0,0.5712146093726242,0.39379198516772196,
1,y,binary,sparse_logistic,534,20.0,514.0,0.8074416342412452,0.31824414119780287,
1,y,binary,xgb_clf,534,20.0,514.0,0.7614299610894942,0.36745178197946043,
1,y,binary,mlp_clf_y,534,20.0,514.0,0.7273346303501945,0.27499866899773595,
1,w_reg,regression,linreg,534,,,,,-0.12747526481840432
1,w_reg,regression,xgb_reg,534,,,,,-0.10857772559287393
1,w_reg,regression,mlp_reg,534,,,,,-0.100194439836641
1,w_class,binary,sparse_logistic,534,202.0,332.0,0.6185882142431111,0.4552353307509087,
1,w_class,binary,xgb_clf,534,202.0,332.0,0.5973771322915424,0.4637081683072594,
1,w_class,binary,mlp_clf_w_class,534,202.0,332.0,0.6043033520219492,0.47710559424228954,
1,y,binary,mlp_latent_yw,534,20.0,514.0,0.7295719844357977,0.27684837511813076,
1,w_class,binary,mlp_latent_yw,534,202.0,332.0,0.6192293928188,0.48014597556025207,
2,y,binary,sparse_logistic,550,24.0,526.0,0.7231463878326996,0.23358922739921578,
2,y,binary,xgb_clf,550,24.0,526.0,0.7480988593155894,0.2777512477208687,
2,y,binary,mlp_clf_y,550,24.0,526.0,0.7078580481622305,0.3260233890954931,
2,w_reg,regression,linreg,550,,,,,-0.17174345482630016
2,w_reg,regression,xgb_reg,550,,,,,-0.17604526043524693
2,w_reg,regression,mlp_reg,550,,,,,-0.13181354699021242
2,w_class,binary,sparse_logistic,550,217.0,333.0,0.5934183030957224,0.4687044117480842,
2,w_class,binary,xgb_clf,550,217.0,333.0,0.5799601444762735,0.4760677377123629,
2,w_class,binary,mlp_clf_w_class,550,217.0,333.0,0.6393144296370102,0.5090672002950392,
2,y,binary,mlp_latent_yw,550,24.0,526.0,0.7096799746514575,0.2811048340689957,
2,w_class,binary,mlp_latent_yw,550,217.0,333.0,0.6157194060419867,0.4963196036929419,
3,y,binary,sparse_logistic,514,15.0,499.0,0.7004008016032064,0.10926183020726163,
3,y,binary,xgb_clf,514,15.0,499.0,0.7120908483633935,0.13903777465065234,
3,y,binary,mlp_clf_y,514,15.0,499.0,0.6193720774883099,0.1290748537962093,
3,w_reg,regression,linreg,514,,,,,-0.15797390665619138
3,w_reg,regression,xgb_reg,514,,,,,-0.17938370173750529
3,w_reg,regression,mlp_reg,514,,,,,-0.13657530932914352
3,w_class,binary,sparse_logistic,514,215.0,299.0,0.5537139301547795,0.47448991921348505,
3,w_class,binary,xgb_clf,514,215.0,299.0,0.5506416737963755,0.4787787800148099,
3,w_class,binary,mlp_clf_w_class,514,215.0,299.0,0.6105778953099479,0.5117543169076743,
3,y,binary,mlp_latent_yw,514,15.0,499.0,0.6427521710086841,0.11123737089197212,
3,w_class,binary,mlp_latent_yw,514,215.0,299.0,0.6018044644940499,0.5165644223709109,
4,y,binary,sparse_logistic,526,16.0,510.0,0.7897058823529413,0.2947839576004888,
4,y,binary,xgb_clf,526,16.0,510.0,0.7783088235294118,0.2917942672780692,
4,y,binary,mlp_clf_y,526,16.0,510.0,0.7332107843137254,0.2083911258060936,
4,w_reg,regression,linreg,526,,,,,-0.1905710249796433
4,w_reg,regression,xgb_reg,526,,,,,-0.22028531357772407
4,w_reg,regression,mlp_reg,526,,,,,-0.17556935468219326
4,w_class,binary,sparse_logistic,526,231.0,295.0,0.5803874092009685,0.4951329342969416,
4,w_class,binary,xgb_clf,526,231.0,295.0,0.6009465111160026,0.5224112200628299,
4,w_class,binary,mlp_clf_w_class,526,231.0,295.0,0.6252989947905202,0.5529002694544722,
4,y,binary,mlp_latent_yw,526,16.0,510.0,0.7765931372549019,0.2522519757386273,
4,w_class,binary,mlp_latent_yw,526,231.0,295.0,0.6154816934477951,0.5455726686685659,
5,y,binary,sparse_logistic,528,17.0,511.0,0.7608495452975711,0.33396877253527407,
5,y,binary,xgb_clf,528,17.0,511.0,0.7882468055715437,0.37602409894102545,
5,y,binary,mlp_clf_y,528,17.0,511.0,0.7524461839530333,0.3545477209382167,
5,w_reg,regression,linreg,528,,,,,-0.12203780390458219
5,w_reg,regression,xgb_reg,528,,,,,-0.11184893039928157
5,w_reg,regression,mlp_reg,528,,,,,-0.09872467784092698
5,w_class,binary,sparse_logistic,528,189.0,339.0,0.5641397824288681,0.4152192742816018,
5,w_class,binary,xgb_clf,528,189.0,339.0,0.5944264956064366,0.46152019533340033,
5,w_class,binary,mlp_clf_w_class,528,189.0,339.0,0.602784411043998,0.462444835841866,
5,y,binary,mlp_latent_yw,528,17.0,511.0,0.7571658800506504,0.3229841400325383,
5,w_class,binary,mlp_latent_yw,528,189.0,339.0,0.5943562610229276,0.4600993563913379,
6,y,binary,sparse_logistic,531,13.0,518.0,0.8826106326106326,0.2673139439261046,
6,y,binary,xgb_clf,531,13.0,518.0,0.8806058806058805,0.21740910183543824,
6,y,binary,mlp_clf_y,531,13.0,518.0,0.8610038610038611,0.29440628476250047,
6,w_reg,regression,linreg,531,,,,,-0.15565162977046687
6,w_reg,regression,xgb_reg,531,,,,,-0.1200852661284102
6,w_reg,regression,mlp_reg,531,,,,,-0.13248633782172603
6,w_class,binary,sparse_logistic,531,198.0,333.0,0.5788743288743289,0.4195811343898281,
6,w_class,binary,xgb_clf,531,198.0,333.0,0.5827721661054994,0.42271359314088097,
6,w_class,binary,mlp_clf_w_class,531,198.0,333.0,0.6160099493432827,0.49061932798513325,
6,y,binary,mlp_latent_yw,531,13.0,518.0,0.8464508464508465,0.26550335848691553,
6,w_class,binary,mlp_latent_yw,531,198.0,333.0,0.6310552977219643,0.4953950313543721,
7,y,binary,sparse_logistic,538,18.0,520.0,0.8207264957264957,0.3686737543566962,
7,y,binary,xgb_clf,538,18.0,520.0,0.8315170940170941,0.45869500606542435,
7,y,binary,mlp_clf_y,538,18.0,520.0,0.775,0.4652409195718181,
7,w_reg,regression,linreg,538,,,,,-0.14216282320931484
7,w_reg,regression,xgb_reg,538,,,,,-0.14005994610079253
7,w_reg,regression,mlp_reg,538,,,,,-0.1218099668849486
7,w_class,binary,sparse_logistic,538,198.0,340.0,0.569229055258467,0.4145906472366122,
7,w_class,binary,xgb_clf,538,198.0,340.0,0.555325311942959,0.40860033401866114,
7,w_class,binary,mlp_clf_w_class,538,198.0,340.0,0.5520053475935828,0.41953838859524334,
7,y,binary,mlp_latent_yw,538,18.0,520.0,0.7731837606837607,0.42834623605592226,
7,w_class,binary,mlp_latent_yw,538,198.0,340.0,0.5742424242424242,0.44390734164664764,
8,y,binary,sparse_logistic,498,22.0,476.0,0.7627482811306342,0.3010622516701318,
8,y,binary,xgb_clf,498,22.0,476.0,0.8414820473644002,0.29405977213342366,
8,y,binary,mlp_clf_y,498,22.0,476.0,0.773109243697479,0.22756839126317419,
8,w_reg,regression,linreg,498,,,,,-0.15240501352256852
8,w_reg,regression,xgb_reg,498,,,,,-0.20150082406648373
8,w_reg,regression,mlp_reg,498,,,,,-0.13858249483826257
8,w_class,binary,sparse_logistic,498,191.0,307.0,0.5792503027098931,0.4472900996896497,
8,w_class,binary,xgb_clf,498,191.0,307.0,0.5824991046608796,0.47895248549279695,
8,w_class,binary,mlp_clf_w_class,498,191.0,307.0,0.6222692156829306,0.5001949708231239,
8,y,binary,mlp_latent_yw,498,22.0,476.0,0.763655462184874,0.27321726656401973,
8,w_class,binary,mlp_latent_yw,498,191.0,307.0,0.6193870764193258,0.4851482573142202,
9,y,binary,sparse_logistic,498,20.0,478.0,0.838336820083682,0.29697766076063536,
9,y,binary,xgb_clf,498,20.0,478.0,0.7629707112970711,0.3416472831998152,
9,y,binary,mlp_clf_y,498,20.0,478.0,0.7445606694560669,0.29750117947205257,
9,w_reg,regression,linreg,498,,,,,-0.141154258805946
9,w_reg,regression,xgb_reg,498,,,,,-0.1844101975204171
9,w_reg,regression,mlp_reg,498,,,,,-0.11806404494494815
9,w_class,binary,sparse_logistic,498,184.0,314.0,0.5894229437828855,0.43707491798143383,
9,w_class,binary,xgb_clf,498,184.0,314.0,0.6005261700360011,0.451617036658645,
9,w_class,binary,mlp_clf_w_class,498,184.0,314.0,0.603174328440875,0.46670316106629217,
9,y,binary,mlp_latent_yw,498,20.0,478.0,0.7566945606694561,0.22678728837266118,
9,w_class,binary,mlp_latent_yw,498,184.0,314.0,0.6042474383827194,0.48040612333463567,
