model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.09090909090909091,0,975,118,4717,533,0.5569123953440883
l2_logistic,0.09090909090909091,1,996,97,4716,534,0.5711151477977777
l2_logistic,0.09090909090909091,2,971,122,4700,550,0.5591772636739697
l2_logistic,0.09090909090909091,3,982,111,4736,514,0.5234167169651041
l2_logistic,0.09090909090909091,4,960,133,4724,526,0.5450745183569612
l2_logistic,0.09090909090909091,5,997,96,4722,528,0.5815731095679011
l2_logistic,0.09090909090909091,6,988,105,4719,531,0.5828973843058349
l2_logistic,0.09090909090909091,7,983,110,4712,538,0.5663976210705183
l2_logistic,0.09090909090909091,8,989,104,4752,498,0.5659410386567747
l2_logistic,0.09090909090909091,9,996,97,4752,498,0.6045967555338458
l2_logistic,0.18181818181818182,0,665,82,4717,533,0.5122492023146394
l2_logistic,0.18181818181818182,1,683,64,4716,534,0.6012300531914893
l2_logistic,0.18181818181818182,2,661,86,4700,550,0.6101142742582197
l2_logistic,0.18181818181818182,3,681,66,4736,514,0.5852949134199135
l2_logistic,0.18181818181818182,4,659,88,4724,526,0.5125311332503113
l2_logistic,0.18181818181818182,5,685,62,4722,528,0.5775647237989755
l2_logistic,0.18181818181818182,6,667,80,4719,531,0.5594512195121951
l2_logistic,0.18181818181818182,7,674,73,4712,538,0.5707762557077625
l2_logistic,0.18181818181818182,8,671,76,4752,498,0.5978423547019207
l2_logistic,0.18181818181818182,9,677,70,4752,498,0.5443257676902536
l2_logistic,0.2727272727272727,0,559,69,4717,533,0.47760494752623683
l2_logistic,0.2727272727272727,1,573,55,4716,534,0.5815524767508066
l2_logistic,0.2727272727272727,2,555,73,4700,550,0.6116423997013296
l2_logistic,0.2727272727272727,3,568,60,4736,514,0.6103524229074889
l2_logistic,0.2727272727272727,4,558,70,4724,526,0.5076441102756892
l2_logistic,0.2727272727272727,5,573,55,4722,528,0.5859311935421873
l2_logistic,0.2727272727272727,6,558,70,4719,531,0.5605825844437557
l2_logistic,0.2727272727272727,7,565,63,4712,538,0.5918796992481202
l2_logistic,0.2727272727272727,8,567,61,4752,498,0.5904265296169862
l2_logistic,0.2727272727272727,9,576,52,4752,498,0.5086236633321836
l2_logistic,0.36363636363636365,0,462,55,4717,533,0.5065043742868012
l2_logistic,0.36363636363636365,1,469,48,4716,534,0.5941786694101509
l2_logistic,0.36363636363636365,2,460,57,4700,550,0.5428632433009501
l2_logistic,0.36363636363636365,3,465,52,4736,514,0.5628121878121879
l2_logistic,0.36363636363636365,4,463,54,4724,526,0.5247175141242938
l2_logistic,0.36363636363636365,5,470,47,4722,528,0.5723006148538063
l2_logistic,0.36363636363636365,6,459,58,4719,531,0.5316760224538893
l2_logistic,0.36363636363636365,7,465,52,4712,538,0.6284425451092117
l2_logistic,0.36363636363636365,8,466,51,4752,498,0.5577926920208799
l2_logistic,0.36363636363636365,9,474,43,4752,498,0.5061078456427293
l2_logistic,0.4545454545454546,0,393,50,4717,533,0.5105175983436854
l2_logistic,0.4545454545454546,1,402,41,4716,534,0.6386978677089001
l2_logistic,0.4545454545454546,2,395,48,4700,550,0.522078353253652
l2_logistic,0.4545454545454546,3,399,44,4736,514,0.5574468085106383
l2_logistic,0.4545454545454546,4,398,45,4724,526,0.5481635481635481
l2_logistic,0.4545454545454546,5,403,40,4722,528,0.5454918032786886
l2_logistic,0.4545454545454546,6,391,52,4719,531,0.5197526898988277
l2_logistic,0.4545454545454546,7,397,46,4712,538,0.6113467656415694
l2_logistic,0.4545454545454546,8,406,37,4752,498,0.5451720701178402
l2_logistic,0.4545454545454546,9,403,40,4752,498,0.5141375545851529
l2_logistic,0.5454545454545454,0,328,43,4717,533,0.5023730422401518
l2_logistic,0.5454545454545454,1,336,35,4716,534,0.6344689378757514
l2_logistic,0.5454545454545454,2,330,41,4700,550,0.5400833772581342
l2_logistic,0.5454545454545454,3,336,35,4736,514,0.6059648076349539
l2_logistic,0.5454545454545454,4,329,42,4724,526,0.5549488390397481
l2_logistic,0.5454545454545454,5,337,34,4722,528,0.5352464872588711
l2_logistic,0.5454545454545454,6,328,43,4719,531,0.50714830346931
l2_logistic,0.5454545454545454,7,333,38,4712,538,0.6250526315789474
l2_logistic,0.5454545454545454,8,343,28,4752,498,0.535790273556231
l2_logistic,0.5454545454545454,9,339,32,4752,498,0.49543991416309013
l2_logistic,0.6363636363636364,0,293,38,4717,533,0.4731525784157363
l2_logistic,0.6363636363636364,1,300,31,4716,534,0.6306676072596678
l2_logistic,0.6363636363636364,2,294,37,4700,550,0.5406459090669617
l2_logistic,0.6363636363636364,3,299,32,4736,514,0.5762448132780082
l2_logistic,0.6363636363636364,4,295,36,4724,526,0.5230725623582766
l2_logistic,0.6363636363636364,5,304,27,4722,528,0.5578472684261107
l2_logistic,0.6363636363636364,6,289,42,4719,531,0.5197195442594216
l2_logistic,0.6363636363636364,7,296,35,4712,538,0.6172110195967054
l2_logistic,0.6363636363636364,8,306,25,4752,498,0.519830866807611
l2_logistic,0.6363636363636364,9,303,28,4752,498,0.49627659574468086
l2_logistic,0.7272727272727273,0,207,32,4717,533,0.5124750499001995
l2_logistic,0.7272727272727273,1,219,20,4716,534,0.6480544747081712
l2_logistic,0.7272727272727273,2,215,24,4700,550,0.46482889733840305
l2_logistic,0.7272727272727273,3,221,18,4736,514,0.5171370967741935
l2_logistic,0.7272727272727273,4,213,26,4724,526,0.5056153846153846
l2_logistic,0.7272727272727273,5,219,20,4722,528,0.621751968503937
l2_logistic,0.7272727272727273,6,206,33,4719,531,0.5132043324814409
l2_logistic,0.7272727272727273,7,215,24,4712,538,0.6616407263294424
l2_logistic,0.7272727272727273,8,220,19,4752,498,0.5225799362707395
l2_logistic,0.7272727272727273,9,216,23,4752,498,0.4929061784897025
l2_logistic,0.8181818181818182,0,162,22,4717,533,0.5162782423056396
l2_logistic,0.8181818181818182,1,169,15,4716,534,0.5907514450867052
l2_logistic,0.8181818181818182,2,164,20,4700,550,0.47726415094339625
l2_logistic,0.8181818181818182,3,166,18,4736,514,0.5053763440860215
l2_logistic,0.8181818181818182,4,164,20,4724,526,0.46966403162055337
l2_logistic,0.8181818181818182,5,170,14,4722,528,0.6378543635352973
l2_logistic,0.8181818181818182,6,158,26,4719,531,0.4465346534653465
l2_logistic,0.8181818181818182,7,165,19,4712,538,0.7224419430078085
l2_logistic,0.8181818181818182,8,171,13,4752,498,0.5153053132434575
l2_logistic,0.8181818181818182,9,167,17,4752,498,0.4546899841017488
l2_logistic,0.9090909090909092,0,98,10,4717,533,0.6388145315487572
l2_logistic,0.9090909090909092,1,97,11,4716,534,0.611507039805319
l2_logistic,0.9090909090909092,2,98,10,4700,550,0.49018518518518517
l2_logistic,0.9090909090909092,3,95,13,4736,514,0.4775065254107171
l2_logistic,0.9090909090909092,4,95,13,4724,526,0.5686009896536213
l2_logistic,0.9090909090909092,5,97,11,4722,528,0.5660277826622121
l2_logistic,0.9090909090909092,6,91,17,4719,531,0.4713893339436942
l2_logistic,0.9090909090909092,7,99,9,4712,538,0.5461037597143457
l2_logistic,0.9090909090909092,8,101,7,4752,498,0.51440209485016
l2_logistic,0.9090909090909092,9,101,7,4752,498,0.581320919406459
xgboost,0.09090909090909091,0,975,118,4717,533,0.5640800490095976
xgboost,0.09090909090909091,1,996,97,4716,534,0.5442685602396848
xgboost,0.09090909090909091,2,971,122,4700,550,0.5487590010724682
xgboost,0.09090909090909091,3,982,111,4736,514,0.5310620794491763
