model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909091,0.5657101951272776,0.022170013252185133,10
l2_logistic,0.18181818181818182,0.5671379897845681,0.03492497858280904,10
l2_logistic,0.2727272727272727,0.5626240027344784,0.0475890116312797,10
l2_logistic,0.36363636363636365,0.5527395709014901,0.03886790602197301,10
l2_logistic,0.4545454545454546,0.5512805059502502,0.0425000573201385,10
l2_logistic,0.5454545454545454,0.5536516614075189,0.05097975982011712,10
l2_logistic,0.6363636363636364,0.545466876521318,0.05055344878744956,10
l2_logistic,0.7272727272727273,0.5460194045411615,0.07003643017533254,10
l2_logistic,0.8181818181818182,0.5336160471395974,0.08962672690393103,10
l2_logistic,0.9090909090909092,0.546585816218047,0.057187412526310835,10
xgboost,0.09090909090909091,0.5547643067848389,0.01761283120594515,10
xgboost,0.18181818181818182,0.5547787358482783,0.02539818229190506,10
xgboost,0.2727272727272727,0.5589893912652495,0.03921630684745579,10
xgboost,0.36363636363636365,0.553666317389792,0.03275178052891138,10
xgboost,0.4545454545454546,0.5661735444888413,0.031014979460203762,10
xgboost,0.5454545454545454,0.5764008107159251,0.039848607762065204,10
xgboost,0.6363636363636364,0.5613154766187672,0.04167190210667943,10
xgboost,0.7272727272727273,0.5628463546772645,0.047462203806330025,10
xgboost,0.8181818181818182,0.5327876385544899,0.07429284403926792,10
xgboost,0.9090909090909092,0.5915015932264369,0.0728903377229413,10
