model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909093,0.5657101951272776,0.02217001325218511,10
l2_logistic,0.18181818181818185,0.5671379897845681,0.03492497858280903,10
l2_logistic,0.2727272727272727,0.5626240027344784,0.04758901163127971,10
l2_logistic,0.3636363636363637,0.5527395709014901,0.038867906021972994,10
l2_logistic,0.4545454545454546,0.5512805059502502,0.042500057320138486,10
l2_logistic,0.5454545454545454,0.5536516614075189,0.05097975982011712,10
l2_logistic,0.6363636363636364,0.545466876521318,0.05055344878744957,10
l2_logistic,0.7272727272727273,0.5460194045411614,0.07003643017533254,10
l2_logistic,0.8181818181818182,0.5336160471395974,0.08962672690393103,10
l2_logistic,0.9090909090909092,0.546585816218047,0.05718741252631085,10
xgboost,0.09090909090909093,0.5547643067848389,0.017612831205945124,10
xgboost,0.18181818181818185,0.5547787358482783,0.025398182291905075,10
xgboost,0.2727272727272727,0.5589893912652495,0.039216306847455806,10
xgboost,0.3636363636363637,0.553666317389792,0.03275178052891139,10
xgboost,0.4545454545454546,0.5661735444888413,0.031014979460203783,10
xgboost,0.5454545454545454,0.5764008107159251,0.039848607762065204,10
xgboost,0.6363636363636364,0.5613154766187671,0.041671902106679426,10
xgboost,0.7272727272727273,0.5628463546772645,0.04746220380633003,10
xgboost,0.8181818181818182,0.5327876385544899,0.0742928440392679,10
xgboost,0.9090909090909092,0.5915015932264369,0.07289033772294132,10
