cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
IBD,20260916_152830,0,real,-1,y,0.7138622891016873,0.12975207085842366,533,17,42.0
IBD,20260916_152830,0,real,-1,w_class,0.5712146093726242,0.39379198516772196,533,194,42.0
IBD,20260916_152830,0,shuffled,0,y,0.4660282717738258,0.02922195722930474,533,17,36.0
IBD,20260916_152830,0,shuffled,0,w_class,0.5881686585773804,0.4084676397572291,533,194,36.0
IBD,20260916_152830,0,shuffled,1,y,0.40686274509803916,0.02935014044623624,533,17,31.1
IBD,20260916_152830,0,shuffled,1,w_class,0.5659231213697047,0.39730943076928904,533,194,31.1
IBD,20260916_152830,0,shuffled,2,y,0.4004787961696306,0.026104575271346086,533,17,29.5
IBD,20260916_152830,0,shuffled,2,w_class,0.5596128698719702,0.39395573373930454,533,194,29.5
IBD,20260916_152830,0,shuffled,3,y,0.5245098039215685,0.03921762934519399,533,17,27.4
IBD,20260916_152830,0,shuffled,3,w_class,0.5816911474013928,0.4166683973741696,533,194,27.4
IBD,20260916_152830,0,shuffled,4,y,0.45953032375741,0.0299959434989363,533,17,27.7
IBD,20260916_152830,0,shuffled,4,w_class,0.5761259617431499,0.41372810160756224,533,194,27.7
IBD,20260916_152830,1,real,-1,y,0.7295719844357977,0.27684837511813076,534,20,27.5
IBD,20260916_152830,1,real,-1,w_class,0.6192293928188,0.48014597556025207,534,202,27.5
IBD,20260916_152830,1,shuffled,0,y,0.5017509727626459,0.05249909796619795,534,20,27.8
IBD,20260916_152830,1,shuffled,0,w_class,0.6281313372301086,0.49913707429002124,534,202,27.8
IBD,20260916_152830,1,shuffled,1,y,0.6110894941634241,0.0682953655324931,534,20,27.4
IBD,20260916_152830,1,shuffled,1,w_class,0.6201091494691637,0.49225976791293335,534,202,27.4
IBD,20260916_152830,1,shuffled,2,y,0.4715953307392996,0.05321927853734281,534,20,27.5
IBD,20260916_152830,1,shuffled,2,w_class,0.6355272575450317,0.48919858939915545,534,202,27.5
IBD,20260916_152830,1,shuffled,3,y,0.5379377431906615,0.05071508318370124,534,20,27.1
IBD,20260916_152830,1,shuffled,3,w_class,0.6143981868066325,0.48601427460359364,534,202,27.1
IBD,20260916_152830,1,shuffled,4,y,0.5325875486381323,0.05916735827795867,534,20,27.5
IBD,20260916_152830,1,shuffled,4,w_class,0.6307855183108673,0.48642516811587144,534,202,27.5
IBD,20260916_152830,2,real,-1,y,0.7096799746514575,0.2811048340689957,550,24,27.3
IBD,20260916_152830,2,real,-1,w_class,0.6157194060419867,0.4963196036929419,550,217,27.3
IBD,20260916_152830,2,shuffled,0,y,0.4466096324461344,0.039417360609568394,550,24,27.3
