rank,variant,task,feature,selection_prob,n_selected,n_subsamples,pair_support,stable
1,plain,y,GCA_900078195_Protein3177,0.36,18,50,696,False
2,plain,y,ERR843940__NODE_2_length_48125_cov_228.683940_19,0.34,17,50,2666,False
3,plain,y,GCA_000185385_Protein2197,0.3,15,50,560,False
4,plain,y,GCA_002234915_Protein2048,0.3,15,50,70,False
5,plain,y,ERR843991__NODE_20_length_15585_cov_7.223760_7,0.3,15,50,70,False
6,plain,y,ERR843981__NODE_17_length_20474_cov_131.264558_14,0.28,14,50,3330,False
7,plain,y,GCA_900155735_Protein2309,0.28,14,50,898,False
8,plain,y,GCA_017309015_Protein628,0.24,12,50,2150,False
9,plain,y,GCA_019753795_Protein867,0.22,11,50,2017,False
10,plain,y,GCA_003612395_Protein2355,0.22,11,50,490,False
11,plain,y,ERR843964__NODE_2_length_64948_cov_440.792212_93,0.22,11,50,1025,False
12,plain,y,GCA_000146185_Protein198,0.22,11,50,420,False
13,plain,y,GCA_003434585_Protein1631,0.2,10,50,558,False
14,plain,y,GCA_002234915_Protein319,0.2,10,50,218,False
15,plain,y,GCA_000242435_Protein1338,0.18,9,50,426,False
16,plain,y,GCA_003477705_Protein1337,0.18,9,50,490,False
17,plain,y,GCA_010093125_Protein1247,0.18,9,50,292,False
18,plain,y,ERR844031__NODE_4_length_24098_cov_7.928046_10,0.18,9,50,2005,False
19,plain,y,GCA_003795145_Protein2319,0.18,9,50,75,False
20,plain,y,GCA_000321205_Protein1928,0.18,9,50,5110,False
21,plain,y,GCA_017808115_Protein2570,0.16,8,50,282,False
22,plain,y,ERR844017__NODE_12_length_7928_cov_33.368729_7,0.16,8,50,1096,False
23,plain,y,GCA_000309845_Protein5281,0.16,8,50,2229,False
24,plain,y,GCA_000153905_Protein2137,0.16,8,50,1850,False
25,plain,y,GCA_910584375_Protein1673,0.16,8,50,354,False
26,plain,y,ERR843981__NODE_7_length_35950_cov_75.473938_2,0.16,8,50,144,False
27,plain,y,GCA_905202415_Protein669,0.16,8,50,558,False
