[experiment] X (36005, 3059) | models ['sparse_logistic', 'xgb_clf', 'linreg', 'xgb_reg', 'mlp_clf_y', 'mlp_clf_w_class', 'mlp_reg', 'mlp_latent_yw']
[experiment] fold 0 | sparse_logistic | n_tr=17363 | 288.0s
[experiment] fold 0 | xgb_clf | n_tr=17363 | 53.7s
[experiment] fold 0 | mlp_clf_y | n_tr=17363 | 110.1s
[experiment] fold 0 | linreg | n_tr=17363 | 54.6s
[experiment] fold 0 | xgb_reg | n_tr=17363 | 50.9s
[experiment] fold 0 | mlp_reg | n_tr=17363 | 101.8s
[experiment] fold 0 | sparse_logistic | n_tr=17363 | 124.0s
[experiment] fold 0 | xgb_clf | n_tr=17363 | 51.9s
[experiment] fold 0 | mlp_clf_w_class | n_tr=17363 | 101.7s
[experiment] fold 0 | mlp_latent_yw | n_tr=17363 | 119.7s
[experiment] fold 1 | sparse_logistic | n_tr=17352 | 244.5s
[experiment] fold 1 | xgb_clf | n_tr=17352 | 54.7s
[experiment] fold 1 | mlp_clf_y | n_tr=17352 | 70.9s
[experiment] fold 1 | linreg | n_tr=17352 | 35.4s
[experiment] fold 1 | xgb_reg | n_tr=17352 | 28.0s
[experiment] fold 1 | mlp_reg | n_tr=17352 | 59.6s
[experiment] fold 1 | sparse_logistic | n_tr=17352 | 73.6s
[experiment] fold 1 | xgb_clf | n_tr=17352 | 28.5s
[experiment] fold 1 | mlp_clf_w_class | n_tr=17352 | 60.5s
[experiment] fold 1 | mlp_latent_yw | n_tr=17352 | 67.2s
[experiment] fold 2 | sparse_logistic | n_tr=17308 | 152.2s
[experiment] fold 2 | xgb_clf | n_tr=17308 | 28.9s
[experiment] fold 2 | mlp_clf_y | n_tr=17308 | 59.1s
[experiment] fold 2 | linreg | n_tr=17308 | 35.0s
[experiment] fold 2 | xgb_reg | n_tr=17308 | 27.1s
[experiment] fold 2 | mlp_reg | n_tr=17308 | 57.9s
[experiment] fold 2 | sparse_logistic | n_tr=17308 | 75.4s
[experiment] fold 2 | xgb_clf | n_tr=17308 | 27.9s
[experiment] fold 2 | mlp_clf_w_class | n_tr=17308 | 57.9s
[experiment] fold 2 | mlp_latent_yw | n_tr=17308 | 66.1s
[experiment] fold 3 | sparse_logistic | n_tr=17404 | 144.6s
[experiment] fold 3 | xgb_clf | n_tr=17404 | 29.0s
[experiment] fold 3 | mlp_clf_y | n_tr=17404 | 60.8s
