arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
1_baseline_clr_concat_quantile,y,sparse_logistic,0,test,581,20,561,0.6664438502673797,0.18054903673791467
1_baseline_clr_concat_quantile,y,sparse_logistic,1,test,607,18,589,0.6920863987926807,0.0985829226101757
1_baseline_clr_concat_quantile,y,sparse_logistic,2,test,591,19,572,0.7680806036069194,0.18740867893840468
1_baseline_clr_concat_quantile,y,sparse_logistic,3,test,577,27,550,0.7197643097643097,0.2682553957913365
1_baseline_clr_concat_quantile,y,sparse_logistic,4,test,552,18,534,0.80264253017062,0.23197050318423726
1_baseline_clr_concat_quantile,y,sparse_logistic,5,test,564,17,547,0.712872351865792,0.2323479688292486
1_baseline_clr_concat_quantile,y,sparse_logistic,6,test,582,23,559,0.682040911565684,0.11872424324968187
1_baseline_clr_concat_quantile,y,sparse_logistic,7,test,573,17,556,0.6413457469318662,0.09561092366063458
1_baseline_clr_concat_quantile,y,sparse_logistic,8,test,576,22,554,0.7695274040039384,0.18078681876116084
1_baseline_clr_concat_quantile,y,sparse_logistic,9,test,563,17,546,0.7686382245205774,0.1607549603156328
1_baseline_clr_concat_quantile,y,xgb_clf,0,test,581,20,561,0.6987076648841355,0.24270582396935875
1_baseline_clr_concat_quantile,y,xgb_clf,1,test,607,18,589,0.7363233352197698,0.1254782114500829
1_baseline_clr_concat_quantile,y,xgb_clf,2,test,591,19,572,0.8432554287817445,0.2694267372974439
1_baseline_clr_concat_quantile,y,xgb_clf,3,test,577,27,550,0.797070707070707,0.37354511945190405
1_baseline_clr_concat_quantile,y,xgb_clf,4,test,552,18,534,0.8190803162713275,0.4234745930049132
1_baseline_clr_concat_quantile,y,xgb_clf,5,test,564,17,547,0.7839552640068824,0.14077764934077064
1_baseline_clr_concat_quantile,y,xgb_clf,6,test,582,23,559,0.7395971066345183,0.15427034245641588
1_baseline_clr_concat_quantile,y,xgb_clf,7,test,573,17,556,0.7184722809987304,0.21706023861186913
1_baseline_clr_concat_quantile,y,xgb_clf,8,test,576,22,554,0.8228585493928455,0.22346739109190814
1_baseline_clr_concat_quantile,y,xgb_clf,9,test,563,17,546,0.7466602025425554,0.09931089808571542
