arm,task,model,family_truth,level,n_folds,auc,auc_sd,ap,ap_sd,n_units,prevalence
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,majority,genus,10,0.5494,0.024,0.4698,0.0343,576,0.4288
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,majority,family,10,0.5379,0.0293,0.4966,0.0291,392,0.4652
1_baseline_clr_concat_quantile,w_class,sparse_logistic,majority,genus,10,0.5867,0.0197,0.5007,0.0304,576,0.4288
1_baseline_clr_concat_quantile,w_class,sparse_logistic,majority,family,10,0.5748,0.0297,0.5288,0.0272,392,0.4652
1_baseline_clr_concat_quantile,w_class,xgb_clf,majority,genus,10,0.5626,0.0294,0.4782,0.0323,576,0.4288
1_baseline_clr_concat_quantile,w_class,xgb_clf,majority,family,10,0.5489,0.0362,0.5022,0.0257,392,0.4652
1_baseline_clr_concat_quantile,y,mlp_clf_y,majority,genus,10,0.7683,0.0486,0.2516,0.1085,576,0.0343
1_baseline_clr_concat_quantile,y,mlp_clf_y,majority,family,10,0.7676,0.0664,0.2359,0.123,392,0.0311
1_baseline_clr_concat_quantile,y,sparse_logistic,majority,genus,10,0.7223,0.0502,0.1755,0.0556,576,0.0343
1_baseline_clr_concat_quantile,y,sparse_logistic,majority,family,10,0.6902,0.0545,0.1184,0.0473,392,0.0311
1_baseline_clr_concat_quantile,y,xgb_clf,majority,genus,10,0.7706,0.0467,0.227,0.1008,576,0.0343
1_baseline_clr_concat_quantile,y,xgb_clf,majority,family,10,0.7717,0.077,0.2218,0.1297,392,0.0311
2_presence_concat_quantile,w_class,mlp_clf_w_class,majority,genus,10,0.5488,0.0192,0.4632,0.0295,576,0.4288
2_presence_concat_quantile,w_class,mlp_clf_w_class,majority,family,10,0.5425,0.0268,0.4952,0.0253,392,0.4652
2_presence_concat_quantile,w_class,sparse_logistic,majority,genus,10,0.5868,0.0189,0.5002,0.0292,576,0.4288
2_presence_concat_quantile,w_class,sparse_logistic,majority,family,10,0.5748,0.0283,0.5278,0.0258,392,0.4652
2_presence_concat_quantile,w_class,xgb_clf,majority,genus,10,0.5652,0.0253,0.4794,0.0348,576,0.4288
2_presence_concat_quantile,w_class,xgb_clf,majority,family,10,0.5571,0.0356,0.5046,0.0296,392,0.4652
2_presence_concat_quantile,y,mlp_clf_y,majority,genus,10,0.791,0.0419,0.2714,0.1046,576,0.0343
2_presence_concat_quantile,y,mlp_clf_y,majority,family,10,0.7932,0.0575,0.254,0.1338,392,0.0311
2_presence_concat_quantile,y,sparse_logistic,majority,genus,10,0.7254,0.0472,0.1768,0.0559,576,0.0343
2_presence_concat_quantile,y,sparse_logistic,majority,family,10,0.6967,0.0534,0.124,0.049,392,0.0311
2_presence_concat_quantile,y,xgb_clf,majority,genus,10,0.8049,0.036,0.2437,0.0938,576,0.0343
2_presence_concat_quantile,y,xgb_clf,majority,family,10,0.8063,0.0583,0.2316,0.1187,392,0.0311
3_presence_concat_equaldim,w_class,mlp_clf_w_class,majority,genus,10,0.5499,0.0193,0.4697,0.0301,576,0.4288
3_presence_concat_equaldim,w_class,mlp_clf_w_class,majority,family,10,0.5415,0.0284,0.499,0.0329,392,0.4652
3_presence_concat_equaldim,w_class,sparse_logistic,majority,genus,10,0.5866,0.0201,0.5014,0.0283,576,0.4288
3_presence_concat_equaldim,w_class,sparse_logistic,majority,family,10,0.5732,0.0285,0.5271,0.0263,392,0.4652
3_presence_concat_equaldim,w_class,xgb_clf,majority,genus,10,0.5752,0.0288,0.4884,0.0389,576,0.4288
3_presence_concat_equaldim,w_class,xgb_clf,majority,family,10,0.5651,0.0375,0.5122,0.0339,392,0.4652
3_presence_concat_equaldim,y,mlp_clf_y,majority,genus,10,0.8062,0.0454,0.2744,0.0765,576,0.0343
3_presence_concat_equaldim,y,mlp_clf_y,majority,family,10,0.7891,0.0837,0.2617,0.1242,392,0.0311
3_presence_concat_equaldim,y,sparse_logistic,majority,genus,10,0.7058,0.0567,0.1643,0.0634,576,0.0343
3_presence_concat_equaldim,y,sparse_logistic,majority,family,10,0.665,0.061,0.119,0.0468,392,0.0311
3_presence_concat_equaldim,y,xgb_clf,majority,genus,10,0.8036,0.041,0.2385,0.0775,576,0.0343
3_presence_concat_equaldim,y,xgb_clf,majority,family,10,0.7885,0.0542,0.2249,0.0998,392,0.0311
