outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
0,-1,test,y,binary,sparse_logistic,581,20.0,561.0,0.6600713012477718,0.12941135735729925,
0,-1,test,y,binary,xgb_clf,581,20.0,561.0,0.7475044563279858,0.1999993694983019,
0,-1,test,y,binary,mlp_clf_y,581,20.0,561.0,0.7502673796791444,0.19179033969895387,
0,-1,test,y,binary,mlp_latent_y,581,20.0,561.0,0.7502673796791444,0.19179033969895387,
0,-1,test,w_reg,regression,linreg,581,,,,,-0.14692990483027657
0,-1,test,w_reg,regression,xgb_reg,581,,,,,-0.13569864914695717
0,-1,test,w_reg,regression,mlp_reg,581,,,,,-0.13155626830486478
0,-1,test,w_class,binary,sparse_logistic,581,254.0,327.0,0.6216138120349636,0.529500177691226,
0,-1,test,w_class,binary,xgb_clf,581,254.0,327.0,0.6476076958270125,0.5729595816473817,
0,-1,test,w_class,binary,mlp_clf_w_class,581,254.0,327.0,0.5824724891039996,0.49124799084396864,
0,-1,test,w_class,binary,mlp_latent_w_class,581,254.0,327.0,0.5824724891039996,0.49124799084396864,
0,-1,test,y,binary,mlp_latent_yw,581,20.0,561.0,0.7532976827094474,0.21225971542767438,
0,-1,test,w_class,binary,mlp_latent_yw,581,254.0,327.0,0.6109104481205904,0.5438674240071771,
1,-1,test,y,binary,sparse_logistic,607,18.0,589.0,0.672514619883041,0.08047033266795196,
1,-1,test,y,binary,xgb_clf,607,18.0,589.0,0.812110922467459,0.16688356686826492,
1,-1,test,y,binary,mlp_clf_y,607,18.0,589.0,0.7847575929069986,0.17647674724096477,
1,-1,test,y,binary,mlp_latent_y,607,18.0,589.0,0.7847575929069986,0.17647674724096477,
1,-1,test,w_reg,regression,linreg,607,,,,,-0.17192758191264734
1,-1,test,w_reg,regression,xgb_reg,607,,,,,-0.17105321508360127
1,-1,test,w_reg,regression,mlp_reg,607,,,,,-0.15731214632762036
1,-1,test,w_class,binary,sparse_logistic,607,262.0,345.0,0.5809602832171701,0.5116178569426517,
1,-1,test,w_class,binary,xgb_clf,607,262.0,345.0,0.560299811926098,0.4789811024599285,
1,-1,test,w_class,binary,mlp_clf_w_class,607,262.0,345.0,0.5352915145480694,0.4785459057517609,
1,-1,test,w_class,binary,mlp_latent_w_class,607,262.0,345.0,0.5352915145480694,0.4785459057517609,
1,-1,test,y,binary,mlp_latent_yw,607,18.0,589.0,0.7896623278626674,0.22488253855086932,
1,-1,test,w_class,binary,mlp_latent_yw,607,262.0,345.0,0.5828520854076777,0.5075258614672189,
2,-1,test,y,binary,sparse_logistic,591,19.0,572.0,0.7662863452337136,0.18866438525812648,
2,-1,test,y,binary,xgb_clf,591,19.0,572.0,0.8700772911299227,0.3088998545903414,
2,-1,test,y,binary,mlp_clf_y,591,19.0,572.0,0.8640044166359955,0.2768360007806666,
2,-1,test,y,binary,mlp_latent_y,591,19.0,572.0,0.8640044166359955,0.2768360007806666,
2,-1,test,w_reg,regression,linreg,591,,,,,-0.16972118726154184
2,-1,test,w_reg,regression,xgb_reg,591,,,,,-0.16369871017292015
2,-1,test,w_reg,regression,mlp_reg,591,,,,,-0.1613315157556603
2,-1,test,w_class,binary,sparse_logistic,591,270.0,321.0,0.5765028268143533,0.5066529444551034,
2,-1,test,w_class,binary,xgb_clf,591,270.0,321.0,0.5404811353409484,0.47670273140496117,
2,-1,test,w_class,binary,mlp_clf_w_class,591,270.0,321.0,0.5368062766816661,0.48725177111330764,
2,-1,test,w_class,binary,mlp_latent_w_class,591,270.0,321.0,0.5368062766816661,0.48725177111330764,
2,-1,test,y,binary,mlp_latent_yw,591,19.0,572.0,0.8737578211262421,0.33653292443125105,
2,-1,test,w_class,binary,mlp_latent_yw,591,270.0,321.0,0.5574016383985231,0.49829905048283807,
3,-1,test,y,binary,sparse_logistic,577,27.0,550.0,0.6975084175084175,0.2535456044323398,
3,-1,test,y,binary,xgb_clf,577,27.0,550.0,0.783905723905724,0.4352319556309494,
3,-1,test,y,binary,mlp_clf_y,577,27.0,550.0,0.80013468013468,0.45321006192599805,
3,-1,test,y,binary,mlp_latent_y,577,27.0,550.0,0.80013468013468,0.45321006192599805,
3,-1,test,w_reg,regression,linreg,577,,,,,-0.12121829179195731
3,-1,test,w_reg,regression,xgb_reg,577,,,,,-0.12042244670734092
3,-1,test,w_reg,regression,mlp_reg,577,,,,,-0.10719518359783042
3,-1,test,w_class,binary,sparse_logistic,577,232.0,345.0,0.6025237381309345,0.5086303826872818,
3,-1,test,w_class,binary,xgb_clf,577,232.0,345.0,0.6117691154422789,0.4992045789797298,
3,-1,test,w_class,binary,mlp_clf_w_class,577,232.0,345.0,0.582871064467766,0.4691508262223263,
3,-1,test,w_class,binary,mlp_latent_w_class,577,232.0,345.0,0.582871064467766,0.4691508262223263,
3,-1,test,y,binary,mlp_latent_yw,577,27.0,550.0,0.7848484848484848,0.42866565534785783,
3,-1,test,w_class,binary,mlp_latent_yw,577,232.0,345.0,0.60396051974013,0.49163498338061457,
4,-1,test,y,binary,sparse_logistic,552,18.0,534.0,0.7974406991260924,0.23423579681418982,
4,-1,test,y,binary,xgb_clf,552,18.0,534.0,0.8605909280066583,0.35945055785770036,
4,-1,test,y,binary,mlp_clf_y,552,18.0,534.0,0.8500832292967124,0.2870599165756224,
4,-1,test,y,binary,mlp_latent_y,552,18.0,534.0,0.8500832292967124,0.2870599165756224,
4,-1,test,w_reg,regression,linreg,552,,,,,-0.14544509295455388
4,-1,test,w_reg,regression,xgb_reg,552,,,,,-0.13745900985413662
4,-1,test,w_reg,regression,mlp_reg,552,,,,,-0.1138964762691248
4,-1,test,w_class,binary,sparse_logistic,552,236.0,316.0,0.5690570692984338,0.483456219094486,
4,-1,test,w_class,binary,xgb_clf,552,236.0,316.0,0.5946148895086891,0.5090269946792008,
4,-1,test,w_class,binary,mlp_clf_w_class,552,236.0,316.0,0.5797307444754345,0.4913121188703101,
4,-1,test,w_class,binary,mlp_latent_w_class,552,236.0,316.0,0.5797307444754345,0.4913121188703101,
4,-1,test,y,binary,mlp_latent_yw,552,18.0,534.0,0.8412401165210154,0.3328104414756608,
4,-1,test,w_class,binary,mlp_latent_yw,552,236.0,316.0,0.5628888650504185,0.49129017250099755,
5,-1,test,y,binary,sparse_logistic,564,17.0,547.0,0.7198623507904076,0.25680692361460616,
5,-1,test,y,binary,xgb_clf,564,17.0,547.0,0.7855683406817937,0.20301708423789483,
5,-1,test,y,binary,mlp_clf_y,564,17.0,547.0,0.8361114098290138,0.38354749139983363,
5,-1,test,y,binary,mlp_latent_y,564,17.0,547.0,0.8361114098290138,0.38354749139983363,
5,-1,test,w_reg,regression,linreg,564,,,,,-0.1557375944327224
5,-1,test,w_reg,regression,xgb_reg,564,,,,,-0.15668442691096396
5,-1,test,w_reg,regression,mlp_reg,564,,,,,-0.1473796431035881
5,-1,test,w_class,binary,sparse_logistic,564,232.0,332.0,0.5479850436227669,0.4556787293304799,
