model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.09090909090909091,0,1064,115,5185,581,0.5398955028923307
l2_logistic,0.09090909090909091,1,1048,131,5159,607,0.5709955738020399
l2_logistic,0.09090909090909091,2,1058,121,5175,591,0.5228415684895376
l2_logistic,0.09090909090909091,3,1076,103,5189,577,0.5659333906845275
l2_logistic,0.09090909090909091,4,1069,110,5214,552,0.596441793500617
l2_logistic,0.09090909090909091,5,1063,116,5202,564,0.5268626847290641
l2_logistic,0.09090909090909091,6,1046,133,5184,582,0.6074987022121004
l2_logistic,0.09090909090909091,7,1075,104,5193,573,0.5438740364113498
l2_logistic,0.09090909090909091,8,1066,113,5190,576,0.5571016265601407
l2_logistic,0.09090909090909091,9,1046,133,5203,563,0.5796467913970973
l2_logistic,0.18181818181818182,0,681,74,5185,581,0.5225225225225225
l2_logistic,0.18181818181818182,1,669,86,5159,607,0.5516002321117707
l2_logistic,0.18181818181818182,2,674,81,5175,591,0.5199467441297507
l2_logistic,0.18181818181818182,3,694,61,5189,577,0.5588067098741898
l2_logistic,0.18181818181818182,4,681,74,5214,552,0.5791303856157413
l2_logistic,0.18181818181818182,5,681,74,5202,564,0.520049641478213
l2_logistic,0.18181818181818182,6,672,83,5184,582,0.6037858850230581
l2_logistic,0.18181818181818182,7,693,62,5193,573,0.531626791237927
l2_logistic,0.18181818181818182,8,683,72,5190,576,0.541115520282187
l2_logistic,0.18181818181818182,9,667,88,5203,563,0.5965789473684211
l2_logistic,0.2727272727272727,0,541,57,5185,581,0.5074327038971473
l2_logistic,0.2727272727272727,1,525,73,5159,607,0.5720845518444411
l2_logistic,0.2727272727272727,2,532,66,5175,591,0.5085137085137086
l2_logistic,0.2727272727272727,3,547,51,5189,577,0.5890181167524043
l2_logistic,0.2727272727272727,4,536,62,5214,552,0.5894338380513495
l2_logistic,0.2727272727272727,5,542,56,5202,564,0.5348003374578179
l2_logistic,0.2727272727272727,6,532,66,5184,582,0.6040932581630256
l2_logistic,0.2727272727272727,7,553,45,5193,573,0.5783670033670033
l2_logistic,0.2727272727272727,8,541,57,5190,576,0.533921508974749
l2_logistic,0.2727272727272727,9,533,65,5203,563,0.6071980228606735
l2_logistic,0.36363636363636365,0,412,50,5185,581,0.5027871939736346
l2_logistic,0.36363636363636365,1,403,59,5159,607,0.5629716689348016
l2_logistic,0.36363636363636365,2,413,49,5175,591,0.5210482717072069
l2_logistic,0.36363636363636365,3,425,37,5189,577,0.6287787787787787
l2_logistic,0.36363636363636365,4,413,49,5214,552,0.5822209599545582
l2_logistic,0.36363636363636365,5,421,41,5202,564,0.5175581774938208
l2_logistic,0.36363636363636365,6,411,51,5184,582,0.6340238543628374
l2_logistic,0.36363636363636365,7,429,33,5193,573,0.587037037037037
l2_logistic,0.36363636363636365,8,417,45,5190,576,0.5166771291065076
l2_logistic,0.36363636363636365,9,414,48,5203,563,0.6292071197411002
l2_logistic,0.4545454545454546,0,324,42,5185,581,0.4759254351091086
l2_logistic,0.4545454545454546,1,318,48,5159,607,0.6010733452593918
l2_logistic,0.4545454545454546,2,327,39,5175,591,0.5569490895577852
l2_logistic,0.4545454545454546,3,336,30,5189,577,0.645642900670323
l2_logistic,0.4545454545454546,4,333,33,5214,552,0.5623868745256028
l2_logistic,0.4545454545454546,5,335,31,5202,564,0.49827513163469106
l2_logistic,0.4545454545454546,6,322,44,5184,582,0.6275346400811085
l2_logistic,0.4545454545454546,7,337,29,5193,573,0.5469066937119675
l2_logistic,0.4545454545454546,8,332,34,5190,576,0.50168222270458
l2_logistic,0.4545454545454546,9,330,36,5203,563,0.582595403752899
l2_logistic,0.5454545454545454,0,248,34,5185,581,0.445854392945478
l2_logistic,0.5454545454545454,1,244,38,5159,607,0.5287207473869207
l2_logistic,0.5454545454545454,2,249,33,5175,591,0.5499619854458564
l2_logistic,0.5454545454545454,3,258,24,5189,577,0.5726341169379144
l2_logistic,0.5454545454545454,4,258,24,5214,552,0.47782512626262624
l2_logistic,0.5454545454545454,5,259,23,5202,564,0.5117736880173592
l2_logistic,0.5454545454545454,6,246,36,5184,582,0.6592389092389093
