model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909091,0.5611091670678805,0.028412441445171875,10
l2_logistic,0.18181818181818182,0.5525163379643782,0.031445969815044154,10
l2_logistic,0.2727272727272727,0.562486304988232,0.03805129038207196,10
l2_logistic,0.36363636363636365,0.5682310191090283,0.05166613450475013,10
l2_logistic,0.4545454545454546,0.5598971737007458,0.05633135613320373,10
l2_logistic,0.5454545454545454,0.5363110476346461,0.06267818208779673,10
l2_logistic,0.6363636363636364,0.505480352080848,0.07213670468055364,10
l2_logistic,0.7272727272727273,0.5258691830803084,0.07604854282725249,10
l2_logistic,0.8181818181818182,0.5864340302504291,0.08507889280829675,10
l2_logistic,0.9090909090909092,0.5641751252487378,0.17043830316752237,10
xgboost,0.09090909090909091,0.5588371221567534,0.03478461094147265,10
xgboost,0.18181818181818182,0.5365163748421969,0.02606821216995919,10
xgboost,0.2727272727272727,0.5523006856895527,0.03272651269073865,10
xgboost,0.36363636363636365,0.5585748319842786,0.04332621069806926,10
xgboost,0.4545454545454546,0.5505773369704584,0.04564854737292731,10
xgboost,0.5454545454545454,0.5490807913710245,0.044815052619764595,10
xgboost,0.6363636363636364,0.5443642197396033,0.09113496404828758,10
xgboost,0.7272727272727273,0.5426805843430695,0.08575306574315567,10
xgboost,0.8181818181818182,0.5829245249743921,0.07421266210479907,10
xgboost,0.9090909090909092,0.6154516655378479,0.12096635478148164,10
