model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909093,0.5611091670678805,0.02841244144517185,10
l2_logistic,0.18181818181818185,0.5525163379643782,0.03144596981504417,10
l2_logistic,0.2727272727272727,0.562486304988232,0.03805129038207195,10
l2_logistic,0.3636363636363637,0.5682310191090283,0.051666134504750154,10
l2_logistic,0.4545454545454546,0.5598971737007458,0.05633135613320374,10
l2_logistic,0.5454545454545454,0.5363110476346461,0.06267818208779674,10
l2_logistic,0.6363636363636364,0.505480352080848,0.07213670468055364,10
l2_logistic,0.7272727272727273,0.5258691830803084,0.07604854282725247,10
l2_logistic,0.8181818181818182,0.5864340302504291,0.0850788928082968,10
l2_logistic,0.9090909090909092,0.5641751252487377,0.1704383031675224,10
xgboost,0.09090909090909093,0.5588371221567534,0.03478461094147264,10
xgboost,0.18181818181818185,0.5365163748421969,0.026068212169959193,10
xgboost,0.2727272727272727,0.5523006856895527,0.03272651269073864,10
xgboost,0.3636363636363637,0.5585748319842786,0.043326210698069266,10
xgboost,0.4545454545454546,0.5505773369704584,0.04564854737292733,10
xgboost,0.5454545454545454,0.5490807913710245,0.04481505261976459,10
xgboost,0.6363636363636364,0.54436421973960325,0.0911349640482876,10
xgboost,0.7272727272727273,0.5426805843430695,0.0857530657431557,10
xgboost,0.8181818181818182,0.5829245249743921,0.07421266210479903,10
xgboost,0.9090909090909092,0.615451665537848,0.12096635478148164,10
