cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
CRC,20260827_211118_nogit,0,real,-1,y,0.7532976827094474,0.21225971542767438,581,20,27.4
CRC,20260827_211118_nogit,0,real,-1,w_class,0.6109104481205904,0.5438674240071771,581,254,27.4
CRC,20260827_211118_nogit,0,shuffled,0,y,0.5608734402852049,0.08965482808756121,581,20,25.5
CRC,20260827_211118_nogit,0,shuffled,0,w_class,0.6253220640997857,0.5601935685971163,581,254,25.5
CRC,20260827_211118_nogit,0,shuffled,1,y,0.296524064171123,0.026024651212024914,581,20,25.8
CRC,20260827_211118_nogit,0,shuffled,1,w_class,0.608044980615955,0.5267746436908844,581,254,25.8
CRC,20260827_211118_nogit,0,shuffled,2,y,0.41648841354723704,0.028827588344642482,581,20,25.8
CRC,20260827_211118_nogit,0,shuffled,2,w_class,0.5969443039803511,0.5221960123713798,581,254,25.8
CRC,20260827_211118_nogit,0,shuffled,3,y,0.47388591800356505,0.032028888755676846,581,20,25.7
CRC,20260827_211118_nogit,0,shuffled,3,w_class,0.6308603626381564,0.5493117046945171,581,254,25.7
CRC,20260827_211118_nogit,0,shuffled,4,y,0.42076648841354725,0.04008861554177286,581,20,25.8
CRC,20260827_211118_nogit,0,shuffled,4,w_class,0.6325459317585301,0.5528861480627767,581,254,25.8
CRC,20260827_211118_nogit,1,real,-1,y,0.7896623278626674,0.22488253855086932,607,18,25.7
CRC,20260827_211118_nogit,1,real,-1,w_class,0.5828520854076777,0.5075258614672189,607,262,25.7
CRC,20260827_211118_nogit,1,shuffled,0,y,0.49377475947934346,0.03971156024370012,607,18,26.5
CRC,20260827_211118_nogit,1,shuffled,0,w_class,0.588538555149906,0.5260019448056419,607,262,26.5
CRC,20260827_211118_nogit,1,shuffled,1,y,0.38398415393322016,0.02334237413833152,607,18,25.8
CRC,20260827_211118_nogit,1,shuffled,1,w_class,0.5848877088173471,0.5156560441121194,607,262,25.8
CRC,20260827_211118_nogit,1,shuffled,2,y,0.38134314280324466,0.023664383292503532,607,18,25.5
CRC,20260827_211118_nogit,1,shuffled,2,w_class,0.5937382453811262,0.5201467948463712,607,262,25.5
CRC,20260827_211118_nogit,1,shuffled,3,y,0.6013016411997737,0.04740497449737918,607,18,26.0
CRC,20260827_211118_nogit,1,shuffled,3,w_class,0.5902422834384334,0.5223994791106459,607,262,26.0
CRC,20260827_211118_nogit,1,shuffled,4,y,0.469628372005282,0.027907400868423138,607,18,25.7
CRC,20260827_211118_nogit,1,shuffled,4,w_class,0.6107534019249918,0.5250405903571103,607,262,25.7
CRC,20260827_211118_nogit,2,real,-1,y,0.8737578211262421,0.33653292443125105,591,19,25.9
CRC,20260827_211118_nogit,2,real,-1,w_class,0.5574016383985231,0.49829905048283807,591,270,25.9
CRC,20260827_211118_nogit,2,shuffled,0,y,0.43329039381670964,0.028891125818589002,591,19,25.8
CRC,20260827_211118_nogit,2,shuffled,0,w_class,0.5563401407638168,0.5070052757503651,591,270,25.8
CRC,20260827_211118_nogit,2,shuffled,1,y,0.4754324622745676,0.035342217075866815,591,19,25.9
CRC,20260827_211118_nogit,2,shuffled,1,w_class,0.5647859697703935,0.496462521882782,591,270,25.9
CRC,20260827_211118_nogit,2,shuffled,2,y,0.44377990430622005,0.03607824914153697,591,19,25.8
CRC,20260827_211118_nogit,2,shuffled,2,w_class,0.5646244375216338,0.49573951701184427,591,270,25.8
CRC,20260827_211118_nogit,2,shuffled,3,y,0.3977732793522267,0.026221238577309534,591,19,26.1
CRC,20260827_211118_nogit,2,shuffled,3,w_class,0.56989731164186,0.5182650443458612,591,270,26.1
CRC,20260827_211118_nogit,2,shuffled,4,y,0.49079867500920127,0.03171620201225775,591,19,26.1
CRC,20260827_211118_nogit,2,shuffled,4,w_class,0.5511134187146649,0.48412563661268004,591,270,26.1
CRC,20260827_211118_nogit,3,real,-1,y,0.7848484848484848,0.42866565534785783,577,27,26.3
CRC,20260827_211118_nogit,3,real,-1,w_class,0.60396051974013,0.49163498338061457,577,232,26.3
CRC,20260827_211118_nogit,3,shuffled,0,y,0.5723905723905723,0.06029945142179338,577,27,26.2
CRC,20260827_211118_nogit,3,shuffled,0,w_class,0.5944152923538231,0.4985783671356841,577,232,26.2
