arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
1_baseline_clr_concat_quantile,y,sparse_logistic,0,test,1901,56,1845,0.6111207897793264,0.08388208650069191
1_baseline_clr_concat_quantile,y,sparse_logistic,1,test,1912,44,1868,0.6944714814093829,0.0769534161511402
1_baseline_clr_concat_quantile,y,sparse_logistic,2,test,1956,51,1905,0.6012866038803972,0.06242602425605054
1_baseline_clr_concat_quantile,y,sparse_logistic,3,test,1860,48,1812,0.6090760669610007,0.09286991510634203
1_baseline_clr_concat_quantile,y,sparse_logistic,4,test,1935,43,1892,0.710961699198584,0.08509575389130165
1_baseline_clr_concat_quantile,y,sparse_logistic,5,test,1947,46,1901,0.6756970015781167,0.12717234072043268
1_baseline_clr_concat_quantile,y,sparse_logistic,6,test,1897,45,1852,0.6412047036237102,0.049443277089415344
1_baseline_clr_concat_quantile,y,sparse_logistic,7,test,1944,46,1898,0.5811494937462774,0.038797249268180234
1_baseline_clr_concat_quantile,y,sparse_logistic,8,test,1956,51,1905,0.5525294632288611,0.0498605735495753
1_baseline_clr_concat_quantile,y,sparse_logistic,9,test,1956,48,1908,0.6048327218728161,0.08147886122832274
1_baseline_clr_concat_quantile,y,xgb_clf,0,test,1901,56,1845,0.7396341463414634,0.17461009634985467
1_baseline_clr_concat_quantile,y,xgb_clf,1,test,1912,44,1868,0.784918240218026,0.1390796431031914
1_baseline_clr_concat_quantile,y,xgb_clf,2,test,1956,51,1905,0.7797334156759818,0.1741217944300299
1_baseline_clr_concat_quantile,y,xgb_clf,3,test,1860,48,1812,0.7995309050772628,0.16469825927125528
1_baseline_clr_concat_quantile,y,xgb_clf,4,test,1935,43,1892,0.7956266286444761,0.11099583534390878
1_baseline_clr_concat_quantile,y,xgb_clf,5,test,1947,46,1901,0.7889554696612766,0.1994932984254767
1_baseline_clr_concat_quantile,y,xgb_clf,6,test,1897,45,1852,0.7737820974322054,0.14819761573788445
1_baseline_clr_concat_quantile,y,xgb_clf,7,test,1944,46,1898,0.7702959637146654,0.07985736075679674
1_baseline_clr_concat_quantile,y,xgb_clf,8,test,1956,51,1905,0.7331274767124698,0.127069480989546
1_baseline_clr_concat_quantile,y,xgb_clf,9,test,1956,48,1908,0.7104734451432564,0.13659482780494975
1_baseline_clr_concat_quantile,y,mlp_clf_y,0,test,1901,56,1845,0.737137049941928,0.19840173383418075
1_baseline_clr_concat_quantile,y,mlp_clf_y,1,test,1912,44,1868,0.820104146388943,0.18068673382959022
1_baseline_clr_concat_quantile,y,mlp_clf_y,2,test,1956,51,1905,0.8095105758838969,0.20739988400900283
1_baseline_clr_concat_quantile,y,mlp_clf_y,3,test,1860,48,1812,0.7844002943340691,0.18255669767421587
1_baseline_clr_concat_quantile,y,mlp_clf_y,4,test,1935,43,1892,0.8250036874969271,0.18117477664015647
1_baseline_clr_concat_quantile,y,mlp_clf_y,5,test,1947,46,1901,0.812021133042106,0.22955577068291702
1_baseline_clr_concat_quantile,y,mlp_clf_y,6,test,1897,45,1852,0.7607031437485,0.13307017279753725
1_baseline_clr_concat_quantile,y,mlp_clf_y,7,test,1944,46,1898,0.7870069180372933,0.13781608781268917
1_baseline_clr_concat_quantile,y,mlp_clf_y,8,test,1956,51,1905,0.7365601358653698,0.12997862884285144
1_baseline_clr_concat_quantile,y,mlp_clf_y,9,test,1956,48,1908,0.7081968466107618,0.15139124143045388
1_baseline_clr_concat_quantile,w_class,sparse_logistic,0,test,1901,960,941,0.5764601044987602,0.5824331019992589
1_baseline_clr_concat_quantile,w_class,sparse_logistic,1,test,1912,947,965,0.6178146423666775,0.603060231536977
1_baseline_clr_concat_quantile,w_class,sparse_logistic,2,test,1956,963,993,0.5864049384110371,0.5656590289423643
1_baseline_clr_concat_quantile,w_class,sparse_logistic,3,test,1860,902,958,0.6137428308236395,0.5916409972401375
1_baseline_clr_concat_quantile,w_class,sparse_logistic,4,test,1935,948,987,0.6192635057434411,0.6054518095393945
1_baseline_clr_concat_quantile,w_class,sparse_logistic,5,test,1947,952,995,0.5968888560449306,0.5765812221546656
1_baseline_clr_concat_quantile,w_class,sparse_logistic,6,test,1897,907,990,0.6067109908344749,0.5776425423266974
1_baseline_clr_concat_quantile,w_class,sparse_logistic,7,test,1944,954,990,0.5936746924168308,0.588821591230096
1_baseline_clr_concat_quantile,w_class,sparse_logistic,8,test,1956,953,1003,0.5943523050993923,0.5773921868896688
1_baseline_clr_concat_quantile,w_class,sparse_logistic,9,test,1956,965,991,0.6069799177049402,0.6026613063846447
1_baseline_clr_concat_quantile,w_class,xgb_clf,0,test,1901,960,941,0.575070846617074,0.573306088415806
1_baseline_clr_concat_quantile,w_class,xgb_clf,1,test,1912,947,965,0.6128417527944805,0.600671414856399
1_baseline_clr_concat_quantile,w_class,xgb_clf,2,test,1956,963,993,0.5941758456652434,0.5739564241592515
1_baseline_clr_concat_quantile,w_class,xgb_clf,3,test,1860,902,958,0.6078524179624032,0.5916009465114673
1_baseline_clr_concat_quantile,w_class,xgb_clf,4,test,1935,948,987,0.6129023294388228,0.5896847536858498
1_baseline_clr_concat_quantile,w_class,xgb_clf,5,test,1947,952,995,0.5859307039398673,0.5746001386163887
1_baseline_clr_concat_quantile,w_class,xgb_clf,6,test,1897,907,990,0.6073535799004377,0.5777346813437059
1_baseline_clr_concat_quantile,w_class,xgb_clf,7,test,1944,954,990,0.5923437731613832,0.5779780494360613
1_baseline_clr_concat_quantile,w_class,xgb_clf,8,test,1956,953,1003,0.599897055946536,0.5750547099008303
1_baseline_clr_concat_quantile,w_class,xgb_clf,9,test,1956,965,991,0.5984189310007686,0.5954033788292956
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,0,test,1901,960,941,0.5739926496634786,0.5759920757175643
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,1,test,1912,947,965,0.5964841249432349,0.5885845946722598
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,2,test,1956,963,993,0.6007619274694408,0.5734483618012938
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,3,test,1860,902,958,0.5888399242694269,0.566967937019105
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,4,test,1935,948,987,0.6062312167887174,0.5863528131239242
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,5,test,1947,952,995,0.5900109792660784,0.5694559881683701
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,6,test,1897,907,990,0.6038933992627487,0.5705298364330611
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,7,test,1944,954,990,0.5648317557122589,0.5595298982955601
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,8,test,1956,953,1003,0.6050672745666463,0.569430921923441
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,9,test,1956,965,991,0.6055494267056358,0.5968905710306108
2_presence_concat_quantile,y,sparse_logistic,0,test,1901,56,1845,0.5990418118466898,0.08382108453831513
2_presence_concat_quantile,y,sparse_logistic,1,test,1912,44,1868,0.6953718123418338,0.07631476083817797
2_presence_concat_quantile,y,sparse_logistic,2,test,1956,51,1905,0.5923421337038753,0.06190778305938006
2_presence_concat_quantile,y,sparse_logistic,3,test,1860,48,1812,0.5997746504782928,0.09213587381832779
2_presence_concat_quantile,y,sparse_logistic,4,test,1935,43,1892,0.7153744038546634,0.08425976049202319
2_presence_concat_quantile,y,sparse_logistic,5,test,1947,46,1901,0.6783958099855911,0.12593580984786068
2_presence_concat_quantile,y,sparse_logistic,6,test,1897,45,1852,0.6372810175185984,0.04905873774821061
2_presence_concat_quantile,y,sparse_logistic,7,test,1944,46,1898,0.5667178265451047,0.037948769510165
2_presence_concat_quantile,y,sparse_logistic,8,test,1956,51,1905,0.548772579898101,0.048864418111347896
2_presence_concat_quantile,y,sparse_logistic,9,test,1956,48,1908,0.6035988819007687,0.08127466499796805
2_presence_concat_quantile,y,xgb_clf,0,test,1901,56,1845,0.7602884243128146,0.23535564876448462
2_presence_concat_quantile,y,xgb_clf,1,test,1912,44,1868,0.8164054895853611,0.15803614478567987
2_presence_concat_quantile,y,xgb_clf,2,test,1956,51,1905,0.8150995831403428,0.16091812788226958
2_presence_concat_quantile,y,xgb_clf,3,test,1860,48,1812,0.8224222774098602,0.209367588870718
2_presence_concat_quantile,y,xgb_clf,4,test,1935,43,1892,0.8024976645852795,0.11530441420069769
2_presence_concat_quantile,y,xgb_clf,5,test,1947,46,1901,0.803078471285136,0.23838237962185893
2_presence_concat_quantile,y,xgb_clf,6,test,1897,45,1852,0.7570194384449244,0.10943959732874779
2_presence_concat_quantile,y,xgb_clf,7,test,1944,46,1898,0.7825743345397901,0.09429706823211524
2_presence_concat_quantile,y,xgb_clf,8,test,1956,51,1905,0.7547527147341877,0.16289096578368023
2_presence_concat_quantile,y,xgb_clf,9,test,1956,48,1908,0.7251812543675751,0.11505173223277701
2_presence_concat_quantile,y,mlp_clf_y,0,test,1901,56,1845,0.7389663182346109,0.19983077639697647
2_presence_concat_quantile,y,mlp_clf_y,1,test,1912,44,1868,0.8250316332489781,0.20811417686754377
2_presence_concat_quantile,y,mlp_clf_y,2,test,1956,51,1905,0.8287427306880758,0.19452562483825117
2_presence_concat_quantile,y,mlp_clf_y,3,test,1860,48,1812,0.7978752759381899,0.20005639752103202
2_presence_concat_quantile,y,mlp_clf_y,4,test,1935,43,1892,0.8392988839175967,0.1561148870062057
2_presence_concat_quantile,y,mlp_clf_y,5,test,1947,46,1901,0.8222445852297416,0.22803578956481577
2_presence_concat_quantile,y,mlp_clf_y,6,test,1897,45,1852,0.7312095032397408,0.13247103306875105
2_presence_concat_quantile,y,mlp_clf_y,7,test,1944,46,1898,0.7946579923947404,0.18223852845896774
2_presence_concat_quantile,y,mlp_clf_y,8,test,1956,51,1905,0.7556070197107715,0.1547181385319412
2_presence_concat_quantile,y,mlp_clf_y,9,test,1956,48,1908,0.7253777952480782,0.1302648659108712
2_presence_concat_quantile,w_class,sparse_logistic,0,test,1901,960,941,0.5756763637973787,0.5817747475017476
2_presence_concat_quantile,w_class,sparse_logistic,1,test,1912,947,965,0.6169085905313206,0.6026226492800837
2_presence_concat_quantile,w_class,sparse_logistic,2,test,1956,963,993,0.5865628454215857,0.5651826954464523
2_presence_concat_quantile,w_class,sparse_logistic,3,test,1860,902,958,0.6136386781404348,0.5910761859580779
2_presence_concat_quantile,w_class,sparse_logistic,4,test,1935,948,987,0.6186671454648831,0.6047451746976115
2_presence_concat_quantile,w_class,sparse_logistic,5,test,1947,952,995,0.5956885266669483,0.5754124123463181
2_presence_concat_quantile,w_class,sparse_logistic,6,test,1897,907,990,0.6067054224716849,0.577815077643482
2_presence_concat_quantile,w_class,sparse_logistic,7,test,1944,954,990,0.5942464477055672,0.5884341385717108
