arm,task,model,family_truth,level,n_folds,auc,auc_sd,ap,ap_sd,n_units,prevalence
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,majority,genus,10,0.5936,0.0136,0.5757,0.0108,1926,0.4906
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,majority,family,10,0.5964,0.0142,0.6093,0.0116,1429,0.5259
1_baseline_clr_concat_quantile,w_class,sparse_logistic,majority,genus,10,0.6012,0.0133,0.5871,0.0128,1926,0.4906
1_baseline_clr_concat_quantile,w_class,sparse_logistic,majority,family,10,0.6029,0.0155,0.6201,0.0145,1429,0.5259
1_baseline_clr_concat_quantile,w_class,xgb_clf,majority,genus,10,0.5987,0.0116,0.583,0.0097,1926,0.4906
1_baseline_clr_concat_quantile,w_class,xgb_clf,majority,family,10,0.6014,0.0144,0.6163,0.0137,1429,0.5259
1_baseline_clr_concat_quantile,y,mlp_clf_y,majority,genus,10,0.7781,0.0385,0.1732,0.0322,1926,0.0248
1_baseline_clr_concat_quantile,y,mlp_clf_y,majority,family,10,0.7797,0.04,0.1718,0.0371,1429,0.0239
1_baseline_clr_concat_quantile,y,sparse_logistic,majority,genus,10,0.6282,0.0485,0.0748,0.0245,1926,0.0248
1_baseline_clr_concat_quantile,y,sparse_logistic,majority,family,10,0.6251,0.0712,0.0687,0.0258,1429,0.0239
1_baseline_clr_concat_quantile,y,xgb_clf,majority,genus,10,0.7676,0.0283,0.1455,0.033,1926,0.0248
1_baseline_clr_concat_quantile,y,xgb_clf,majority,family,10,0.7688,0.0348,0.1416,0.0524,1429,0.0239
2_presence_concat_quantile,w_class,mlp_clf_w_class,majority,genus,10,0.5937,0.0072,0.573,0.0075,1926,0.4906
2_presence_concat_quantile,w_class,mlp_clf_w_class,majority,family,10,0.5951,0.0108,0.605,0.0102,1429,0.5259
2_presence_concat_quantile,w_class,sparse_logistic,majority,genus,10,0.6008,0.0132,0.5867,0.0127,1926,0.4906
2_presence_concat_quantile,w_class,sparse_logistic,majority,family,10,0.6024,0.0157,0.6196,0.0144,1429,0.5259
2_presence_concat_quantile,w_class,xgb_clf,majority,genus,10,0.5954,0.0122,0.5783,0.0091,1926,0.4906
2_presence_concat_quantile,w_class,xgb_clf,majority,family,10,0.5985,0.0157,0.6124,0.013,1429,0.5259
