scope,metric,value
grid,n_bacteria,95
grid,n_viruses,379
grid,n_pairs,36005
grid,n_crispr_positive,745
grid,crispr_prevalence,0.020691570615192334
mask,n_bacteria_matched,56
mask,n_viruses_matched,344
mask,n_observed,19264
mask,coverage_of_grid,0.5350368004443827
mask,n_crispr_positive,478
mask,crispr_prevalence,0.02481312292358804
mask,n_glasso_edge,9451
mask,glasso_prevalence,0.4906042358803987
mask,w_mean,0.10129568106312294
mask,w_sd,0.20300356513231446
mask,w_median,0.0
mask,w_frac_exactly_zero,0.5093957641196013
mask,w_frac_above_half,0.06976744186046512
mask,n_both,265
mask,n_both_expected_if_independent,234.50882475083057
mask,both_observed_over_expected,1.1300214406923355
degree_grid,n_edges,745
degree_grid,genus_degree_median,3.0
degree_grid,genus_degree_mean,7.842105263157895
degree_grid,genus_degree_max,156
degree_grid,genus_degree_zero,0
degree_grid,votu_degree_median,2.0
degree_grid,votu_degree_mean,1.9656992084432718
degree_grid,votu_degree_max,8
degree_grid,votu_degree_zero,0
degree_grid,top10_genera_share_of_edges,0.5959731543624162
degree_mask,n_edges,478
degree_mask,genus_degree_median,4.5
degree_mask,genus_degree_mean,8.535714285714286
degree_mask,genus_degree_max,75
degree_mask,genus_degree_zero,0
degree_mask,votu_degree_median,1.0
degree_mask,votu_degree_mean,1.3895348837209303
degree_mask,votu_degree_max,7
degree_mask,votu_degree_zero,68
degree_mask,top10_genera_share_of_edges,0.5899581589958159
features_bacteria,n_entities,95
features_bacteria,n_clusters,72646
features_bacteria,density,0.07083463138478302
features_bacteria,clusters_per_entity_median,3042.0
features_bacteria,clusters_per_entity_min,1064
features_bacteria,clusters_per_entity_max,48695
features_viruses,n_entities,379
features_viruses,n_clusters,7168
features_viruses,density,0.009821943907840181
features_viruses,clusters_per_entity_median,62.0
features_viruses,clusters_per_entity_min,9
features_viruses,clusters_per_entity_max,270
