outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
0,-1,test,y,binary,sparse_logistic,1901,56.0,1845.0,0.6201025938830816,0.08392363885591528,
0,-1,test,y,binary,xgb_clf,1901,56.0,1845.0,0.7620789779326365,0.21479737536033763,
0,-1,test,y,binary,mlp_clf_y,1901,56.0,1845.0,0.7395954316686023,0.1979660261431735,
0,-1,test,y,binary,mlp_latent_y,1901,56.0,1845.0,0.7395954316686023,0.1979660261431735,
0,-1,test,w_reg,regression,linreg,1901,,,,,-0.19328935342968045
0,-1,test,w_reg,regression,xgb_reg,1901,,,,,-0.20400762404546469
0,-1,test,w_reg,regression,mlp_reg,1901,,,,,-0.17189615781925616
0,-1,test,w_class,binary,sparse_logistic,1901,960.0,941.0,0.5757660290471129,0.5820556218848596,
0,-1,test,w_class,binary,xgb_clf,1901,960.0,941.0,0.5597779401346086,0.5603033905040236,
0,-1,test,w_class,binary,mlp_clf_w_class,1901,960.0,941.0,0.5860221838469712,0.5824873885601404,
0,-1,test,w_class,binary,mlp_latent_w_class,1901,960.0,941.0,0.5860221838469712,0.5824873885601404,
0,-1,test,y,binary,mlp_latent_yw,1901,56.0,1845.0,0.7307491289198607,0.16559517549841504,
0,-1,test,w_class,binary,mlp_latent_yw,1901,960.0,941.0,0.5937129162238752,0.5904415317083661,
1,-1,test,y,binary,sparse_logistic,1912,44.0,1868.0,0.6925734864707027,0.0760709494938138,
1,-1,test,y,binary,xgb_clf,1912,44.0,1868.0,0.8225009733307378,0.16851380264916027,
1,-1,test,y,binary,mlp_clf_y,1912,44.0,1868.0,0.8364561027837258,0.2381602252909526,
1,-1,test,y,binary,mlp_latent_y,1912,44.0,1868.0,0.8364561027837258,0.2381602252909526,
1,-1,test,w_reg,regression,linreg,1912,,,,,-0.17332312957260432
1,-1,test,w_reg,regression,xgb_reg,1912,,,,,-0.1825908552036084
1,-1,test,w_reg,regression,mlp_reg,1912,,,,,-0.14639916461941516
1,-1,test,w_class,binary,sparse_logistic,1912,947.0,965.0,0.6160999283256097,0.6008253952557859,
1,-1,test,w_class,binary,xgb_clf,1912,947.0,965.0,0.5967664454426578,0.5831611744132943,
1,-1,test,w_class,binary,mlp_clf_w_class,1912,947.0,965.0,0.6049843793599641,0.5748870825035908,
1,-1,test,w_class,binary,mlp_latent_w_class,1912,947.0,965.0,0.6049843793599641,0.5748870825035908,
1,-1,test,y,binary,mlp_latent_yw,1912,44.0,1868.0,0.8422960872104341,0.20562514099103976,
1,-1,test,w_class,binary,mlp_latent_yw,1912,947.0,965.0,0.6038879253273222,0.5925266488708558,
2,-1,test,y,binary,sparse_logistic,1956,51.0,1905.0,0.6019556378982038,0.06217032055440001,
2,-1,test,y,binary,xgb_clf,1956,51.0,1905.0,0.8185168030466781,0.2010888818808113,
2,-1,test,y,binary,mlp_clf_y,1956,51.0,1905.0,0.8107457156090784,0.2833497226206966,
2,-1,test,y,binary,mlp_latent_y,1956,51.0,1905.0,0.8107457156090784,0.2833497226206966,
2,-1,test,w_reg,regression,linreg,1956,,,,,-0.1782738975415974
2,-1,test,w_reg,regression,xgb_reg,1956,,,,,-0.17746894948695124
2,-1,test,w_reg,regression,mlp_reg,1956,,,,,-0.14641801818493194
2,-1,test,w_class,binary,sparse_logistic,1956,963.0,993.0,0.5868023202918875,0.5645960213389218,
2,-1,test,w_class,binary,xgb_clf,1956,963.0,993.0,0.5853503078140965,0.5550556447219532,
2,-1,test,w_class,binary,mlp_clf_w_class,1956,963.0,993.0,0.594322249516083,0.5636410019041324,
2,-1,test,w_class,binary,mlp_latent_w_class,1956,963.0,993.0,0.594322249516083,0.5636410019041324,
2,-1,test,y,binary,mlp_latent_yw,1956,51.0,1905.0,0.8110956718645463,0.2709084317560648,
2,-1,test,w_class,binary,mlp_latent_yw,1956,963.0,993.0,0.5993909599805074,0.5716401769818997,
3,-1,test,y,binary,sparse_logistic,1860,48.0,1812.0,0.6009013980868285,0.09176393424361372,
3,-1,test,y,binary,xgb_clf,1860,48.0,1812.0,0.8107638888888891,0.1626431932282018,
3,-1,test,y,binary,mlp_clf_y,1860,48.0,1812.0,0.7748344370860927,0.17615291934009006,
3,-1,test,y,binary,mlp_latent_y,1860,48.0,1812.0,0.7748344370860927,0.17615291934009006,
3,-1,test,w_reg,regression,linreg,1860,,,,,-0.15862673766168522
3,-1,test,w_reg,regression,xgb_reg,1860,,,,,-0.16374927352305169
3,-1,test,w_reg,regression,mlp_reg,1860,,,,,-0.12269727066030267
3,-1,test,w_class,binary,sparse_logistic,1860,902.0,958.0,0.6131422170171598,0.5898671086975846,
3,-1,test,w_class,binary,xgb_clf,1860,902.0,958.0,0.5940151553726584,0.5730364190461836,
3,-1,test,w_class,binary,mlp_clf_w_class,1860,902.0,958.0,0.5983571650102533,0.569418293523379,
3,-1,test,w_class,binary,mlp_latent_w_class,1860,902.0,958.0,0.5983571650102533,0.569418293523379,
3,-1,test,y,binary,mlp_latent_yw,1860,48.0,1812.0,0.7774098601913171,0.2080380961958218,
3,-1,test,w_class,binary,mlp_latent_yw,1860,902.0,958.0,0.6118935420707405,0.5928080933788298,
