model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.09090909090909091,0,4214,488,17363,1901,0.5521576578144397
l2_logistic,0.09090909090909091,1,4235,467,17352,1912,0.5722012699776976
l2_logistic,0.09090909090909091,2,4219,483,17308,1956,0.5872172535592354
l2_logistic,0.09090909090909091,3,4263,439,17404,1860,0.6074967258130964
l2_logistic,0.09090909090909091,4,4218,484,17329,1935,0.5717829254261809
l2_logistic,0.09090909090909091,5,4199,503,17317,1947,0.5651534009240953
l2_logistic,0.09090909090909091,6,4269,433,17367,1897,0.5693014172314138
l2_logistic,0.09090909090909091,7,4232,470,17320,1944,0.5822743150783798
l2_logistic,0.09090909090909091,8,4227,475,17308,1956,0.5754632360780412
l2_logistic,0.09090909090909091,9,4242,460,17308,1956,0.6044815159265288
l2_logistic,0.18181818181818182,0,2784,336,17363,1901,0.555178381256656
l2_logistic,0.18181818181818182,1,2814,306,17352,1912,0.5470234170878813
l2_logistic,0.18181818181818182,2,2812,308,17308,1956,0.5714896450636742
l2_logistic,0.18181818181818182,3,2831,289,17404,1860,0.5877441252458597
l2_logistic,0.18181818181818182,4,2795,325,17329,1935,0.5494467271858576
l2_logistic,0.18181818181818182,5,2787,333,17317,1947,0.5523832382568442
l2_logistic,0.18181818181818182,6,2827,293,17367,1897,0.5700084260338913
l2_logistic,0.18181818181818182,7,2815,305,17320,1944,0.5813780893987738
l2_logistic,0.18181818181818182,8,2787,333,17308,1956,0.588647797520256
l2_logistic,0.18181818181818182,9,2828,292,17308,1956,0.603787292544784
l2_logistic,0.2727272727272727,0,2186,264,17363,1901,0.5436172969771015
l2_logistic,0.2727272727272727,1,2208,242,17352,1912,0.5329935170980353
l2_logistic,0.2727272727272727,2,2202,248,17308,1956,0.5644216967590844
l2_logistic,0.2727272727272727,3,2226,224,17404,1860,0.588166914076144
l2_logistic,0.2727272727272727,4,2198,252,17329,1935,0.5396707504550642
l2_logistic,0.2727272727272727,5,2187,263,17317,1947,0.5567813372108776
l2_logistic,0.2727272727272727,6,2209,241,17367,1897,0.5698453504921122
l2_logistic,0.2727272727272727,7,2215,235,17320,1944,0.573213151899207
l2_logistic,0.2727272727272727,8,2190,260,17308,1956,0.578830279390421
l2_logistic,0.2727272727272727,9,2229,221,17308,1956,0.5966669709337958
