model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909091,0.578752971782911,0.017179202361266806,10
l2_logistic,0.18181818181818182,0.5707087139594478,0.0194685610088543,10
l2_logistic,0.2727272727272727,0.5644207265291843,0.021106723424407742,10
l2_logistic,0.36363636363636365,0.5537429372161777,0.02581620915328823,10
l2_logistic,0.4545454545454546,0.5629539696344563,0.021852418257033504,10
l2_logistic,0.5454545454545454,0.5529628049657678,0.021294727517977608,10
l2_logistic,0.6363636363636364,0.5566366486354765,0.02159229222721249,10
l2_logistic,0.7272727272727273,0.5541701562545513,0.040993565241663386,10
l2_logistic,0.8181818181818182,0.535873807434758,0.025035834145263707,10
l2_logistic,0.9090909090909092,0.5203378408507036,0.03670997674736192,10
xgboost,0.09090909090909091,0.5665921125495286,0.01548792792100664,10
xgboost,0.18181818181818182,0.5578677377338147,0.01833311262447936,10
xgboost,0.2727272727272727,0.5564881511869272,0.016471045695860737,10
xgboost,0.36363636363636365,0.5536740745297828,0.0167846048128453,10
xgboost,0.4545454545454546,0.5574740099843702,0.015249735535191008,10
xgboost,0.5454545454545454,0.5358865704010346,0.021795285843896457,10
xgboost,0.6363636363636364,0.5313324425025743,0.025884854402746127,10
xgboost,0.7272727272727273,0.5317355121344659,0.04501105200747397,10
xgboost,0.8181818181818182,0.53197442347421,0.044742228922530956,10
xgboost,0.9090909090909092,0.5042103742786289,0.0488757800178803,10
