model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909093,0.5787529717829109,0.01717920236126679,10
l2_logistic,0.18181818181818185,0.5707087139594478,0.019468561008854298,10
l2_logistic,0.2727272727272727,0.5644207265291843,0.021106723424407735,10
l2_logistic,0.3636363636363637,0.5537429372161777,0.02581620915328823,10
l2_logistic,0.4545454545454546,0.5629539696344562,0.021852418257033504,10
l2_logistic,0.5454545454545454,0.5529628049657678,0.02129472751797758,10
l2_logistic,0.6363636363636364,0.5566366486354765,0.021592292227212474,10
l2_logistic,0.7272727272727273,0.5541701562545515,0.04099356524166339,10
l2_logistic,0.8181818181818182,0.5358738074347581,0.025035834145263728,10
l2_logistic,0.9090909090909092,0.5203378408507036,0.03670997674736192,10
xgboost,0.09090909090909093,0.5665921125495286,0.015487927921006613,10
xgboost,0.18181818181818185,0.5578677377338147,0.018333112624479404,10
xgboost,0.2727272727272727,0.5564881511869272,0.016471045695860716,10
xgboost,0.3636363636363637,0.5536740745297828,0.016784604812845303,10
xgboost,0.4545454545454546,0.5574740099843702,0.015249735535191001,10
xgboost,0.5454545454545454,0.5358865704010346,0.02179528584389645,10
xgboost,0.6363636363636364,0.5313324425025743,0.025884854402746123,10
xgboost,0.7272727272727273,0.5317355121344659,0.045011052007473976,10
xgboost,0.8181818181818182,0.5319744234742099,0.044742228922530956,10
xgboost,0.9090909090909092,0.5042103742786289,0.04887578001788029,10
