cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
GvHD,20260828_000654_nogit,0,real,-1,y,0.7307491289198607,0.16559517549841504,1901,56,119.7
GvHD,20260828_000654_nogit,0,real,-1,w_class,0.5937129162238752,0.5904415317083661,1901,960,119.7
GvHD,20260828_000654_nogit,0,shuffled,0,y,0.546147890050329,0.03161623571862232,1901,56,119.2
GvHD,20260828_000654_nogit,0,shuffled,0,w_class,0.578830145235565,0.5785670054783635,1901,960,119.2
GvHD,20260828_000654_nogit,0,shuffled,1,y,0.4656697638404956,0.02585815854950466,1901,56,117.1
GvHD,20260828_000654_nogit,0,shuffled,1,w_class,0.592856668437832,0.590760780387576,1901,960,117.1
GvHD,20260828_000654_nogit,0,shuffled,2,y,0.4223383662408053,0.024140124991379228,1901,56,117.9
GvHD,20260828_000654_nogit,0,shuffled,2,w_class,0.5855395412681543,0.5888659893056307,1901,960,117.9
GvHD,20260828_000654_nogit,0,shuffled,3,y,0.4860143244289586,0.029015860757769373,1901,56,117.9
GvHD,20260828_000654_nogit,0,shuffled,3,w_class,0.5978126106978392,0.5896965110838404,1901,960,117.9
GvHD,20260828_000654_nogit,0,shuffled,4,y,0.5212059620596206,0.03038432172494345,1901,56,117.8
GvHD,20260828_000654_nogit,0,shuffled,4,w_class,0.6022881243358129,0.5991984007367329,1901,960,117.8
GvHD,20260828_000654_nogit,1,real,-1,y,0.8422960872104341,0.20562514099103976,1912,44,118.2
GvHD,20260828_000654_nogit,1,real,-1,w_class,0.6038879253273222,0.5925266488708558,1912,947,118.2
GvHD,20260828_000654_nogit,1,shuffled,0,y,0.5079569787813899,0.024099653037972395,1912,44,117.0
GvHD,20260828_000654_nogit,1,shuffled,0,w_class,0.6132296699148114,0.6022027097123495,1912,947,117.0
GvHD,20260828_000654_nogit,1,shuffled,1,y,0.5209509441308157,0.023529150396199863,1912,44,117.4
GvHD,20260828_000654_nogit,1,shuffled,1,w_class,0.6121687795109727,0.601106722313759,1912,947,117.4
GvHD,20260828_000654_nogit,1,shuffled,2,y,0.4925783531243917,0.024222611360746188,1912,44,118.3
GvHD,20260828_000654_nogit,1,shuffled,2,w_class,0.6162312401858063,0.6010507355185415,1912,947,118.3
GvHD,20260828_000654_nogit,1,shuffled,3,y,0.44925296865875025,0.021423894256311412,1912,44,118.7
GvHD,20260828_000654_nogit,1,shuffled,3,w_class,0.6138654381712635,0.6057168030610997,1912,947,118.7
GvHD,20260828_000654_nogit,1,shuffled,4,y,0.5961285769904613,0.0351038082238049,1912,44,117.8
GvHD,20260828_000654_nogit,1,shuffled,4,w_class,0.6227607224340842,0.6055383198015359,1912,947,117.8
GvHD,20260828_000654_nogit,2,real,-1,y,0.8110956718645463,0.2709084317560648,1956,51,118.2
GvHD,20260828_000654_nogit,2,real,-1,w_class,0.5993909599805074,0.5716401769818997,1956,963,118.2
GvHD,20260828_000654_nogit,2,shuffled,0,y,0.48058257423704387,0.03136954589496796,1956,51,118.0
