arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
1_baseline_clr_concat_quantile,y,sparse_logistic,0,test,533,17,516,0.6690606475148199,0.09199273372294992
1_baseline_clr_concat_quantile,y,sparse_logistic,1,test,534,20,514,0.6605058365758755,0.20875968741779438
1_baseline_clr_concat_quantile,y,sparse_logistic,2,test,550,24,526,0.6829847908745247,0.19446725096193376
1_baseline_clr_concat_quantile,y,sparse_logistic,3,test,514,15,499,0.5719438877755512,0.13971257823270034
1_baseline_clr_concat_quantile,y,sparse_logistic,4,test,526,16,510,0.7408088235294118,0.3025705585203777
1_baseline_clr_concat_quantile,y,sparse_logistic,5,test,528,17,511,0.7633245078853459,0.3734065957154302
1_baseline_clr_concat_quantile,y,sparse_logistic,6,test,531,13,518,0.8384318384318384,0.26817450004472815
1_baseline_clr_concat_quantile,y,sparse_logistic,7,test,538,18,520,0.7932692307692308,0.38478056961786666
1_baseline_clr_concat_quantile,y,sparse_logistic,8,test,498,22,476,0.7392093200916731,0.21367904088375198
1_baseline_clr_concat_quantile,y,sparse_logistic,9,test,498,20,478,0.7616108786610878,0.2655329094639878
1_baseline_clr_concat_quantile,y,xgb_clf,0,test,533,17,516,0.763109895120839,0.0924847637790635
1_baseline_clr_concat_quantile,y,xgb_clf,1,test,534,20,514,0.7519455252918288,0.36681889936489603
1_baseline_clr_concat_quantile,y,xgb_clf,2,test,550,24,526,0.74643536121673,0.251080206438338
1_baseline_clr_concat_quantile,y,xgb_clf,3,test,514,15,499,0.6673346693386774,0.16403501214392768
1_baseline_clr_concat_quantile,y,xgb_clf,4,test,526,16,510,0.7495098039215686,0.30573918290853386
1_baseline_clr_concat_quantile,y,xgb_clf,5,test,528,17,511,0.787498561068263,0.36902267833663893
1_baseline_clr_concat_quantile,y,xgb_clf,6,test,531,13,518,0.8607068607068608,0.26293964944981096
1_baseline_clr_concat_quantile,y,xgb_clf,7,test,538,18,520,0.8362179487179487,0.5073503302429679
1_baseline_clr_concat_quantile,y,xgb_clf,8,test,498,22,476,0.7947860962566845,0.18108040033873266
1_baseline_clr_concat_quantile,y,xgb_clf,9,test,498,20,478,0.7923640167364017,0.3985447304535491
1_baseline_clr_concat_quantile,y,mlp_clf_y,0,test,533,17,516,0.7756497948016416,0.12799967373412824
1_baseline_clr_concat_quantile,y,mlp_clf_y,1,test,534,20,514,0.8195525291828794,0.3600553877995184
1_baseline_clr_concat_quantile,y,mlp_clf_y,2,test,550,24,526,0.7614860583016477,0.25420726658125165
1_baseline_clr_concat_quantile,y,mlp_clf_y,3,test,514,15,499,0.7557782231128924,0.14566089916176644
1_baseline_clr_concat_quantile,y,mlp_clf_y,4,test,526,16,510,0.7776960784313726,0.19297484488288305
1_baseline_clr_concat_quantile,y,mlp_clf_y,5,test,528,17,511,0.7727639000805802,0.3534850906830481
1_baseline_clr_concat_quantile,y,mlp_clf_y,6,test,531,13,518,0.8924858924858925,0.23088622069938072
1_baseline_clr_concat_quantile,y,mlp_clf_y,7,test,538,18,520,0.8072649572649573,0.5880913171417234
1_baseline_clr_concat_quantile,y,mlp_clf_y,8,test,498,22,476,0.8116883116883117,0.2464305737912515
1_baseline_clr_concat_quantile,y,mlp_clf_y,9,test,498,20,478,0.8423640167364017,0.3255155820937688
1_baseline_clr_concat_quantile,w_class,sparse_logistic,0,test,533,194,339,0.532265912477572,0.3755309801599395
1_baseline_clr_concat_quantile,w_class,sparse_logistic,1,test,534,202,332,0.6143832756769653,0.4703479473862651
1_baseline_clr_concat_quantile,w_class,sparse_logistic,2,test,550,217,333,0.6018322469935373,0.4874521863816011
1_baseline_clr_concat_quantile,w_class,sparse_logistic,3,test,514,215,299,0.530963677374193,0.4460689559687822
1_baseline_clr_concat_quantile,w_class,sparse_logistic,4,test,526,231,295,0.5770195905789126,0.5017619792542685
1_baseline_clr_concat_quantile,w_class,sparse_logistic,5,test,528,189,339,0.5956204835260882,0.4469036793641458
1_baseline_clr_concat_quantile,w_class,sparse_logistic,6,test,531,198,333,0.5894379227712561,0.43590370473501655
1_baseline_clr_concat_quantile,w_class,sparse_logistic,7,test,538,198,340,0.5671717171717172,0.4159789046935395
1_baseline_clr_concat_quantile,w_class,sparse_logistic,8,test,498,191,307,0.5807084264201783,0.45359661393750983
1_baseline_clr_concat_quantile,w_class,sparse_logistic,9,test,498,184,314,0.6020319855995568,0.45775164408051033
1_baseline_clr_concat_quantile,w_class,xgb_clf,0,test,533,194,339,0.5528540583280115,0.4013510280238589
1_baseline_clr_concat_quantile,w_class,xgb_clf,1,test,534,202,332,0.6060479541930097,0.48850519613588006
1_baseline_clr_concat_quantile,w_class,xgb_clf,2,test,550,217,333,0.5798701927734187,0.4735859361104727
1_baseline_clr_concat_quantile,w_class,xgb_clf,3,test,514,215,299,0.5386637629306993,0.47397575182098034
1_baseline_clr_concat_quantile,w_class,xgb_clf,4,test,526,231,295,0.5906229363856482,0.5336051270960924
1_baseline_clr_concat_quantile,w_class,xgb_clf,5,test,528,189,339,0.583384058310312,0.4477094808038048
1_baseline_clr_concat_quantile,w_class,xgb_clf,6,test,531,198,333,0.5804137470804138,0.43738926361674646
1_baseline_clr_concat_quantile,w_class,xgb_clf,7,test,538,198,340,0.5800059417706477,0.44851884558117894
1_baseline_clr_concat_quantile,w_class,xgb_clf,8,test,498,191,307,0.5943346351279909,0.46502689423003174
1_baseline_clr_concat_quantile,w_class,xgb_clf,9,test,498,184,314,0.5923566878980893,0.46612390437969903
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,0,test,533,194,339,0.5943800748106924,0.4114898151307295
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,1,test,534,202,332,0.6415215316712395,0.4912379558944993
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,2,test,550,217,333,0.6093743513098352,0.48511728545117394
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,3,test,514,215,299,0.5822353581706463,0.507215810089372
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,4,test,526,231,295,0.6175214615892581,0.5276547345775525
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,5,test,528,189,339,0.5824788125673082,0.4458427104977681
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,6,test,531,198,333,0.6108381108381109,0.47212949223130624
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,7,test,538,198,340,0.5716428995840761,0.4288869124748148
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,8,test,498,191,307,0.6113034432184455,0.4664875842461464
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,9,test,498,184,314,0.6171420659097202,0.47849835748131525
