arm,task,model,family_truth,level,n_folds,auc,auc_sd,ap,ap_sd,n_units,prevalence
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,majority,genus,10,0.6038,0.0199,0.4715,0.0334,525,0.3846
1_baseline_clr_concat_quantile,w_class,mlp_clf_w_class,majority,family,10,0.5928,0.0196,0.4762,0.042,372,0.4052
1_baseline_clr_concat_quantile,w_class,sparse_logistic,majority,genus,10,0.5791,0.0271,0.4491,0.0339,525,0.3846
1_baseline_clr_concat_quantile,w_class,sparse_logistic,majority,family,10,0.5739,0.0288,0.469,0.042,372,0.4052
1_baseline_clr_concat_quantile,w_class,xgb_clf,majority,genus,10,0.5799,0.019,0.4636,0.0328,525,0.3846
1_baseline_clr_concat_quantile,w_class,xgb_clf,majority,family,10,0.5704,0.0207,0.4712,0.0415,372,0.4052
1_baseline_clr_concat_quantile,y,mlp_clf_y,majority,genus,10,0.8017,0.0402,0.2825,0.1271,525,0.0347
1_baseline_clr_concat_quantile,y,mlp_clf_y,majority,family,10,0.7954,0.065,0.2272,0.1317,372,0.0323
1_baseline_clr_concat_quantile,y,sparse_logistic,majority,genus,10,0.7221,0.0729,0.2443,0.0892,525,0.0347
1_baseline_clr_concat_quantile,y,sparse_logistic,majority,family,10,0.6682,0.0911,0.1465,0.0763,372,0.0323
1_baseline_clr_concat_quantile,y,xgb_clf,majority,genus,10,0.775,0.0507,0.2899,0.1185,525,0.0347
1_baseline_clr_concat_quantile,y,xgb_clf,majority,family,10,0.7497,0.0718,0.198,0.0974,372,0.0323
2_presence_concat_quantile,w_class,mlp_clf_w_class,majority,genus,10,0.6042,0.0167,0.4781,0.0307,525,0.3846
2_presence_concat_quantile,w_class,mlp_clf_w_class,majority,family,10,0.5936,0.0226,0.486,0.0395,372,0.4052
2_presence_concat_quantile,w_class,sparse_logistic,majority,genus,10,0.5795,0.0269,0.4497,0.034,525,0.3846
2_presence_concat_quantile,w_class,sparse_logistic,majority,family,10,0.5741,0.0283,0.4696,0.0424,372,0.4052
2_presence_concat_quantile,w_class,xgb_clf,majority,genus,10,0.5791,0.0211,0.4608,0.0369,525,0.3846
2_presence_concat_quantile,w_class,xgb_clf,majority,family,10,0.5695,0.0089,0.469,0.0364,372,0.4052
2_presence_concat_quantile,y,mlp_clf_y,majority,genus,10,0.8025,0.0522,0.2844,0.1287,525,0.0347
2_presence_concat_quantile,y,mlp_clf_y,majority,family,10,0.7925,0.0766,0.259,0.1404,372,0.0323
2_presence_concat_quantile,y,sparse_logistic,majority,genus,10,0.7233,0.0722,0.242,0.0877,525,0.0347
2_presence_concat_quantile,y,sparse_logistic,majority,family,10,0.6702,0.0925,0.1469,0.0769,372,0.0323
2_presence_concat_quantile,y,xgb_clf,majority,genus,10,0.7858,0.0631,0.2795,0.0967,525,0.0347
2_presence_concat_quantile,y,xgb_clf,majority,family,10,0.7644,0.0851,0.1958,0.0916,372,0.0323
3_presence_concat_equaldim,w_class,mlp_clf_w_class,majority,genus,10,0.6058,0.021,0.4719,0.0357,525,0.3846
3_presence_concat_equaldim,w_class,mlp_clf_w_class,majority,family,10,0.6045,0.0243,0.4898,0.052,372,0.4052
3_presence_concat_equaldim,w_class,sparse_logistic,majority,genus,10,0.5792,0.0272,0.4499,0.0344,525,0.3846
3_presence_concat_equaldim,w_class,sparse_logistic,majority,family,10,0.5739,0.0285,0.4695,0.0427,372,0.4052
3_presence_concat_equaldim,w_class,xgb_clf,majority,genus,10,0.5862,0.0223,0.4634,0.036,525,0.3846
3_presence_concat_equaldim,w_class,xgb_clf,majority,family,10,0.5807,0.0164,0.4761,0.043,372,0.4052
3_presence_concat_equaldim,y,mlp_clf_y,majority,genus,10,0.8014,0.0472,0.2591,0.1108,525,0.0347
3_presence_concat_equaldim,y,mlp_clf_y,majority,family,10,0.7812,0.0594,0.2352,0.1244,372,0.0323
3_presence_concat_equaldim,y,sparse_logistic,majority,genus,10,0.7234,0.0729,0.2422,0.0889,525,0.0347
3_presence_concat_equaldim,y,sparse_logistic,majority,family,10,0.6664,0.0902,0.1471,0.0779,372,0.0323
3_presence_concat_equaldim,y,xgb_clf,majority,genus,10,0.7947,0.0669,0.2987,0.1227,525,0.0347
3_presence_concat_equaldim,y,xgb_clf,majority,family,10,0.7644,0.0892,0.2144,0.1087,372,0.0323
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,majority,genus,10,0.607,0.0217,0.4781,0.0475,525,0.3846
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,majority,family,10,0.6054,0.0288,0.494,0.0629,372,0.4052
4_full_presence_sum_equaldim,w_class,sparse_logistic,majority,genus,10,0.5793,0.0271,0.4498,0.0345,525,0.3846
4_full_presence_sum_equaldim,w_class,sparse_logistic,majority,family,10,0.5742,0.0285,0.4695,0.0427,372,0.4052
4_full_presence_sum_equaldim,w_class,xgb_clf,majority,genus,10,0.5764,0.0186,0.4499,0.0345,525,0.3846
4_full_presence_sum_equaldim,w_class,xgb_clf,majority,family,10,0.5674,0.0122,0.4601,0.0429,372,0.4052
4_full_presence_sum_equaldim,y,mlp_clf_y,majority,genus,10,0.8098,0.047,0.2851,0.1151,525,0.0347
4_full_presence_sum_equaldim,y,mlp_clf_y,majority,family,10,0.7899,0.0703,0.2568,0.1025,372,0.0323
4_full_presence_sum_equaldim,y,sparse_logistic,majority,genus,10,0.7256,0.0722,0.2425,0.0886,525,0.0347
4_full_presence_sum_equaldim,y,sparse_logistic,majority,family,10,0.6692,0.0914,0.1478,0.0785,372,0.0323
4_full_presence_sum_equaldim,y,xgb_clf,majority,genus,10,0.7943,0.0594,0.2829,0.1211,525,0.0347
4_full_presence_sum_equaldim,y,xgb_clf,majority,family,10,0.7653,0.0763,0.1993,0.1274,372,0.0323
