outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,r2
0,-1,test,y,binary,sparse_logistic,533,17.0,516.0,0.6805745554035568,0.09277545059424694,
0,-1,test,y,binary,xgb_clf,533,17.0,516.0,0.7851117191062471,0.12522766257260054,
0,-1,test,y,binary,mlp_clf_y,533,17.0,516.0,0.7721158230734154,0.14805978350175664,
0,-1,test,y,binary,mlp_latent_y,533,17.0,516.0,0.7721158230734154,0.14805978350175664,
0,-1,test,w_reg,regression,linreg,533,,,,,-0.16566624243075045
0,-1,test,w_reg,regression,xgb_reg,533,,,,,-0.16098239919526347
0,-1,test,w_reg,regression,mlp_reg,533,,,,,-0.1395400741927253
0,-1,test,w_class,binary,sparse_logistic,533,194.0,339.0,0.5304564668673784,0.37458059114031195,
0,-1,test,w_class,binary,xgb_clf,533,194.0,339.0,0.5413739622297236,0.3885679898732278,
0,-1,test,w_class,binary,mlp_clf_w_class,533,194.0,339.0,0.5749779521333211,0.40100035496022557,
0,-1,test,w_class,binary,mlp_latent_w_class,533,194.0,339.0,0.5749779521333211,0.40100035496022557,
0,-1,test,y,binary,mlp_latent_yw,533,17.0,516.0,0.7510259917920656,0.13571514171224136,
0,-1,test,w_class,binary,mlp_latent_yw,533,194.0,339.0,0.593330900465286,0.40979297617376403,
1,-1,test,y,binary,sparse_logistic,534,20.0,514.0,0.6494163424124514,0.2077420378020299,
1,-1,test,y,binary,xgb_clf,534,20.0,514.0,0.7488326848249027,0.301966629241634,
1,-1,test,y,binary,mlp_clf_y,534,20.0,514.0,0.8089494163424126,0.2604130697304125,
1,-1,test,y,binary,mlp_latent_y,534,20.0,514.0,0.8089494163424126,0.2604130697304125,
1,-1,test,w_reg,regression,linreg,534,,,,,-0.12746935743867116
1,-1,test,w_reg,regression,xgb_reg,534,,,,,-0.1410031143365229
1,-1,test,w_reg,regression,mlp_reg,534,,,,,-0.11577207325231575
1,-1,test,w_class,binary,sparse_logistic,534,202.0,332.0,0.6143534534176309,0.47202259182776024,
1,-1,test,w_class,binary,xgb_clf,534,202.0,332.0,0.600307169271144,0.47774219915590344,
1,-1,test,w_class,binary,mlp_clf_w_class,534,202.0,332.0,0.596161875223667,0.4589952867989678,
1,-1,test,w_class,binary,mlp_latent_w_class,534,202.0,332.0,0.596161875223667,0.4589952867989678,
1,-1,test,y,binary,mlp_latent_yw,534,20.0,514.0,0.8149805447470817,0.24353703849930924,
1,-1,test,w_class,binary,mlp_latent_yw,534,202.0,332.0,0.628012048192771,0.47995253027731194,
2,-1,test,y,binary,sparse_logistic,550,24.0,526.0,0.6817173637515843,0.1942475621044974,
2,-1,test,y,binary,xgb_clf,550,24.0,526.0,0.747148288973384,0.29690650401817353,
2,-1,test,y,binary,mlp_clf_y,550,24.0,526.0,0.7469106463878328,0.30148232202454267,
2,-1,test,y,binary,mlp_latent_y,550,24.0,526.0,0.7469106463878328,0.30148232202454267,
2,-1,test,w_reg,regression,linreg,550,,,,,-0.17173344564697413
2,-1,test,w_reg,regression,xgb_reg,550,,,,,-0.1459053370174641
2,-1,test,w_reg,regression,mlp_reg,550,,,,,-0.13031608589075927
2,-1,test,w_class,binary,sparse_logistic,550,217.0,333.0,0.6019291180581503,0.4865166565090661,
2,-1,test,w_class,binary,xgb_clf,550,217.0,333.0,0.5647998228643389,0.44895418427178313,
2,-1,test,w_class,binary,mlp_clf_w_class,550,217.0,333.0,0.6396258009161235,0.5271727942910077,
2,-1,test,w_class,binary,mlp_latent_w_class,550,217.0,333.0,0.6396258009161235,0.5271727942910077,
2,-1,test,y,binary,mlp_latent_yw,550,24.0,526.0,0.7477027883396704,0.27761434281260927,
2,-1,test,w_class,binary,mlp_latent_yw,550,217.0,333.0,0.6199471360761684,0.516249910798792,
3,-1,test,y,binary,sparse_logistic,514,15.0,499.0,0.5832999331997328,0.14062918806729455,
3,-1,test,y,binary,xgb_clf,514,15.0,499.0,0.6964595858383433,0.1252471532395134,
3,-1,test,y,binary,mlp_clf_y,514,15.0,499.0,0.7555110220440883,0.13864199516581907,
3,-1,test,y,binary,mlp_latent_y,514,15.0,499.0,0.7555110220440883,0.13864199516581907,
3,-1,test,w_reg,regression,linreg,514,,,,,-0.15797119390004077
3,-1,test,w_reg,regression,xgb_reg,514,,,,,-0.14444699114460935
3,-1,test,w_reg,regression,mlp_reg,514,,,,,-0.12667493787548167
3,-1,test,w_class,binary,sparse_logistic,514,215.0,299.0,0.5320992455471727,0.4473862702985542,
3,-1,test,w_class,binary,xgb_clf,514,215.0,299.0,0.576417515750175,0.4828398977109077,
3,-1,test,w_class,binary,mlp_clf_w_class,514,215.0,299.0,0.6008555650618341,0.513526441248973,
3,-1,test,w_class,binary,mlp_latent_w_class,514,215.0,299.0,0.6008555650618341,0.513526441248973,
3,-1,test,y,binary,mlp_latent_yw,514,15.0,499.0,0.7353373413493655,0.1224034167885609,
3,-1,test,w_class,binary,mlp_latent_yw,514,215.0,299.0,0.581737574861943,0.49238551875049674,
4,-1,test,y,binary,sparse_logistic,526,16.0,510.0,0.7455882352941177,0.30334028396599527,
4,-1,test,y,binary,xgb_clf,526,16.0,510.0,0.7818627450980392,0.26950513233737944,
