model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.09090909090909091,0,975,118,4717,533,0.5577904839697775
l2_logistic,0.09090909090909091,1,996,97,4716,534,0.5695581400835122
l2_logistic,0.09090909090909091,2,971,122,4700,550,0.5596177416883714
l2_logistic,0.09090909090909091,3,982,111,4736,514,0.522209554467619
l2_logistic,0.09090909090909091,4,960,133,4724,526,0.5453710612408885
l2_logistic,0.09090909090909091,5,997,96,4722,528,0.5803433641975307
l2_logistic,0.09090909090909091,6,988,105,4719,531,0.5825843952604516
l2_logistic,0.09090909090909091,7,983,110,4712,538,0.5663976210705182
l2_logistic,0.09090909090909091,8,989,104,4752,498,0.5667463881296368
l2_logistic,0.09090909090909091,9,996,97,4752,498,0.6046995912281152
l2_logistic,0.18181818181818182,0,665,82,4717,533,0.5125736844951598
l2_logistic,0.18181818181818182,1,683,64,4716,534,0.6009308510638298
l2_logistic,0.18181818181818182,2,661,86,4700,550,0.6097133119486768
l2_logistic,0.18181818181818182,3,681,66,4736,514,0.5847199675324675
l2_logistic,0.18181818181818182,4,659,88,4724,526,0.5116749688667497
l2_logistic,0.18181818181818182,5,685,62,4722,528,0.5775301121417694
l2_logistic,0.18181818181818182,6,667,80,4719,531,0.5597006651884701
l2_logistic,0.18181818181818182,7,674,73,4712,538,0.5709824716453086
l2_logistic,0.18181818181818182,8,671,76,4752,498,0.5987777500623597
l2_logistic,0.18181818181818182,9,677,70,4752,498,0.5447930574098798
l2_logistic,0.2727272727272727,0,559,69,4717,533,0.4796351824087956
l2_logistic,0.2727272727272727,1,573,55,4716,534,0.5804896564813058
l2_logistic,0.2727272727272727,2,555,73,4700,550,0.6139685821774217
l2_logistic,0.2727272727272727,3,568,60,4736,514,0.608920704845815
l2_logistic,0.2727272727272727,4,558,70,4724,526,0.5079887218045113
l2_logistic,0.2727272727272727,5,573,55,4722,528,0.5863540265231597
l2_logistic,0.2727272727272727,6,558,70,4719,531,0.562193988224357
l2_logistic,0.2727272727272727,7,565,63,4712,538,0.5951879699248119
l2_logistic,0.2727272727272727,8,567,61,4752,498,0.5915519375773719
l2_logistic,0.2727272727272727,9,576,52,4752,498,0.5123749568816834
l2_logistic,0.36363636363636365,0,462,55,4717,533,0.5080639026245721
l2_logistic,0.36363636363636365,1,469,48,4716,534,0.5959362139917697
l2_logistic,0.36363636363636365,2,460,57,4700,550,0.5443578520337354
l2_logistic,0.36363636363636365,3,465,52,4736,514,0.5606060606060606
l2_logistic,0.36363636363636365,4,463,54,4724,526,0.519656308851224
l2_logistic,0.36363636363636365,5,470,47,4722,528,0.57305259432919
l2_logistic,0.36363636363636365,6,459,58,4719,531,0.5337537362397026
l2_logistic,0.36363636363636365,7,465,52,4712,538,0.6304210193099081
