cohort,run_id,outer_fold,condition,shuffle,head,auc,ap,n,n_pos,fit_sec
IBD,20260828_132354_nogit,0,real,-1,y,0.7510259917920656,0.13571514171224136,533,17,28.1
IBD,20260828_132354_nogit,0,real,-1,w_class,0.593330900465286,0.40979297617376403,533,194,28.1
IBD,20260828_132354_nogit,0,shuffled,0,y,0.5193798449612403,0.0335450476131934,533,17,26.6
IBD,20260828_132354_nogit,0,shuffled,0,w_class,0.5718760453729891,0.3996177828536922,533,194,26.6
IBD,20260828_132354_nogit,0,shuffled,1,y,0.42966256269949843,0.03508622196264663,533,17,26.3
IBD,20260828_132354_nogit,0,shuffled,1,w_class,0.5782471185719065,0.4176428932403543,533,194,26.3
IBD,20260828_132354_nogit,0,shuffled,2,y,0.4432284541723666,0.02847131607014565,533,17,26.0
IBD,20260828_132354_nogit,0,shuffled,2,w_class,0.5764984946628957,0.4052640744340469,533,194,26.0
IBD,20260828_132354_nogit,0,shuffled,3,y,0.4953260373917009,0.03132781859623578,533,17,26.3
IBD,20260828_132354_nogit,0,shuffled,3,w_class,0.5805583432168597,0.4140329084930388,533,194,26.3
IBD,20260828_132354_nogit,0,shuffled,4,y,0.4824441404468765,0.03852560624000822,533,17,26.4
IBD,20260828_132354_nogit,0,shuffled,4,w_class,0.5727883708907339,0.4005495240198637,533,194,26.4
IBD,20260828_132354_nogit,1,real,-1,y,0.8149805447470817,0.24353703849930924,534,20,26.3
IBD,20260828_132354_nogit,1,real,-1,w_class,0.628012048192771,0.47995253027731194,534,202,26.3
IBD,20260828_132354_nogit,1,shuffled,0,y,0.5566147859922179,0.04838358028297597,534,20,26.5
IBD,20260828_132354_nogit,1,shuffled,0,w_class,0.6216897292138853,0.4738654597414111,534,202,26.5
IBD,20260828_132354_nogit,1,shuffled,1,y,0.5917315175097277,0.05090068125981819,534,20,26.2
IBD,20260828_132354_nogit,1,shuffled,1,w_class,0.6169330788500537,0.45532359858818583,534,202,26.2
IBD,20260828_132354_nogit,1,shuffled,2,y,0.4945525291828794,0.06805657030763063,534,20,26.6
IBD,20260828_132354_nogit,1,shuffled,2,w_class,0.6049892639866397,0.4776977662031947,534,202,26.6
IBD,20260828_132354_nogit,1,shuffled,3,y,0.49124513618677046,0.047650289958568265,534,20,26.0
IBD,20260828_132354_nogit,1,shuffled,3,w_class,0.6265209352260528,0.48415189058682473,534,202,26.0
IBD,20260828_132354_nogit,1,shuffled,4,y,0.5673151750972762,0.08533269450408462,534,20,26.4
IBD,20260828_132354_nogit,1,shuffled,4,w_class,0.6066891327686985,0.47178396424920305,534,202,26.4
IBD,20260828_132354_nogit,2,real,-1,y,0.7477027883396704,0.27761434281260927,550,24,26.0
IBD,20260828_132354_nogit,2,real,-1,w_class,0.6199471360761684,0.516249910798792,550,217,26.0
IBD,20260828_132354_nogit,2,shuffled,0,y,0.5581432192648923,0.065388647761441,550,24,26.5
IBD,20260828_132354_nogit,2,shuffled,0,w_class,0.6360969264195071,0.5382445870074057,550,217,26.5
IBD,20260828_132354_nogit,2,shuffled,1,y,0.5537864385297846,0.06115913363365214,550,24,26.0
IBD,20260828_132354_nogit,2,shuffled,1,w_class,0.6184940701069733,0.5103423782242883,550,217,26.0
IBD,20260828_132354_nogit,2,shuffled,2,y,0.3971799746514575,0.03527858488189435,550,24,26.5
IBD,20260828_132354_nogit,2,shuffled,2,w_class,0.6240433982369467,0.5034454006201292,550,217,26.5
IBD,20260828_132354_nogit,2,shuffled,3,y,0.4524714828897338,0.04279349845963357,550,24,26.1
IBD,20260828_132354_nogit,2,shuffled,3,w_class,0.6152834862512282,0.49446298671845823,550,217,26.1
IBD,20260828_132354_nogit,2,shuffled,4,y,0.49698986058301653,0.05503076610277445,550,24,26.3
IBD,20260828_132354_nogit,2,shuffled,4,w_class,0.62456926973056,0.5060779249640878,550,217,26.3
IBD,20260828_132354_nogit,3,real,-1,y,0.7353373413493655,0.1224034167885609,514,15,26.5
IBD,20260828_132354_nogit,3,real,-1,w_class,0.581737574861943,0.49238551875049674,514,215,26.5
IBD,20260828_132354_nogit,3,shuffled,0,y,0.45637942551770205,0.026987644190269888,514,15,26.3
IBD,20260828_132354_nogit,3,shuffled,0,w_class,0.6048067200746675,0.4821427598866868,514,215,26.3
IBD,20260828_132354_nogit,3,shuffled,1,y,0.593186372745491,0.04610436429601339,514,15,26.4
IBD,20260828_132354_nogit,3,shuffled,1,w_class,0.5841331570350783,0.5058286556997655,514,215,26.4
IBD,20260828_132354_nogit,3,shuffled,2,y,0.4638610554442218,0.03168844935824611,514,15,26.5
IBD,20260828_132354_nogit,3,shuffled,2,w_class,0.5875087500972234,0.5060705312307862,514,215,26.5
IBD,20260828_132354_nogit,3,shuffled,3,y,0.5222444889779558,0.04649412286439467,514,15,26.1
IBD,20260828_132354_nogit,3,shuffled,3,w_class,0.5828886987633195,0.5091433289269054,514,215,26.1
IBD,20260828_132354_nogit,3,shuffled,4,y,0.6016032064128256,0.04034272852056066,514,15,26.5
IBD,20260828_132354_nogit,3,shuffled,4,w_class,0.5614840164890721,0.4708323413109036,514,215,26.5
IBD,20260828_132354_nogit,4,real,-1,y,0.7665441176470588,0.23224717079737442,526,16,26.1
IBD,20260828_132354_nogit,4,real,-1,w_class,0.5993543179983858,0.5219982265420446,526,231,26.1
IBD,20260828_132354_nogit,4,shuffled,0,y,0.31348039215686274,0.024363064664570805,526,16,26.6
IBD,20260828_132354_nogit,4,shuffled,0,w_class,0.6135299728520067,0.5244893236829518,526,231,26.6
IBD,20260828_132354_nogit,4,shuffled,1,y,0.5861519607843138,0.04007103186428366,526,16,26.7
IBD,20260828_132354_nogit,4,shuffled,1,w_class,0.5999413016362168,0.5018674081059674,526,231,26.7
IBD,20260828_132354_nogit,4,shuffled,2,y,0.49178921568627454,0.029715087455140447,526,16,26.4
IBD,20260828_132354_nogit,4,shuffled,2,w_class,0.6114902047105436,0.5233553420007387,526,231,26.4
IBD,20260828_132354_nogit,4,shuffled,3,y,0.48958333333333337,0.029667013960483657,526,16,26.3
IBD,20260828_132354_nogit,4,shuffled,3,w_class,0.5925453077995451,0.5047911570799273,526,231,26.3
IBD,20260828_132354_nogit,4,shuffled,4,y,0.4145833333333333,0.02794808059396397,526,16,26.2
IBD,20260828_132354_nogit,4,shuffled,4,w_class,0.5851933377357106,0.5096329250120398,526,231,26.2
IBD,20260828_132354_nogit,5,real,-1,y,0.8148958213422356,0.3983702014065341,528,17,26.1
IBD,20260828_132354_nogit,5,real,-1,w_class,0.5903763012907556,0.44493983038781837,528,189,26.1
IBD,20260828_132354_nogit,5,shuffled,0,y,0.40911707148612875,0.026517502191464253,528,17,26.3
IBD,20260828_132354_nogit,5,shuffled,0,w_class,0.5856627803530459,0.44472659655569885,528,189,26.3
